Q_ID,Answer_all,Most_Likely_Disease,Suggested_Medical_Test,Recommended_Medication
4838,"\n1.  **Most Likely Diagnosis:** The patient is experiencing possible symptoms of a musculoskeletal pain issue, potentially involving the foot or toe.\n2.  **Recommended Tests:** The patient should undergo a physical examination, including a review of the foot and toe, and possibly a nerve conduction study to assess nerve function.\n3.  **Recommended Medications:**  The patient could benefit from medication to manage the pain, such as acetaminophen or ibuprofen.  A doctor might also consider prescribing muscle relaxants to reduce muscle spasms.\n\n","The patient is experiencing possible symptoms of a musculoskeletal pain issue, potentially involving the foot or toe.\n","The patient should undergo a physical examination, including a review of the foot and toe, and possibly a nerve conduction study to assess nerve function.\n","The patient could benefit from medication to manage the pain, such as acetaminophen or ibuprofen.  A doctor might also consider prescribing muscle relaxants to reduce muscle spasms.\n\n"
3457,"\n1.  **Most Likely Diagnosis:** The patient is experiencing a combination of eyelid lesion/rash, diminished vision, and leg weakness, suggesting a potential neurological issue.\n2.  **Recommended Tests:** Initial tests should include a comprehensive eye exam, including visual acuity testing and fundoscopy, to assess the eyelid lesion/rash. Blood tests to rule out underlying conditions like thyroid disorders or vitamin deficiencies are also warranted.\n3.  **Recommended Medications:**  Treatment options should include topical corticosteroids for the rash, and potentially medications to address the leg weakness, such as muscle relaxants or medications to improve circulation.  A neurologist consultation is recommended to determine the cause of the leg weakness.\n\n","The patient is experiencing a combination of eyelid lesion/rash, diminished vision, and leg weakness, suggesting a potential neurological issue.\n","Initial tests should include a comprehensive eye exam, including visual acuity testing and fundoscopy, to assess the eyelid lesion/rash. Blood tests to rule out underlying conditions like thyroid disorders or vitamin deficiencies are also warranted.\n","Treatment options should include topical corticosteroids for the rash, and potentially medications to address the leg weakness, such as muscle relaxants or medications to improve circulation.  A neurologist consultation is recommended to determine the cause of the leg weakness.\n\n"
261,"\n1.  **Most Likely Diagnosis:** The patient is likely experiencing laryngitis, an inflammation of the vocal cords.\n2.  **Recommended Tests:** The patient should undergo a physical examination of the throat, possibly a laryngoscopy, to confirm the diagnosis.\n3.  **Suggested Medications:**  The patient could benefit from anti-inflammatory drugs (ibuprofen) and steroids to reduce inflammation. Rest the voice and avoid irritants are also recommended.\n\n","The patient is likely experiencing laryngitis, an inflammation of the vocal cords.\n","The patient should undergo a physical examination of the throat, possibly a laryngoscopy, to confirm the diagnosis.\n",The patient could benefit from anti-inflammatory drugs (ibuprofen) and steroids to reduce inflammation. Rest the voice and avoid irritants are also recommended.\n\n
245,"\n1. **Most Likely Diagnosis:** The patient is experiencing a wound from their surgical incision, which could indicate a possible infection or inflammation.\n2. **Recommended Tests:**\n    *   Complete physical skin exam performed (ML) – to assess for signs of infection or inflammation.\n    *   Plain x-ray (X ray) – to evaluate bone structure and rule out fractures.\n    *   Application of splint (Splinting) – to provide support and immobilization.\n    *   Wound care management – to prevent further complications.\n    *   Culture wound – to identify the specific bacteria causing the infection.\n    *   Suturing of wound – to close the wound and promote healing.\n    *   Referral to home health care service – to provide ongoing wound care and monitoring.\n3. **Recommended Medications:**\n    *   Silver Sulfadiazine Topical – a topical antibiotic to combat bacterial infections.\n    *   Tetanus Toxoid Vaccine (Adacel) – to prevent tetanus.\n    *   Cefazolin, Cephalexin – broad-spectrum antibiotics to treat bacterial infections.\n    *   Povidone Iodine Topical – to help prevent infection.\n    *   Rabies Vaccine (Obsolete) – to prevent rabies.\n    *   Human – to provide a source of blood for blood tests.\n\n","The patient is experiencing a wound from their surgical incision, which could indicate a possible infection or inflammation.\n",\n    *   Complete physical skin exam performed (ML) – to assess for signs of infection or inflammation.\n    *   Plain x-ray (X ray) – to evaluate bone structure and rule out fractures.\n    *   Application of splint (Splinting) – to provide support and immobilization.\n    *   Wound care management – to prevent further complications.\n    *   Culture wound – to identify the specific bacteria causing the infection.\n    *   Suturing of wound – to close the wound and promote healing.\n    *   Referral to home health care service – to provide ongoing wound care and monitoring.\n,"\n    *   Silver Sulfadiazine Topical – a topical antibiotic to combat bacterial infections.\n    *   Tetanus Toxoid Vaccine (Adacel) – to prevent tetanus.\n    *   Cefazolin, Cephalexin – broad-spectrum antibiotics to treat bacterial infections.\n    *   Povidone Iodine Topical – to help prevent infection.\n    *   Rabies Vaccine (Obsolete) – to prevent rabies.\n    *   Human – to provide a source of blood for blood tests.\n\n"
768,"\n1.  **Most Likely Diagnosis:** The patient is likely experiencing laryngitis, which is inflammation of the vocal cords.\n2.  **Recommended Tests:** The patient should undergo a physical examination of the throat, possibly a laryngoscopy, to confirm the diagnosis.\n3.  **Suggested Medications:**  Anti-inflammatory drugs like ibuprofen and steroids can be used to reduce inflammation and alleviate symptoms. Rest the voice and avoid irritants are also recommended.\n\n","The patient is likely experiencing laryngitis, which is inflammation of the vocal cords.\n","The patient should undergo a physical examination of the throat, possibly a laryngoscopy, to confirm the diagnosis.\n",Anti-inflammatory drugs like ibuprofen and steroids can be used to reduce inflammation and alleviate symptoms. Rest the voice and avoid irritants are also recommended.\n\n
1792,"\n1.  **Most Likely Disease:** The patient is experiencing symptoms suggestive of Cysticercosis, a condition where parasitic cysts can form in various organs.\n2.  **Recommended Medication(s):**  The patient needs to undergo a comprehensive diagnostic evaluation, including a complete blood count (CBC), glucose level, and potentially a Magnetic Resonance Imaging (MRI) scan to confirm the diagnosis.  Treatment options may include Carbamazepine, Folic Acid, Magnesium Sulfate, Mecamylamine, Desipramine, Levetiracetam, Phenytoin (Dilantin), Nortriptyline, Calcium Carbonate, Metoclopramide, Albendazole, and potentially other medications depending on the specific stage and severity of the condition.\n3.  **Suggested Medical Test(s):**  Hematologic tests (Blood test), Complete blood count (Cbc), Glucose measurement (Glucose level), Radiographic imaging procedure (Radiographic imaging procedure), Magnetic resonance imaging (Mri), X-ray computed tomography (Scan ct), CAT scan of head (Head ct) are all crucial for diagnosis and monitoring.\n\n","The patient is experiencing symptoms suggestive of Cysticercosis, a condition where parasitic cysts can form in various organs.\n","Hematologic tests (Blood test), Complete blood count (Cbc), Glucose measurement (Glucose level), Radiographic imaging procedure (Radiographic imaging procedure), Magnetic resonance imaging (Mri), X-ray computed tomography (Scan ct), CAT scan of head (Head ct) are all crucial for diagnosis and monitoring.","The patient needs to undergo a comprehensive diagnostic evaluation, including a complete blood count (CBC), glucose level, and potentially a Magnetic Resonance Imaging (MRI) scan to confirm the diagnosis.  Treatment options may include Carbamazepine, Folic Acid, Magnesium Sulfate, Mecamylamine, Desipramine, Levetiracetam, Phenytoin (Dilantin), Nortriptyline, Calcium Carbonate, Metoclopramide, Albendazole, and potentially other medications depending on the specific stage and severity of the condition."
1906,"\n1.  **Most Likely Disease:** The patient is experiencing vomiting, throat tightness, and incontinence of stool, suggesting a possible gastrointestinal issue.\n2.  **Recommended Medication(s):**  The patient needs to undergo a thorough investigation, including a physical examination of the throat and possibly a stool test to rule out a foreign body. Medications could include Lorazepam (for anxiety), Thiamine (for potential neurological issues), Naloxone (for opioid overdose), Charcoal (for poisoning), Folic Acid (for potential vitamin deficiencies), Famotidine (for gastrointestinal issues), Haloperidol (for anxiety), Acetylcysteine (for mucositis), Trimethobenzamide (Tigan) (for gastrointestinal issues), Magnesium Sulfate (for electrolyte imbalances), and Olanzapine (Zyprexa) (for psychiatric symptoms).\n3.  **Suggested Medical Test(s):**  A complete blood count (CBC), Glucose measurement (Glucose level), Electrolytes panel, Kidney function tests (Kidney function test), and Liver function tests (Liver test) are crucial to assess the overall health and identify any underlying conditions.\n\n","The patient is experiencing vomiting, throat tightness, and incontinence of stool, suggesting a possible gastrointestinal issue.\n","A complete blood count (CBC), Glucose measurement (Glucose level), Electrolytes panel, Kidney function tests (Kidney function test), and Liver function tests (Liver test) are crucial to assess the overall health and identify any underlying conditions.\n\n","The patient needs to undergo a thorough investigation, including a physical examination of the throat and possibly a stool test to rule out a foreign body. Medications could include Lorazepam (for anxiety), Thiamine (for potential neurological issues), Naloxone (for opioid overdose), Charcoal (for poisoning), Folic Acid (for potential vitamin deficiencies), Famotidine (for gastrointestinal issues), Haloperidol (for anxiety), Acetylcysteine (for mucositis), Trimethobenzamide (Tigan) (for gastrointestinal issues), Magnesium Sulfate (for electrolyte imbalances), and Olanzapine (Zyprexa) (for psychiatric symptoms)."
4140,"\n1. **Most Likely Disease:** The patient is experiencing symptoms suggestive of an inflammatory condition affecting the vocal cords, potentially leading to laryngitis.\n2. **Recommended Medication(s):**  Treatment should include a thorough examination of the throat, possibly including a laryngoscopy, to assess the cause of the voice changes.  Anti-inflammatory medications like ibuprofen or corticosteroids may be prescribed to reduce inflammation and pain.\n3. **Suggested Medical Test(s):**  A physical examination of the throat is crucial, along with a possible laryngoscopy to evaluate the vocal cords and identify any abnormalities.\n\n","The patient is experiencing symptoms suggestive of an inflammatory condition affecting the vocal cords, potentially leading to laryngitis.\n","A physical examination of the throat is crucial, along with a possible laryngoscopy to evaluate the vocal cords and identify any abnormalities.","Treatment should include a thorough examination of the throat, possibly including a laryngoscopy, to assess the cause of the voice changes.  Anti-inflammatory medications like ibuprofen or corticosteroids may be prescribed to reduce inflammation and pain."
4932,"\n1. **Most Likely Disease:** The patient is experiencing a rash and skin growths, suggesting a possible allergic reaction or skin condition.\n2. **Recommended Medication(s):**  Based on the symptoms, the patient should consider an antihistamine like Cetirizine or Loratadine to alleviate the itching and rash. Topical corticosteroids like Betamethasone or Fluocinonide may be prescribed to reduce inflammation and redness.  A patch test with a local anesthetic might be recommended to determine the specific allergen.\n3. **Suggested Medical Test(s):** A skin biopsy is recommended to identify the specific allergen causing the reaction. A complete physical examination of the skin and subcutaneous tissue is also crucial to assess the extent of the rash and identify any potential underlying conditions.\n\n","The patient is experiencing a rash and skin growths, suggesting a possible allergic reaction or skin condition.\n"," A skin biopsy is recommended to identify the specific allergen causing the reaction. A complete physical examination of the skin and subcutaneous tissue is also crucial to assess the extent of the rash and identify any potential underlying conditions.\n\n","Based on the symptoms, the patient should consider an antihistamine like Cetirizine or Loratadine to alleviate the itching and rash. Topical corticosteroids like Betamethasone or Fluocinonide may be prescribed to reduce inflammation and redness.  A patch test with a local anesthetic might be recommended to determine the specific allergen.\n"
218,"\n1. **Most Likely Disease:** The patient is experiencing abdominal pain, which could indicate a serious injury.\n2. **Recommended Tests:** Immediate diagnostic tests are crucial. These include a CT scan of the abdomen to rule out internal bleeding or organ damage. Blood tests (CBC, Urinalysis) will assess kidney function and look for signs of infection.\n3. **Suggested Medications:** Depending on the CT scan results, treatment might involve intravenous fluids to support blood pressure and organ perfusion. Pain management with analgesics (e.g., ibuprofen, acetaminophen) is also necessary.\n\n","The patient is experiencing abdominal pain, which could indicate a serious injury.\n","Immediate diagnostic tests are crucial. These include a CT scan of the abdomen to rule out internal bleeding or organ damage. Blood tests (CBC, Urinalysis) will assess kidney function and look for signs of infection.\n","Depending on the CT scan results, treatment might involve intravenous fluids to support blood pressure and organ perfusion. Pain management with analgesics (e.g., ibuprofen, acetaminophen) is also necessary.\n\n"
4598,"\n1.  **Most Likely Disease:** Substance-related mental disorder, potentially including psychosis and delusions.\n2.  **Recommended Medication(s):** Lorazepam, Thiamine, Naloxone (Suboxone), Charcoal, Folic Acid, Famotidine, Haloperidol, Acetylcysteine, Trimethobenzamide (Tigan), Magnesium Sulfate, Olanzapine (Zyprexa).\n3.  **Suggested Medical Test(s):** Electrocardiogram, Toxicology screen, Intravenous fluid replacement, Hematologic tests (Blood test), Complete blood count (Cbc), Glucose measurement (Glucose level), Blood alcohol.\n\n","Substance-related mental disorder, potentially including psychosis and delusions.\n","Electrocardiogram, Toxicology screen, Intravenous fluid replacement, Hematologic tests (Blood test), Complete blood count (Cbc), Glucose measurement (Glucose level), Blood alcohol.\n\n","Lorazepam, Thiamine, Naloxone (Suboxone), Charcoal, Folic Acid, Famotidine, Haloperidol, Acetylcysteine, Trimethobenzamide (Tigan), Magnesium Sulfate, Olanzapine (Zyprexa).\n"
1629,"\n1. **Most Likely Disease:** The patient is experiencing symptoms suggestive of heartburn and knee pain, potentially indicating gastrointestinal issues or musculoskeletal problems.\n2. **Recommended Medication(s):** Based on the symptoms, the following medications might be considered:\n    *   Acebutolol: A beta-blocker used to treat hypertension and angina.\n    *   Botulinum Toxin Type A (Botox): Can be used to treat muscle spasms and pain.\n3. **Suggested Medical Test(s):**\n    *   Interview: To gather more information about the symptoms and medical history.\n    *   Evaluation: A physical examination, including assessment of the heart and lungs, to rule out other potential causes.\n    *   Consultation: Referral to a gastroenterologist or orthopedic specialist for further evaluation and management.\n\n","The patient is experiencing symptoms suggestive of heartburn and knee pain, potentially indicating gastrointestinal issues or musculoskeletal problems.\n","*   Interview: To gather more information about the symptoms and medical history.\n    *   Evaluation: A physical examination, including assessment of the heart and lungs, to rule out other potential causes.\n    *   Consultation: Referral to a gastroenterologist or orthopedic specialist for further evaluation and management.\n\n","Based on the symptoms, the following medications might be considered:\n    *   Acebutolol: A beta-blocker used to treat hypertension and angina.\n    *   Botulinum Toxin Type A (Botox): Can be used to treat muscle spasms and pain.\n"
5324,"\n1.  **Most Likely Disease:** Burning chest pain, Regurgitation, Problems with breast shape and size, Smoking-related problems, Cirrhosis, Metabolic disorder, Fatigue, Possible disease->Coronary atherosclerosis\n2.  **Recommended Medication(s):**  Ursodiol (Urso) – potentially cure disease->Metabolic disorder,  Digoxin, Clopidogrel (Plavix), Nitroglycerin, Aspirin, Simvastatin, Metoprolol, Ursodiol (Urso),  Aspirin,  Nitroglycerin,  Ursodiol (Urso),  Simvastatin,  Carvedilol, Isosorbide, Rosuvastatin (Crestor),  Ezetimibe (Zetia), Ramipril\n3.  **Suggested Medical Test(s):** Electrocardiogram, Ultrasound, Echocardiography, Hematologic tests (Blood test), Glucose measurement (Glucose level), Hemoglobin A1c measurement (Hemoglobin a1c test), Lipid panel\n\n","Burning chest pain, Regurgitation, Problems with breast shape and size, Smoking-related problems, Cirrhosis, Metabolic disorder, Fatigue, Possible disease->Coronary atherosclerosis\n","Electrocardiogram, Ultrasound, Echocardiography, Hematologic tests (Blood test), Glucose measurement (Glucose level), Hemoglobin A1c measurement (Hemoglobin a1c test), Lipid panel\n\n","Ursodiol (Urso) – potentially cure disease->Metabolic disorder,  Digoxin, Clopidogrel (Plavix), Nitroglycerin, Aspirin, Simvastatin, Metoprolol, Ursodiol (Urso),  Aspirin,  Nitroglycerin,  Ursodiol (Urso),  Simvastatin,  Carvedilol, Isosorbide, Rosuvastatin (Crestor),  Ezetimibe (Zetia), Ramipril\n"
4465,"\n1.  **Most Likely Disease:** Panic disorder, Depression, Substance-related mental disorder\n2.  **Recommended Medication(s):** Lorazepam, Alprazolam, Clonazepam, Paroxetine, Venlafaxine, Buspirone, Fluvoxamine, Imipramine, Desvenlafaxine, Clomipramine, Acamprosate\n3.  **Suggested Medical Test(s):** Electrocardiogram, Toxicology screen, Psychotherapy, Mental health counseling, Mental health evaluation and therapy\n\n","Panic disorder, Depression, Substance-related mental disorder\n","Electrocardiogram, Toxicology screen, Psychotherapy, Mental health counseling, Mental health evaluation and therapy\n\n","Lorazepam, Alprazolam, Clonazepam, Paroxetine, Venlafaxine, Buspirone, Fluvoxamine, Imipramine, Desvenlafaxine, Clomipramine, Acamprosate\n"
3437,"\n1.  **Most Likely Diagnosis:**\n    The patient is experiencing hoarseness, which is a common symptom of laryngitis, an inflammation of the vocal cords.\n\n2.  **Recommended Tests:**\n    To confirm the diagnosis, the following tests are recommended:\n    *   Physical examination of the throat (including laryngoscopy)\n    *   Blood test (Complete blood count)\n    *   Urinalysis\n    *   Standard pregnancy test\n\n3.  **Suggested Medications:**\n    *   Ibuprofen (anti-inflammatory)\n    *   Steroids (to reduce inflammation)\n    *   Rest the voice and avoid irritants.\n\n","\n    The patient is experiencing hoarseness, which is a common symptom of laryngitis, an inflammation of the vocal cords.\n\n","\n    To confirm the diagnosis, the following tests are recommended:\n    *   Physical examination of the throat (including laryngoscopy)\n    *   Blood test (Complete blood count)\n    *   Urinalysis\n    *   Standard pregnancy test\n\n",\n    *   Ibuprofen (anti-inflammatory)\n    *   Steroids (to reduce inflammation)\n    *   Rest the voice and avoid irritants.\n\n
