Q_ID,Question,Answer
4838,"Doctor, I've been experiencing lower body pain and my foot/toe feels stiff or tight. Any idea what it might be?","\n\n1. **Most Likely Disease:** Flat feet.  The patient's symptoms of lower body pain and foot/toe stiffness or tightness are commonly associated with flat feet.  While other conditions are possible (as indicated by the provided knowledge graph), flat feet provide the most direct explanation for the combined symptoms.\n\n2. **Recommended Medication(s):**  There is no single medication that \""cures\"" flat feet. Treatment often focuses on managing symptoms and supporting foot function. This may include over-the-counter pain relievers like ibuprofen or naproxen for pain relief,  custom orthotics (shoe inserts) to support the arches, and in some cases, physical therapy to strengthen supporting muscles.  In severe cases, surgery might be considered, but this is rare.\n\n3. **Suggested Medical Test(s):** A physical examination by a podiatrist or orthopedic doctor is the primary diagnostic tool.  They will assess the foot's structure and range of motion.  A simple weight-bearing foot X-ray might be ordered to visualize the bones and confirm the diagnosis, especially if there is a significant concern of underlying bone abnormality or injury.\n\n\n"
3457,"Doctor, I am experiencing an eyelid lesion or rash, diminished vision, and leg weakness. What could this be?","\n\n1. **Most Likely Disease:**\nChalazion.  The patient presents with an eyelid lesion or rash and diminished vision, both of which are symptoms of a chalazion. While leg weakness is not a typical symptom of a chalazion, the other symptoms strongly suggest it as a primary possibility.  The association with Turner Syndrome in the provided data is weak and based on the possibility of diminished vision leading to various conditions which *might* in turn be associated with Turner Syndrome.  Focusing on the most directly related symptoms is key.\n\n2. **Recommended Medication(s):**\nWarm compresses applied several times a day can help to reduce inflammation.  In some cases, topical antibiotics may be prescribed to prevent secondary infection.  If the chalazion is large or persistent, surgical removal may be necessary.\n\n3. **Suggested Medical Test(s):**\nA thorough ophthalmologic examination is crucial. This would include a visual acuity test, slit-lamp biomicroscopy to examine the eyelid and surrounding structures closely, and possibly imaging (e.g., ultrasound) to assess the size and nature of the lesion.  Blood tests to assess for other conditions are not indicated at this initial stage unless the ophthalmologist finds other concerning findings.\n\n\n"
261,"Doctor, I have been experiencing some pain and swelling around my bellybutton. I also noticed some redness and discharge from the area. What could be the problem?","**\n\n1. **Most Likely Disease:** Vaginal yeast infection (or Vulvovaginitis).  The symptoms of pain, swelling, redness, and discharge around the bellybutton, while potentially indicating other conditions, are highly suggestive of a vaginal infection localized to the vulva, given the location described.  While the description doesn't explicitly mention vaginal symptoms, the proximity to the belly button makes this a strong possibility.  Pain in this area isn't always felt *inside* the vagina.\n\n2. **Recommended Medication(s):**  Over-the-counter antifungal creams like miconazole or clotrimazole are typically effective for vaginal yeast infections.  If symptoms are severe or don't improve with over-the-counter treatment, a doctor may prescribe oral antifungal medication such as fluconazole.\n\n3. **Suggested Medical Test(s):** A pelvic examination is essential.  A sample of the vaginal discharge can be taken for microscopic examination and culture to identify the specific organism causing the infection and rule out other possibilities such as bacterial vaginosis.  A urine test might be done to rule out a urinary tract infection.\n\n\n**"
245,"Doctor, I have an open wound from my surgical incision. What medical tests do I need?","**\n\n1. **Most Likely Disease:**\nSurgical site infection (SSI).  This is the most likely diagnosis because the patient explicitly mentions an open wound from a surgical incision.  SSIs are common complications following surgery.\n\n2. **Recommended Medication(s):**\n* **Antibiotics:**  The specific antibiotic will depend on the type of bacteria causing the infection.  Broad-spectrum antibiotics might be initially prescribed until culture results are available. Examples include cephalexin, clindamycin, or others.\n* **Analgesics:** Pain relievers like acetaminophen or ibuprofen to manage pain and discomfort.\n* **Topical antiseptics:**  Solutions like povidone-iodine or hydrogen peroxide (used carefully and as directed by a physician) may be applied topically to clean the wound, but systemic antibiotics are usually necessary for an SSI.\n\n3. **Suggested Medical Test(s):**\n* **Wound culture:** A sample from the wound will be sent to a lab to identify the infecting bacteria and determine antibiotic sensitivity.\n* **Complete blood count (CBC):** To assess the patient's white blood cell count, which may be elevated in the presence of infection.\n* **Erythrocyte sedimentation rate (ESR) or C-reactive protein (CRP):** These are inflammatory markers that can help assess the severity of the infection.\n* **Imaging (if indicated):** In some cases, an ultrasound or other imaging modality may be used to assess the depth and extent of the infection.\n\n\n**"
768,"Doctor, I have been experiencing difficulty in passing urine lately. It feels like something is blocking my bladder. What should I do?",[]
1792,"Hi doctor, I've been feeling hot and cold lately along with some elbow cramps or spasms. I also feel like vomiting sometimes and have had seizures in the past. What could be the reason for these symptoms? ",[]
1906,"Doctor, I have been vomiting, my throat feels tight and I am experiencing incontinence of stool.",[]
4140,"Doctor, I am experiencing eye redness, a swollen eye, a headache, spots or clouds in vision, and pain in my eye. What could be causing these symptoms?",[]
4932,"Doctor, I have this strange rash on my skin and I've noticed a few skin growths. What could be causing this?",[]
218,I had an accident last night and I think I might have injured one of my internal organs. ,[]
4598,"Doctor, I've been experiencing some strange symptoms lately. I've been abusing alcohol a bit more than usual, and I've been experiencing delusions or hallucinations. I've been slurring my words, too, and I even fainted at work the other day. ",[]
1629,"Doctor, I've been having knee pain and heartburn lately.",[]
5324,"Doctor, I have been experiencing burning chest pain, regurgitation, problems with the shape and size of my breast, and I'm also having some smoking-related problems. What could be wrong with me?",[]
4465,"Doctor, I have been experiencing some symptoms lately. I have been abusing alcohol, feeling depressed, and having temper problems. I also have some fears and phobia. ",[]
3437,"Doctor, I've been experiencing sweating along with back pain, foot or toe weakness, and dizziness. What do you think could be the problem?",[]
1806,"Doctor, I have been experiencing vomiting, burning abdominal pain and sharp abdominal pain, what could be the problem?",[]
3680,"Doctor, I've been having pelvic pain and it's been bothering me a lot lately. What could be causing this?",[]
4828,"Doctor, I have been experiencing cough, elbow cramps, excessive growth, low back weakness, and decreased appetite. What could this be?",[]
2279,"Doctor, I have a plugged feeling in my ear and my hearing has diminished recently. Additionally, I've been biting my nails a lot and experiencing some emotional symptoms. I've also noticed some muscle swelling. What could be causing all these symptoms?",[]
54,"Doctor, I have been feeling very down and sad after giving birth to my baby. It's been a few weeks now and I just can't seem to shake it off. ",[]
1308,"Doctor, I broke my tooth and it's really hurting. What medication should I take?",[]
3463,"Hi doctor, I've been experiencing leg cramps or spasms a lot lately. Any idea what could be causing it?",[]
2788,"Doctor, I have been experiencing some strange symptoms lately, including focal weakness, depressive thoughts, and itching of my skin. Can you tell me what might be causing these symptoms? ",[]
2277,"Doctor, I have been experiencing some dizziness, weakness in my elbow and low back area, and my muscles have been swelling. Additionally, I am also having a plugged feeling in my ear. Can you please tell me what's wrong with me?",[]
1274,"Hi Doc, I've been experiencing knee pain for a while now and it hurts even more when I climb stairs or do any kind of physical activity.",[]
1764,"Doctor, I've been experiencing Hemoptysis, Sharp abdominal pain, Side pain, Diarrhea, and Burning abdominal pain. What could be the reason for all these symptoms?",[]
2758,"Doctor, I have a mouth ulcer and my gums are hurting a lot. What could be the reason for this?",[]
838,"Doctor, I have been feeling really down and hopeless since I had my baby. I think I might have postpartum depression.",[]
760,"Hi Doctor, I've been having some behavioral issues lately. I get into a lot of fights and feel angry all the time. ",[]
3113,"Doctor, I have been experiencing neck swelling, toothache, mouth pain, peripheral edema, and gum pain. What could be the issue?",[]
793,I have been experiencing vaginal dryness and itching lately. It's making sex very uncomfortable.,[]
2941,"Hi doctor, I have been experiencing cramps and spasms in my lower abdomen for the past week. I also noticed a mass on my vulva, my menstruation has become very infrequent and I've been having unusual vaginal discharge. Additionally, I experienced some vaginal bleeding after menopause. What could be causing these symptoms?",[]
2818,"Doctor, I've been experiencing nausea, a headache, and a plugged feeling in my ear. What's wrong with me?",[]
4946,"Doctor, I have been experiencing symptoms like vaginal itching, painful urination, groin pain, vaginal discharge, and also I have some skin lesions. What could be the reason for these symptoms?",[]
2167,"Doctor, I have redness in my ear and my skin has an abnormal appearance. What could be wrong?",[]
356,"Doctor, I fell off my bike and got an open wound on my cheek. What do I need to do?",[]
3764,"Doctor, I have been experiencing some trouble with urination lately. I have to go very frequently and sometimes I even urinate involuntarily.",[]
4393,"Hey doctor, I am experiencing some symptoms of eye, like blurred vision and dry eyes. Can you please tell me what could be the issue?",[]
1023," Hi doctor, I have been experiencing some discomfort and pain in my kidneys. I am concerned that I may have acute kidney injury. ",[]
3101,"Doctor, I have been experiencing impotence, heartburn, blood in stool, and leg swelling. What could be the reason for these symptoms?",[]
646,"Doctor, I have been having trouble retracting my foreskin. It's painful and causing inflammation. What should I do?","**\n\n1. **Most Likely Disease:** Phimosis.  This is the inability to retract the foreskin over the glans penis. The pain and inflammation strongly suggest this condition.\n\n2. **Recommended Medication(s):** Topical corticosteroids (like hydrocortisone cream) can help reduce inflammation.  In some cases, an antibiotic cream might be prescribed if infection is suspected.  For severe cases or if other treatments fail, circumcision might be considered.  Pain relievers like ibuprofen or acetaminophen can manage pain.\n\n3. **Suggested Medical Test(s):** A physical examination by a doctor is crucial to assess the severity of the phimosis and rule out other possible causes of the symptoms.  If infection is suspected, a urine culture might be ordered.\n\n\n**"
4523,"Doctor, I have been experiencing a sharp pain in my lower abdomen. It's mostly around the suprapubic region. What could be the reason for this pain?","**\n\n1. **Most Likely Disease:**  Based on the reported sharp pain in the lower abdomen, specifically the suprapubic region, the most likely possibilities are urinary tract infection (UTI) or possibly appendicitis (if the pain is more localized and accompanied by other symptoms like nausea and vomiting).  However,  vaginitis, pyelonephritis, and ectopic pregnancy (if applicable) cannot be ruled out without further information. Given the suprapubic location, UTI is a slightly more likely initial consideration than appendicitis.\n\n\n2. **Recommended Medication(s):**  This will depend entirely on the diagnosis.  For a UTI, antibiotics like nitrofurantoin or trimethoprim-sulfamethoxazole are commonly prescribed.  For appendicitis, immediate surgical intervention (appendectomy) is usually necessary.  For vaginitis, depending on the cause (bacterial, fungal, or parasitic), specific treatments (e.g., antifungal creams for yeast infections, antibiotics for bacterial vaginosis) would be needed. Pyelonephritis (kidney infection) requires antibiotics, often intravenous initially.  An ectopic pregnancy requires immediate medical attention and may require surgery or medication depending on the situation.\n\n\n3. **Suggested Medical Test(s):**\n    * **Urinalysis:** To check for bacteria, white blood cells, and other indicators of a UTI.\n    * **Urine culture:** To identify the specific bacteria causing a UTI, if present, and guide antibiotic selection.\n    * **Pelvic exam:** For women, to evaluate for signs of vaginitis or other gynecological issues.  A pregnancy test is vital if the patient is of childbearing age.\n    * **Blood tests:** A complete blood count (CBC) to look for signs of infection (increased white blood cell count) and a pregnancy test (beta-hCG) if appropriate.\n    * **Abdominal ultrasound:** To visualize the pelvic organs and look for signs of appendicitis, ectopic pregnancy, or other abnormalities.  This would be particularly helpful if the other tests are inconclusive or if suspicion for appendicitis or ectopic pregnancy exists.\n    * **CT scan:** Might be used to confirm the diagnosis of appendicitis or evaluate other abdominal pathologies.\n\n\n**"
2402,"Doctor, I have been feeling very depressed and sometimes I feel like I am losing my mind. I have also noticed that my breathing is shorter than usual and my movements feel restricted. Additionally, my feet and legs are swollen. What could be happening to me?","**\n\n1. **Most Likely Disease:**  Heart failure. The combination of depression, shortness of breath, restricted movement, and leg swelling points towards potential heart failure.  Leg swelling (edema) is a classic sign of fluid buildup often associated with heart failure's inability to effectively pump blood.  Depression can be a symptom or consequence of heart failure, and shortness of breath is a common symptom of reduced cardiac output.  Restricted movement is also consistent with the fatigue and reduced energy common in heart failure patients.\n\n2. **Recommended Medication(s):**  The specific medications would depend on the underlying cause and severity of the heart failure.  However, common treatments might include:\n    * **ACE inhibitors (e.g., Lisinopril, Ramipril):**  These help relax blood vessels and reduce the workload on the heart.\n    * **Beta-blockers (e.g., Metoprolol, Carvedilol):**  These slow the heart rate and reduce its force of contraction, improving blood flow.\n    * **Diuretics (e.g., Furosemide, Hydrochlorothiazide):**  These help remove excess fluid from the body, reducing swelling.\n    * **Digoxin:**  This can help strengthen the heart's contractions.\n    * **Antidepressants (e.g., Sertraline, Fluoxetine):** To address the depression.\n\n3. **Suggested Medical Test(s):**\n    * **Echocardiogram:**  An ultrasound of the heart to assess its structure and function. This can help determine the ejection fraction (how well the heart is pumping).\n    * **Electrocardiogram (ECG):**  To detect any abnormalities in the heart's rhythm and electrical activity.\n    * **Chest X-ray:**  To check for fluid buildup in the lungs (pulmonary edema) or other abnormalities.\n    * **Blood tests:**  To check for levels of electrolytes (including potassium), kidney function, and other markers indicative of heart damage.\n    * **BNP (B-type natriuretic peptide) blood test:** A marker for heart failure.\n\n\n\n**"
5150,"Doctor, I have been experiencing shoulder pain. Could you tell me what might be causing it?","\n1. **Most Likely Disease:** Rotator cuff injury.  Shoulder pain is a common presenting symptom of rotator cuff injuries, which involve damage to the tendons and muscles surrounding the shoulder joint.  While other conditions can cause shoulder pain, a rotator cuff injury is a relatively frequent cause.\n\n2. **Recommended Medication(s):**\n    * **Nonsteroidal anti-inflammatory drugs (NSAIDs):** such as ibuprofen or naproxen to reduce pain and inflammation.\n    * **Analgesics:** such as acetaminophen (paracetamol) for pain relief.\n    * **Corticosteroid injections:**  These can provide temporary pain relief but are not a long-term solution.\n    * **Physical therapy:** This is crucial for strengthening the rotator cuff muscles and improving shoulder function.\n\n3. **Suggested Medical Test(s):**\n    * **Physical examination:** The doctor will assess the range of motion, strength, and tenderness in the shoulder.\n    * **Imaging studies:** X-rays can rule out fractures or other bony abnormalities.  MRI is the gold standard for visualizing soft tissues like tendons and muscles, allowing for the precise identification of rotator cuff tears.\n\n\n"
5067,"Doctor, I have noticed problems with the shape and size of my breast and there is also some swelling in my back. Can you tell me what is wrong with me?","\n\n1. **Most Likely Disease:**  Pilonidal cyst. The patient presents with breast shape and size concerns, along with lower back swelling. While breast changes can have numerous causes, the combination with lower back swelling points towards a pilonidal cyst as a possibility.  Pilonidal cysts are located in the cleft of the buttocks and can cause swelling in the lower back region.  The breast issues may be unrelated or a coincidence.\n\n2. **Recommended Medication(s):**  Treatment for a pilonidal cyst varies depending on the severity.  Options include:\n    * **Antibiotics:** To combat infection if present.  Specific antibiotics (e.g., cephalexin, clindamycin) would be prescribed based on culture results.\n    * **Pain relievers:** Over-the-counter medications like ibuprofen or acetaminophen for pain management.\n    * **Sitz baths:** Soaking the affected area in warm water to promote drainage and reduce inflammation.\n    * **Surgical drainage or excision:**  For larger or infected cysts, surgical intervention may be necessary.\n\n3. **Suggested Medical Test(s):**\n    * **Physical Examination:** A thorough examination of the breasts and lower back to assess the extent of swelling, tenderness, and any signs of infection (redness, warmth, pus).\n    * **Imaging (ultrasound or MRI):** To visualize the cyst, assess its size and depth, and rule out other conditions.\n    * **Culture and Sensitivity:** If an infection is suspected, a sample from the cyst would be sent for culture to identify the causative bacteria and determine the most effective antibiotic.\n\n\n"
2963,"Doctor, I have been having some redness in my ear, facial pain, toothache, sore throat, and ear pain. What could be the issue?","**\n\n1. **Most Likely Disease:**  Cellulitis or abscess of the mouth. The patient presents with multiple symptoms strongly suggestive of an infection in this area: facial pain, toothache, sore throat, and redness in the ear (possibly indicating involvement of the parotid gland).  While mastoiditis and sinusitis are possible based on the provided information, the cluster of oral symptoms makes a mouth infection more likely as the primary diagnosis.\n\n2. **Recommended Medication(s):**\n    * **Antibiotics:** A broad-spectrum antibiotic like Amoxicillin-clavulanate (Augmentin) or Clindamycin would be appropriate, pending culture results to tailor treatment specifically.  The choice depends on the suspected pathogen.\n    * **Analgesics:** Pain relief can be achieved with ibuprofen or acetaminophen.  If pain is severe, stronger analgesics may be necessary.\n    * **Warm Compresses:** Applying warm compresses to the affected area can help soothe pain and promote drainage.\n\n3. **Suggested Medical Test(s):**\n    * **Physical Examination:** Thorough visual examination of the mouth, throat, and ear. Palpation to check for swelling or tenderness.\n    * **Complete Blood Count (CBC):** To assess for signs of infection (e.g., elevated white blood cell count).\n    * **Blood Cultures:** To identify the specific bacteria causing the infection, guiding antibiotic choice.\n    * **Imaging (CT Scan or Ultrasound):** May be necessary to better visualize any abscess or assess the extent of infection, particularly if there is significant swelling or concern about deeper involvement.\n    * **Aspiration and Culture:** If an abscess is suspected, aspiration of the fluid for microscopic examination and culture to identify causative organism and guide treatment.\n\n**"
