Q_ID,Query_Nodes,Query_Nodes_Count,Total_Distance,Average_Distance,Level
1576,"['Suprapubic_pain', 'Groin_mass', 'Lack_of_growth', 'Leg_pain', 'Emotional_symptoms']",5,20,2,A
570,"['Fatigue', 'Weakness', 'Jaundice', 'Hyperkalemia', 'Hematologic_tests_(Blood_test)']",5,24,2.4,B
376,"['Dizziness', 'Nausea']",2,2,2,A
5418,"['Lip_swelling', 'Jaw_swelling']",2,4,4,B
1867,"['Sharp_abdominal_pain', 'Sharp_chest_pain']",2,2,2,A
2371,"['Neck_pain', 'Shoulder_pain', 'Arm_pain']",3,6,2,A
654,"['Shortness_of_breath', 'Sharp_chest_pain', 'Emphysema', 'Hematologic_tests_(Blood_test)']",4,9,1.5,A
1908,"['Vomiting_blood', 'Incontinence_of_stool', 'Temper_problems']",3,6,2,A
828,"['Foreign_body_in_the_vagina', 'Vaginal_pain']",2,3,3,B
3114,"['Gum_pain', 'Toothache']",2,4,4,B
2278,"['Elbow_cramps_or_spasms', 'Elbow_weakness', 'Emotional_symptoms']",3,6,2,A
3715,"['Leg_swelling', 'Skin_on_arm_or_hand_looks_infected']",2,4,4,B
5208,"['Lump_in_throat', 'Drainage_in_throat', 'Throat_swelling', 'Sore_throat', 'Apnea']",5,34,3.4,B
2989,"['Side_pain', 'Back_pain', 'Difficulty_breathing', 'Bones_are_painful']",4,20,3.333,B
1333,"['Loss_of_sensation', 'Weakness', 'Elbow_weakness', 'Feet_turned_in', 'Flu-like_syndrome', 'Adderall']",6,60,4,B
3033,"['Vomiting_blood', 'Depressive_or_psychotic_symptoms', 'Hostile_behavior']",3,8,2.667,B
2911,"['Pain_in_eye', 'Facial_pain', 'Knee_lump_or_mass']",3,6,2,A
1717,"['Coughing_up_sputum', 'Sharp_chest_pain', 'Sharp_abdominal_pain', 'Flushing', 'Jaundice']",5,20,2,A
2188,"['Sleepiness', 'Dizziness', 'Constipation', 'Smoking_problems', 'Depression', 'Ache_all_over']",6,54,3.6,B
5309,"['Sharp_chest_pain', 'Leg_pain', 'Sweating', 'Back_pain', 'Cough']",5,28,2.8,B
585,"['Pain_or_soreness_of_breast', 'Examination_of_breast', 'Headache']",3,10,3.333,B
4991,"['Groin_pain', 'Vaginal_redness', 'Swelling_of_scrotum', 'Abnormal_appearing_skin']",4,24,4,B
5202,"['Skin_rash', 'Sore_throat', 'Lip_swelling', 'Ache_all_over', 'Headache']",5,30,3,B
1402,"['Muscle_cramps', 'Headache', 'Physical_therapy_exercises_(Exercises)']",3,8,2.667,B
4376,"['Irregular_heartbeat', 'Chest_tightness', 'Palpitations', 'Decreased_heart_rate', 'Weight_gain']",5,28,2.8,B
2006,"['Vomiting', 'Cough', 'Sharp_chest_pain', 'Back_pain']",4,12,2,A
1339,"['Sharp_chest_pain', 'Adderall']",2,2,2,A
3787,"['Heartburn', 'Back_pain']",2,4,4,B
3109,"['Depression', 'Muscle_pain', 'Abnormal_involuntary_movements']",3,10,3.333,B
2212,"['Open_wound_of_the_hip', 'Irregular_heartbeat']",2,5,5,C
5243,"['Skin_rash', 'Skin_dryness', 'peeling', 'Skin_irritation']",4,14,2.333,B
4563,"['Hand_or_finger_pain', 'Hand_or_finger_swelling', 'Shoulder_pain', 'Neck_pain', 'Elbow_pain', 'Low_back_pain']",6,46,3.067,B
1800,"['Diarrhea', 'Redness_in_ear', 'Decreased_appetite', 'Excessive_anger']",4,16,2.667,B
2657,"['Shoulder_pain', 'Headache', 'Weakness']",3,8,2.667,B
459,"['Sharp_chest_pain', 'Coronary_atherosclerosis']",2,1,1,A
1877,"['Back_pain', 'Headache']",2,2,2,A
263,"['Facial_pain', 'Eye_moves_abnormally', 'Difficulty_eating']",3,12,4,B
2585,"['Acne_or_pimples', 'Heavy_menstrual_flow', 'Abnormal_appearing_skin', 'Alopecia', 'Unwanted_hair']",5,28,2.8,B
3287,['Difficulty_breathing'],1,0,0,Z
2194,"['Arm_cramps_or_spasms', 'Elbow_cramps_or_spasms', 'Disturbance_of_memory']",3,12,4,B
543,"['Headache', 'Frontal_headache']",2,2,2,A
1729,"['Excessive_urination_at_night', 'Excessive_anger']",2,2,2,A
4647,"['Knee_pain', 'Headache', 'Low_back_pain', 'Shoulder_pain']",4,12,2,A
2578,"['Hip_pain', 'Joint_pain', 'Leg_pain', 'Arm_pain']",4,18,3,B
1742,"['Chills', 'Lower_abdominal_pain', 'Vomiting', 'Retention_of_urine', 'Sharp_abdominal_pain']",5,20,2,A
5370,"['Ankle_pain', 'Itching_of_skin', 'Skin_lesion', 'Acne_or_pimples', 'Skin_on_arm_or_hand_looks_infected']",5,34,3.4,B
4090,"['Sore_throat', 'Tinnitus_of_unknown_cause']",2,3,3,B
3242,"['Involuntary_urination', 'Frequent_urination', 'Vaginal_itching']",3,6,2,A
5267,"['Sleepiness', 'Lack_of_growth']",2,4,4,B
3759,"['Anxiety_and_nervousness', 'Panic_disorder', 'Emotional_symptoms', 'Back_pain', 'Wrist_weakness', 'Elbow_weakness']",6,37,2.467,B
1171,"['Coughing_up_sputum', 'Shortness_of_breath', 'Cough']",3,6,2,A
2170,"['Neck_pain', 'Elbow_pain', 'Arm_stiffness_or_tightness', 'Shoulder_swelling']",4,20,3.333,B
2021,"['Abnormal_size_or_shape_of_ear', 'Diminished_hearing', 'Redness_in_ear', 'Fluid_in_ear', 'Plugged_feeling_in_ear']",5,28,2.8,B
4599,"['Feeling_ill', 'Stiffness_all_over', 'Difficulty_speaking']",3,12,4,B
4416,"['Absence_of_menstruation', 'Heartburn', 'Pelvic_pressure', 'Problems_during_pregnancy', 'Spotting_or_bleeding_during_pregnancy']",5,32,3.2,B
2153,"['Sore_throat', 'Sharp_chest_pain', 'Fever', 'Cough', 'Wheezing']",5,22,2.2,B
4789,"['Skin_rash', 'Foot_or_toe_swelling', 'Foot_or_toe_pain', 'Skin_irritation']",4,18,3,B
3510,"['Intermenstrual_bleeding', 'Uterine_contractions', 'Problems_during_pregnancy', 'Infertility']",4,16,2.667,B
4781,"['Emotional_symptoms', 'Diminished_hearing', 'Low_back_weakness', 'Back_pain', 'Feeling_hot_and_cold']",5,32,3.2,B
3272,"['Weakness', 'Vomiting']",2,2,2,A
2966,"['Redness_in_ear', 'Ear_pain']",2,2,2,A
1797,"['Sharp_abdominal_pain', 'Problems_during_pregnancy']",2,2,2,A
1134,"['Hemoptysis', 'Prednisone']",2,4,4,B
4175,"['Peripheral_edema', 'Gum_pain', 'Pain_in_eye', 'Bones_are_painful']",4,24,4,B
4043,"['Side_pain', 'Frequent_urination', 'Incontinence_of_stool']",3,10,3.333,B
745,"['Skin_on_leg_or_foot_looks_infected', 'Foot_or_toe_pain']",2,2,2,A
386,"['contractures', 'Spots_or_clouds_in_vision', 'Double_vision']",3,10,3.333,B
899,"['Ear_pain', 'Vaginal_discharge', 'Acute_sinusitis']",3,10,3.333,B
1253,"['Disturbance_of_memory', 'Headache', 'Von_Hippel-Lindau_disease']",3,6,2,A
5141,"['Sharp_chest_pain', 'Itching_of_skin', 'Back_pain']",3,10,3.333,B
1311,"['Injury_to_the_hand', 'Headache']",2,3,3,B
3459,"['Cough', 'Loss_of_sensation', 'Feet_turned_in', 'Flat_feet', 'Emotional_symptoms']",5,32,3.2,B
4886,"['Smoking_problems', 'Depression']",2,4,4,B
521,"['Sharp_abdominal_pain', 'Stomach_bloating', 'Constipation', 'Intestinal_malabsorption']",4,13,2.167,B
3153,['Ear_pain'],1,0,0,Z
3127,"['Fatigue', 'Sleepiness']",2,2,2,A
4882,"['Neck_pain', 'Diminished_vision', 'Vomiting', 'Anxiety_and_nervousness', 'Panic_disorder']",5,30,3,B
3835,"['Muscle_swelling', 'Heavy_menstrual_flow', 'Intermenstrual_bleeding', 'Early_or_late_onset_of_menopause', 'Vaginal_discharge', 'Pus_in_sputum']",6,48,3.2,B
4335,['Weakness'],1,0,0,Z
2060,"['Sharp_chest_pain', 'Difficulty_breathing', 'Hoarse_voice', 'Difficulty_in_swallowing']",4,18,3,B
4533,"['Rectal_bleeding', 'Blood_in_stool']",2,2,2,A
95,"['Sharp_abdominal_pain', 'Abdominal_distention', 'Nausea', 'Vomiting', 'Constipation', 'Difficulty_breathing']",6,44,2.933,B
939,"['Vaginal_pain', 'Vulvar_irritation']",2,2,2,A
4399,"['Back_pain', 'Stiffness_all_over', 'Ache_all_over', 'Paresthesia', 'Symptoms_of_eye']",5,34,3.4,B
2186,"['Leg_pain', 'Ankle_swelling']",2,4,4,B
5251,"['Back_pain', 'Low_back_pain', 'Back_cramps_or_spasms', 'Muscle_pain', 'Hip_pain']",5,22,2.2,B
2787,"['Itching_of_skin', 'Allergic_reaction', 'Focal_weakness', 'Skin_rash', 'Weakness']",5,36,3.6,B
914,"['Abnormal_involuntary_movements', 'or_spasms', 'Problems_with_movement']",3,10,3.333,B
2405,"['Shortness_of_breath', 'Allergic_reaction']",2,2,2,A
3562,"['Heavy_menstrual_flow', 'Sharp_abdominal_pain', 'Vaginal_pain']",3,8,2.667,B
1296,"['Pain_in_eye', 'Eye_redness', 'Arthrocentesis', 'Levocetirizine_(Xyzal)']",4,24,4,B
3717,['Skin_irritation'],1,0,0,Z
27,"['Difficulty_breathing', 'Shortness_of_breath', 'Intubation']",3,10,3.333,B
2158,"['Arm_pain', 'Elbow_swelling']",2,2,2,A
4101,"['Flushing', 'Eyelid_swelling']",2,6,6,C
1464,"['Difficulty_in_swallowing', 'Throat_feels_tight', 'Shortness_of_breath', 'Regurgitation']",4,14,2.333,B
4159,"['Lower_abdominal_pain', 'Muscle_cramps', 'Cramps_and_spasms', 'Sharp_abdominal_pain', 'Vomiting', 'Painful_menstruation', 'Burning_abdominal_pain']",7,60,2.857,B
872,"['Intracranial_hemorrhage', 'Adderall']",2,3,3,B
5123,"['Skin_moles', 'Changes_in_stool_appearance', 'Itching_of_skin', 'Skin_growth', 'Neck_mass', 'Groin_mass']",6,52,3.467,B
2445,"['Shortness_of_breath', 'Loss_of_sensation', 'Irregular_heartbeat', 'Headache', 'Sharp_chest_pain']",5,28,2.8,B
5235,"['Depression', 'Lack_of_growth', 'Loss_of_sensation', 'Slurring_words']",4,18,3,B
4989,"['Irritable_infant', 'Excessive_anger', 'Headache']",3,10,3.333,B
1630,"['Knee_swelling', 'Headache']",2,4,4,B
3064,['Double_vision'],1,0,0,Z
1324,"['Fatigue', 'Cough', 'Fever', 'Sharp_chest_pain', 'Headache', 'H1N1', 'Adderall']",7,64,3.048,B
4419,"['Pelvic_pressure', 'Spotting_or_bleeding_during_pregnancy']",2,4,4,B
4345,"['Stiffness_all_over', 'Knee_swelling', 'Knee_lump_or_mass', 'Knee_stiffness_or_tightness']",4,18,3,B
5,"['Lead_poisoning', 'Poisoning_due_to_ethylene_glycol']",2,4,4,B
4907,"['Depression', 'Sleepiness', 'Lack_of_growth']",3,8,2.667,B
2656,"['Nailbiting', 'Diarrhea']",2,4,4,B
4003,"['Pus_draining_from_ear', 'Diminished_hearing', 'Ringing_in_ear', 'Ear_pain', 'Redness_in_ear']",5,22,2.2,B
160,"['Painful_urination', 'Frequent_urination', 'Hematologic_tests_(Blood_test)']",3,6,2,A
917,"['Open_wound_of_the_hip', 'Back_pain', 'Adderall']",3,8,2.667,B
2974,"['Involuntary_urination', 'Fever']",2,4,4,B
2520,"['Abnormal_appearing_skin', 'Skin_growth', 'Skin_rash']",3,6,2,A
1962,"['Eye_strain', 'Cramps_and_spasms', 'Foot_or_toe_stiffness_or_tightness', 'Weight_gain']",4,18,3,B
475,"['Disturbance_of_memory', 'Headache', 'Difficulty_speaking', 'Abusing_alcohol']",4,16,2.667,B
1974,"['Knee_stiffness_or_tightness', 'Knee_pain', 'Problems_with_movement']",3,6,2,A
4648,"['Ankle_pain', 'Leg_pain', 'Low_back_pain', 'Neck_pain', 'Back_pain']",5,28,2.8,B
702,"['Sharp_abdominal_pain', 'Changes_in_stool_appearance', 'Blood_in_stool']",3,8,2.667,B
3982,"['Hoarse_voice', 'Sore_throat', 'Pulling_at_ears']",3,10,3.333,B
567,"['Shortness_of_breath', 'Sharp_chest_pain', 'Fatigue', 'Hypertrophic_obstructive_cardiomyopathy_(HOCM)']",4,13,2.167,B
4364,"['Sharp_abdominal_pain', 'Stomach_bloating', 'Side_pain', 'Symptoms_of_the_kidneys']",4,16,2.667,B
1031,"['Lead_poisoning', 'Clotrimazole', 'Risperidone']",3,12,4,B
1052,"['Chronic_sinusitis', 'Fever', 'Joint_pain', 'Adderall']",4,19,3.167,B
5405,"['Excessive_anger', 'Lack_of_growth', 'Drug_abuse', 'Fears_and_phobias', 'Delusions_or_hallucinations']",5,26,2.6,B
3894,"['Shoulder_pain', 'Headache', 'Arm_pain', 'Neck_pain']",4,12,2,A
4504,"['Mass_or_swelling_around_the_anus', 'Sharp_abdominal_pain', 'Changes_in_stool_appearance']",3,12,4,B
1353,"['Retinopathy_due_to_high_blood_pressure', 'Recent_pregnancy']",2,5,5,C
2172,"['Shoulder_pain', 'Neck_pain']",2,2,2,A
4323,"['Loss_of_sensation', 'Arm_pain', 'Hand_or_finger_pain', 'Hand_or_finger_swelling', 'Foot_or_toe_pain', 'Foot_or_toe_cramps_or_spasms', 'Ankle_pain']",7,62,2.952,B
4970,"['Hip_pain', 'Side_pain', 'Difficulty_speaking', 'Delusions_or_hallucinations', 'Seizures']",5,34,3.4,B
3467,"['Mass_or_swelling_around_the_anus', 'Neck_mass']",2,4,4,B
1736,"['Bleeding_from_eye', 'Cross-eyed', 'Spots_or_clouds_in_vision', 'Eye_redness']",4,18,3,B
4418,"['Uterine_contractions', 'Anxiety_and_nervousness']",2,2,2,A
1648,"['Eye_strain', 'Eye_alignment_disorder', 'Fluid_in_ear']",3,10,3.333,B
3269,['Pain_in_eye'],1,0,0,Z
3060,['Pain_in_eye'],1,0,0,Z
3589,"['Pain_of_the_anus', 'Joint_pain', 'Nausea', 'Rectal_bleeding']",4,18,3,B
4240,"['Incontinence_of_stool', 'Pain_of_the_anus', 'Low_back_cramps_or_spasms', 'Mass_or_swelling_around_the_anus', 'Blood_in_stool']",5,40,4,B
3699,"['Joint_pain', 'Groin_pain', 'Lower_body_pain', 'Low_back_pain']",4,20,3.333,B
992,"['Foot_or_toe_pain', 'Headache', 'Eating_disorder', 'Adderall']",4,21,3.5,B
2031,"['Injury_to_the_finger', 'Hand_or_finger_pain', 'Knee_swelling']",3,6,2,A
1841,"['Loss_of_sensation', 'Coryza', 'Nausea']",3,6,2,A
525,"['Pinworm_infection', 'Feeling_ill']",2,3,3,B
2770,['Vomiting'],1,0,0,Z
173,"['Culture_wound', 'Wound_care_management', 'Other_diagnostic_procedures_(interview;_evaluation;_consultation)', 'Psychotherapy']",4,18,3,B
4820,"['Neck_pain', 'Back_pain', 'Bones_are_painful', 'Pain_or_soreness_of_breast']",4,22,3.667,B
4538,"['Delusions_or_hallucinations', 'Seizures', 'Stiffness_all_over']",3,10,3.333,B
1886,"['Difficulty_breathing', 'Elbow_weakness', 'Anxiety_and_nervousness', 'Panic_disorder']",4,13,2.167,B
4821,"['Examination_of_breast', 'Pain_or_soreness_of_breast', 'Problems_with_shape_or_size_of_breast', 'Neck_pain']",4,24,4,B
1805,"['Diarrhea', 'Decreased_appetite']",2,2,2,A
59,"['Intermenstrual_bleeding', 'Unpredictable_menstruation', 'Idiopathic_nonmenstrual_bleeding']",3,4,1.333,A
582,"['Cough', 'Difficulty_breathing', 'Nasal_congestion']",3,6,2,A
5170,"['Diminished_vision', 'Pain_in_eye', 'Difficulty_in_swallowing', 'Joint_pain']",4,20,3.333,B
483,"['Fibromyalgia', 'Pituitary_adenoma', 'Hematologic_tests_(Blood_test)']",3,8,2.667,B
1876,"['Headache', 'Dizziness']",2,2,2,A
258,"['Temper_problems', 'Mental_health_counseling']",2,2,2,A
2707,"['Fainting', 'Itchiness_of_eye', 'Difficulty_breathing']",3,14,4.667,C
581,"['Injury_to_the_hand', 'Suprapubic_pain', 'Mouth_dryness']",3,10,3.333,B
4212,['Vomiting'],1,0,0,Z
1950,"['Hip_lump_or_mass', 'Headache', 'Depressive_or_psychotic_symptoms']",3,6,2,A
2282,['Shoulder_pain'],1,0,0,Z
3977,"['Loss_of_sensation', 'Feet_turned_in']",2,4,4,B
1756,"['Upper_abdominal_pain', 'Sharp_chest_pain', 'Pain_during_pregnancy']",3,6,2,A
1084,"['Pituitary_adenoma', 'Salivary_gland_disorder']",2,2,2,A
4678,"['Unpredictable_menstruation', 'Pain_or_soreness_of_breast', 'Painful_menstruation']",3,10,3.333,B
4721,"['Skin_irritation', 'Acne_or_pimples', 'Itching_of_skin', 'Skin_growth', 'Examination_of_breast']",5,30,3,B
3873,"['Vaginal_dryness', 'Sweating', 'Weight_gain']",3,12,4,B
1991,"['Disturbance_of_memory', 'Vomiting', 'Headache']",3,6,2,A
3875,"['Decreased_appetite', 'Frontal_headache', 'Upper_abdominal_pain', 'Cough']",4,18,3,B
3335,"['Irregular_heartbeat', 'Dizziness', 'Increased_heart_rate']",3,6,2,A
1560,"['Spondylitis', 'Headache', 'Adderall']",3,10,3.333,B
773,"['Poisoning_due_to_analgesics', 'Nausea', 'Dizziness']",3,8,2.667,B
795,"['Cellulitis_or_abscess_of_mouth', 'Mouth_ulcer']",2,1,1,A
5399,"['Skin_swelling', 'Warts', 'Skin_lesion']",3,6,2,A
3532,"['Dry_lips', 'Mouth_ulcer', 'Bleeding_from_ear', 'Adderall']",4,22,3.667,B
2903,"['Lip_swelling', 'Itching_of_skin', 'Skin_swelling']",3,8,2.667,B
3470,"['Hand_or_finger_swelling', 'Skin_irritation', 'Wrist_swelling', 'Bones_are_painful']",4,22,3.667,B
3368,"['Diminished_hearing', 'Weakness', 'Disturbance_of_memory']",3,10,3.333,B
3826,"['Foreign_body_sensation_in_eye', 'Abnormal_movement_of_eyelid', 'Itchy_eyelid']",3,8,2.667,B
444,"['Skin_moles', 'Hematologic_tests_(Blood_test)']",2,4,4,B
5354,"['Vaginal_dryness', 'Frequent_urination', 'Foot_or_toe_swelling']",3,10,3.333,B
5294,"['Vomiting', 'Weakness', 'Ache_all_over', 'Leg_pain']",4,20,3.333,B
807,"['Transient_ischemic_attack', 'Diabetic_retinopathy']",2,2,2,A
497,"['Cysticercosis', 'Vaginal_yeast_infection', 'Irregular_appearing_nails', 'Ingrown_toe_nail', 'Foot_or_toe_pain']",5,32,3.2,B
3299,"['Joint_pain', 'Leg_pain', 'Insomnia']",3,10,3.333,B
2780,"['Shortness_of_breath', 'Anxiety_and_nervousness', 'Panic_disorder', 'Palpitations']",4,9,1.5,A
896,"['Shortness_of_breath', 'Cough', 'Congestion_in_chest', 'Difficulty_breathing']",4,12,2,A
2037,"['Problems_during_pregnancy', 'Low_self-esteem', 'Throat_irritation', 'Abusing_alcohol', 'Hostile_behavior']",5,20,2,A
1570,"['Nasal_congestion', 'Cough', 'Diminished_hearing']",3,6,2,A
1559,"['Hip_lump_or_mass', 'Adderall']",2,4,4,B
4394,"['Lack_of_growth', 'Impotence', 'Symptoms_of_eye', 'Acne_or_pimples', 'Painful_menstruation']",5,38,3.8,B
3676,"['Sharp_abdominal_pain', 'Blood_in_stool']",2,2,2,A
1149,"['Cellulitis_or_abscess_of_mouth', 'Headache']",2,3,3,B
1504,"['Osteochondrosis', 'Adderall']",2,3,3,B
3790,"['Recent_pregnancy', 'Excessive_anger', 'Fever', 'Nasal_congestion']",4,18,3,B
2047,"['Itching_of_the_anus', 'Burning_abdominal_pain', 'Ankle_pain']",3,6,2,A
618,"['Weakness', 'Dizziness', 'Feeling_hot_and_cold']",3,10,3.333,B
3631,"['Fainting', 'Irregular_heartbeat']",2,2,2,A
4509,"['Skin_moles', 'Elbow_weakness', 'Feet_turned_in']",3,12,4,B
803,['Vaginitis'],1,0,0,Z
415,"['Injury_to_the_knee', 'Fainting']",2,5,5,C
5343,"['Leg_swelling', 'Vaginal_pain', 'Arm_swelling', 'Leg_pain']",4,14,2.333,B
4429,"['Lymphedema', 'Symptoms_of_eye']",2,4,4,B
121,"['Shortness_of_breath', 'Wheezing', 'Cough', 'Coughing_up_sputum', 'Emphysema']",5,20,2,A
765,"['Mivacurium', 'Skin_moles', 'Calcium_Carbonate']",3,12,4,B
1937,"['Difficulty_speaking', 'Depression', 'Disturbance_of_memory', 'Hand_or_finger_weakness']",4,22,3.667,B
1363,"['Anxiety_and_nervousness', 'Fears_and_phobias', 'Seizures', 'Insomnia']",4,18,3,B
3330,"['Weakness', 'Sharp_chest_pain', 'Drug_abuse', 'Abusing_alcohol']",4,18,3,B
3979,"['Sore_throat', 'Ear_pain', 'Pulling_at_ears']",3,8,2.667,B
3944,"['Foot_or_toe_lump_or_mass', 'Foot_or_toe_pain']",2,4,4,B
1752,"['Too_little_hair', 'Cefotetan']",2,4,4,B
3286,"['Insomnia', 'Fatigue', 'Heartburn', 'Irregular_heartbeat']",4,18,3,B
481,"['Retinopathy_due_to_high_blood_pressure', 'Knee_swelling', 'Recent_pregnancy', 'Problem_during_pregnancy']",4,22,3.667,B
1349,"['Loss_of_sensation', 'Feeling_cold', 'Injury_to_the_finger', 'Feet_turned_in', 'Human', 'Charcoal', 'Fever', 'Fatigue', 'Skin_rash', 'Adderall']",10,175,3.889,B
3105,"['Fever', 'Sinus_congestion']",2,2,2,A
18,"['Tinnitus_of_unknown_cause', 'Ringing_in_ear']",2,1,1,A
3199,"['Ear_pain', 'Headache', 'Swollen_lymph_nodes']",3,8,2.667,B
2173,"['Headache', 'Abusing_alcohol', 'Fainting', 'Sleepiness']",4,16,2.667,B
3728,"['Knee_pain', 'Ache_all_over', 'Vomiting', 'Sharp_abdominal_pain', 'Fever']",5,26,2.6,B
2337,"['Feeling_cold', 'Foot_or_toe_swelling']",2,6,6,C
3466,"['Lump_in_throat', 'Vaginal_dryness', 'Leg_cramps_or_spasms']",3,14,4.667,C
4553,"['Depression', 'Stiffness_all_over']",2,4,4,B
5423,"['Fatigue', 'Sharp_abdominal_pain', 'Fever', 'Nausea']",4,14,2.333,B
3987,"['Sharp_abdominal_pain', 'Pelvic_pain', 'Painful_menstruation']",3,6,2,A
1269,"['Wrist_pain', 'Headache', 'Problems_with_movement']",3,10,3.333,B
