Question_ID,Question,GreedyDist,GreedyDist_distance,GreedyDist_subgraph,GreedyDist_subgraph_distance
20,"Doctor, I believe I have been suffering from an eating disorder for a while now. I feel like my relationship with food has become extremely unhealthy, and it's affecting my mental health as well. I often find myself obsessing over my weight and food intake, and I don't know how to stop.",43,1,43,1
21,"Doctor, I experienced a sudden weakness and numbness on the right side of my body yesterday. It lasted for a few minutes and then went away. I also had trouble speaking for a brief period. Could you please help me figure out what's going on?",59,2,59,2
22,"Hi, doctor. I think I have Pyelonephritis. I've been experiencing pain in my lower back and side, fever, chills and frequent urination. ",177,2,177,2
23,"Hi doctor, I think I have a rotator cuff injury, I'm experiencing shoulder pain and stiffness. ",134,2,134,2
24,"Doctor, I have been experiencing chronic pain for a few months now.",119,5,119,5
25,"Doctor, I am experiencing some problems during my pregnancy lately.",154,5,154,5
26,"Doctor, I have been experiencing some discomfort in my abdomen and the skin on my body seems to be turning yellow. I am worried that it may be something serious.",74,2,74,2
27,"Doctor, I have been having trouble breathing for the past few days. I feel like I am not able to take deep breaths and it feels like something is compressed in my chest.",123,2,123,2
28,"Doctor, I injured my hand and it's really painful. What tests do you recommend?",175,5,175,5
29,"Doctor, I have been experiencing severe pain in my upper right abdomen and back along with nausea and vomiting. My doctor suspects that I might have Choledocholithiasis. What medical tests should I undertake to confirm the diagnosis?",50,5,50,5
30,"Hi doctor, I think I injured my hip while running yesterday. It hurts a lot and I have difficulty moving.",112,5,112,5
31,"Doctor, I have been feeling very fatigued lately and my abdomen feels swollen and tender. I am also experiencing jaundice in my eyes. Could it be a liver problem?",68,1,68,1
32,"Doctor, I think I might have a thoracic aortic aneurysm, can you please tell me what tests I need to do?",26,5,26,5
33,"Hello, I've been experiencing some intense headaches recently and I'm worried it might be something serious.",31,1,31,1
34,"Doctor, I was diagnosed with congenital rubella. What medical tests do I need to undergo?",94,5,94,5
35,"Doctor, I have been recently diagnosed with diabetic retinopathy, what tests do I need to undergo?",78,5,78,5
36,"Doctor, I have been experiencing severe muscle pain, fatigue, and sleep disturbances for a few months now. I have done some research and I think I might have fibromyalgia, can you help me confirm it?",22,1,22,1
37,"Doctor, I'm experiencing abdominal pain and I think it might be related to my bowel. Can you help me?",69,5,69,5
38,"Doctor, I think my child may have fetal alcohol syndrome. What tests are required to confirm this?",32,1,32,1
39,"Doctor, I have been feeling some abdominal pain with fever for the last few days. I am worried it might be peritonitis.",114,5,114,5
40,"Doctor, I have this sharp pain in my abdomen. I think I might have injured myself.",144,5,144,5
41,"Doctor, I have been experiencing severe pain in my abdomen, along with nausea and vomiting. I am also having trouble digesting food. ",43,1,42,1
42,"Doctor, I'm experiencing pain, swelling, and redness in my leg. My doctor suspected it might be thrombophlebitis. What medical tests do I need to undergo?",148,2,148,2
43,"Doctor, I have been experiencing shortness of breath, wheezing and coughing lately. I think I may have Asthma.",43,1,43,1
44,"Doctor, I think I have a foreign object stuck in my vagina.",153,5,153,5
45,"Doctor, I have been experiencing a tingling and uncomfortable sensation in my legs that keeps me awake at night. I have trouble sleeping because of it.",164,2,164,2
46,"Doctor, I have been experiencing shortness of breath lately and coughing up phlegm. I am afraid it could be emphysema.",176,2,176,2
47,"Hi doctor, I've been experiencing headaches, seizures and loss of appetite for the past few weeks. I did some research and I think I may have cysticercosis. ",186,5,186,5
48,"Doctor, I recently had an induced abortion and I'm feeling quite weak and have some pain. ",137,2,137,2
49,"Doctor, my baby has been very fussy and irritable lately. I'm pretty sure he's going through teething syndrome.",31,1,27,1
50,"Doctor, I have been experiencing severe stomach pain, nausea and vomiting, and diarrhea. I fear it might be an infectious gastroenteritis.",69,5,69,5
52,"Doctor, I have been experiencing some symptoms associated with Von Hippel-Lindau disease.",87,2,87,2
53,"Doctor, I am experiencing anxiety and depression due to my addiction to alcohol. What tests do I need to take to help diagnose my condition?",89,2,89,2
54,"Doctor, I have been feeling very down and sad after giving birth to my baby. It's been a few weeks now and I just can't seem to shake it off. ",29,1,29,1
55,"Doctor, I've been experiencing chest pain and shortness of breath lately. I'm afraid it could be something serious. ",35,5,35,5
56,"Hi doctor, I've had some severe pain in my back and lower spine lately. I think I might be suffering from spondylitis.",63,2,63,2
57,"Doctor, I am experiencing persistent headaches and vision problems. My vision has become blurry and I have been struggling to focus on objects lately.",195,2,195,2
58,"Doctor, I have been experiencing heavy and painful periods for the past few months, and I also have a constant urge to urinate. I suspect I might have uterine fibroids.",160,2,160,2
59,"Doctor, I have been experiencing bleeding in between my periods, and I'm not sure what's causing it.",134,2,134,2
60,"Hi Doctor, I have a bump in the upper eyelid of my right eye which is bothering me. I think it's called Chalazion. ",115,2,115,2
61,"Doctor, I think I might have ovarian torsion. I have been experiencing sudden and severe pelvic pain on one side, along with nausea and vomiting.",75,5,75,5
62,"Doctor, I have been experiencing some vision problems lately, and I was diagnosed with high blood pressure a few months ago. I am worried that this might be affecting my eyesight.",82,5,82,5
63,"Doctor, I've been experiencing a lot of itching and burning sensation in my vaginal area. I also have thick, white discharge. I think I might have a yeast infection.",129,2,129,2
64,"Doctor, I've been experiencing severe pain and tenderness behind my ear. I also have a fever and I'm having trouble hearing. I think I have mastoiditis.",116,2,116,2
65,"Doctor, I fell from a height and I have difficulty breathing and a sharp pain in my chest. ",107,2,107,2
66,"Doctor, I have been experiencing shortness of breath and chest pain lately. My father died of a heart disease, and I am concerned that I might have inherited it. What do you think could be the problem, and what tests do I need to take?",118,2,118,2
67,"Hi Doctor, I have been experiencing pain in my toe and I think it's because of an ingrown toenail. What should I do?",196,5,196,5
68,"Doctor, I've been having trouble breathing and coughing a lot lately. I also feel very tired all the time. ",168,2,168,2
69,"Doctor, I have an open wound on my hip and it's not healing. It's been a few days now and the pain is worse.",174,5,174,5
70,"Doctor, my eyesight has been getting blurry and I am having difficulty seeing things clearly, especially at night.",40,2,40,2
71,"Doctor, I think I have swallowed a small object, and it's stuck somewhere in my digestive system. What should I do?",153,5,153,5
72,"Doctor, my eye is red and painful, and my vision has been affected as well. I think I might have endophthalmitis. ",67,5,67,5
73,"Hi doctor, I have been having problems with my digestion. I feel like I am not absorbing the nutrients from the food I eat properly.",182,5,182,5
74,"Doctor, I suspect I have lead poisoning.",92,5,92,5
75,"Doctor, I have these weird bumps on my skin that won't go away. They look like small clusters of rough skin. Could it be viral warts?",162,2,162,2
76,"Doctor, I have been experiencing excessive sweating no matter what I do. It's becoming really uncomfortable and affecting my daily life.",88,2,88,2
77,"Doctor, I think I might have had a stroke. My left side suddenly felt weak and numb.",197,2,197,2
78,"Doctor, I have a painful lump on my buttocks that seems to be getting bigger. I think it might be a pilonidal cyst.",59,2,59,2
79,"Doctor, I had a crushing injury on my arm and I need to get some tests done. ",193,5,193,5
80,"Doctor, I have been experiencing difficulty walking and balancing, bladder control problems, and incontinence. I am also experiencing memory loss and confusion at times. What could be wrong with me?",25,1,26,1
81,"Doctor, I have been losing a lot of hair from my scalp and other parts of my body. I think I might have alopecia. ",102,2,102,2
82,"Doctor, I think I might have Hashimoto thyroiditis. I am experiencing tiredness, hair loss, weight gain, and dry and pale skin.",63,1,63,1
83,"Hi doctor, I've been experiencing a lot of pain in my feet and they feel very flat. I'm not sure what's going on. ",196,5,196,5
84,"Doctor, I have been having some discomfort in my abdomen and have been feeling fatigued lately. I did some research and I think I may have Nonalcoholic liver disease (NASH).",106,5,106,5
85,"Doctor, I have been experiencing joint swelling and pain, especially in my knees. I have also noticed that my joint is tender to the touch and I have limited mobility. I think I might have Hemarthrosis.",33,1,33,1
86,"Doctor, I think I have a fracture in my arm.",177,5,177,5
87,"Doctor, I have been experiencing excessive bleeding lately, even from small cuts. I am concerned that I may have a coagulation disorder. What tests do I need to confirm this?",194,2,194,2
88,"Doctor, I have been experiencing severe headache and nausea for the past couple of days. I also feel dizzy and have trouble focusing my eyes. What do you think could be causing this?",83,5,83,5
89,"Doctor, I have been feeling weak and fatigued lately, and my muscles are cramping a lot. Additionally, I am experiencing some heart palpitations. Could this be related to my increased potassium levels?",185,2,185,2
90,"Doctor, my eyes have been feeling really irritated for the past few days, and they are constantly red. I think I might have an infection in my cornea, what should I do?",59,5,59,5
91,"Doctor, I have been experiencing a lot of chest pain and difficulty breathing. I think I may have an abscess of the lung.",101,2,101,2
92,"Doctor, I'm experiencing high fever, severe headache, and joint pain. I'm afraid that I might have Dengue fever. ",177,2,177,2
93,"Hi doctor, I've been dealing with really bad sinus problems lately, and it's been going on for a while now. Can you help me figure out what's causing this?",102,2,102,2
94,"Hi doctor, I have been experiencing some discomfort in my ear for a while now and sometimes it feels like there is something blocking it.",105,3,105,3
95,"Doctor, I have been experiencing abdominal pains and distention, and sometimes, I feel nauseous and vomit. I also have constipation and difficulty passing gas.",45,1,45,1
96,"Doctor, I accidentally injured my finger while playing football. It's hurting a lot and I can't move it properly. What medical tests do I need to take? ",191,5,191,5
97,"Doctor, I've been feeling sick after taking some painkillers for my headache. I think I might have taken too much and now I'm feeling weak and my stomach hurts.",19,1,19,1
98,"Doctor, I've been experiencing irregular heartbeats, shortness of breath and fatigue for a few days now. What do you think might be wrong with me?",50,2,50,2
99,"Doctor, I think I have pinworm infection. I am having itching and discomfort around my anal region.",125,2,125,2
100,"Doctor, I've been experiencing difficulty urinating and sometimes have a weak stream. I think I may have urethral valves.",174,2,174,2
101,"Doctor, I have an open wound on my neck. It's been there for a while and it's starting to get infected. What should I do?",174,5,174,5
102,"Hello doctor, I have been having difficulty swallowing and I feel like my food is getting stuck in my throat. I also experience chest pain and heartburn. Do you think something is wrong with my esophagus?",174,2,174,2
103,"Hi doctor, I've been experiencing difficulty hearing lately, especially when there's a lot of background noise. I feel like I can't understand speech as clearly as I used to.",71,2,71,2
104,"Doctor, I have been having some problems with my abdomen lately. I feel a bulge in the lower part of my abdomen that gets bigger when I lift something heavy. It also causes me discomfort and some pain at times. ",30,1,28,1
105,"I have cerebral palsy, and I am having trouble with my motor skills, especially with walking and coordinating movements.",161,2,161,2
106,"Doctor, I think I might have a problem with marijuana abuse.",102,3,102,3
107,"Doctor, I've been experiencing headaches, blurred vision, and fatigue lately. I also have a history of HIV infection. I think I might have Cryptococcosis.",24,1,24,1
108,"Doctor, I'm concerned about my weight. I have been gaining a lot of weight lately and I feel very uncomfortable with it.",185,5,185,5
109,"Doctor, I have been experiencing constant stomach pains and difficulty digesting food. What medical tests do you recommend?",46,1,46,1
110,"Doctor, I think I have Bursitis. My joints are swollen and it hurts when I move them.",111,2,111,2
111,"Doctor, I have been experiencing difficulty swallowing and frequent chest pain. I looked it up and it seems like I might have esophageal cancer. ",153,2,153,2
112,"Doctor, I'm having trouble breathing and I've been coughing a lot. My chest feels tight and congested.",80,2,80,2
113,"Doctor, I've been having joint pain, stiffness and swelling in my knees, wrists and ankles for some time now. I also feel tired and weak all the time. What could be wrong with me?",101,2,101,2
114,I have been experiencing some scaly patches on my face and arms. It is usually itchy and painful. I am worried that it might be something serious. ,83,2,83,2
115,"Doctor, I have been experiencing ear pain and fever for the past few days. I also feel dizzy at times. What's wrong with me?",188,5,188,5
116,"Doctor, I have difficulty in seeing objects that are far away or up close. They seem blurry and distorted. I think I have Astigmatism. ",46,1,46,1
117,"Doctor, I have been having seizures and I have noticed some growths on my skin. I am concerned about my health.",57,2,57,2
118,"Doctor, I am experiencing intense chest pain, shortness of breath and a persistent cough. I was diagnosed with pneumonia a few weeks ago and was treated with antibiotics, but my symptoms have not improved.",58,1,58,1
119,"I have been experiencing hearing loss and difficulty understanding people's speech lately. I think it might be presbyacusis, what medical tests do I need to undergo?",116,2,116,2
120,"Hi doctor, I think my newborn baby has neonatal jaundice, his skin looks yellowish.",185,3,185,3
121,"Doctor, I have been experiencing shortness of breath and wheezing for a while now. I also have a persistent cough and a lot of phlegm. I am worried that I might have COPD. ",42,1,42,1
122,"Doctor, I fell down and my elbow is dislocated. What tests do I need to undergo for the treatment?",119,2,119,2
123,"Doctor, I have been experiencing severe back pain for the past few weeks.",23,5,23,5
124,"Doctor, I am experiencing a sore throat and a high fever. I also have small blisters in the back of my mouth. What could be the problem?",169,5,169,5
125,"Doctor, I fell down while playing basketball and I think I have injured my shoulder. It hurts a lot when I move it and I am unable to lift my arm above my head.",129,2,129,2
126,"Doctor, I have been feeling extremely ill lately and I think it might be due to my antidepressants. I have been experiencing nausea, dizziness, and have been fainting frequently. ",180,2,180,2
127,"Doctor, I have this open wound on my leg and I think it's infected. ",174,5,174,5
128,"Doctor, I've been experiencing swelling and pain in my leg for the past few days. I'm worried I might have deep vein thrombosis.",121,2,121,2
129,I have been feeling extremely weak lately and have noticed that my muscles are not developing as they used to. I also feel fatigued most of the time.,171,2,171,2
130,"Doctor, I have been experiencing sudden muscle jerks and twitches in my arms and legs. I think I might have myoclonus. What medical tests should I undergo for this?",40,1,37,1
131,"Doctor, I have been experiencing severe heel pain and I was told that I may have a bone spur of the calcaneus. What medical tests do I need to undergo?",80,2,80,2
132,"Doctor, I've been experiencing excessive bleeding and bruising lately. My mother also had a bleeding disorder. I think I might have Von Willebrand disease.",193,5,193,5
133,"Doctor, I have a painful open wound on my back that doesn't seem to be healing properly. Can you help me?",18,1,18,1
134,"Doctor, I have been feeling very dizzy and weak lately. I'm also experiencing shortness of breath and chest pain, especially when I'm physically active. I think I might have a heart problem.",68,2,68,2
135,"Doctor, I've been experiencing some discomfort and noticed blood in my stool. I did some research and think I might have a colonic polyp. What tests do I need?",30,1,30,1
136,"Doc, I feel weak and tired all the time. And my muscles are getting really painful lately.",100,2,100,2
137,"Hello doctor, I have been trying to conceive for a while now, but I am not getting pregnant. I went to a gynecologist and was diagnosed with female infertility of unknown cause. What tests do I need to take now?",29,1,29,1
138,"Doctor, I have been having chest pain and difficulty breathing lately. My primary care physician suspects that I may have pericarditis. What kind of tests do I need to confirm this diagnosis?",137,2,137,2
139,"I think I may have ADHD, I have trouble focusing and staying organized.",142,2,142,2
140,"Doctor, I've been experiencing blindness in one eye, muscle weakness, and numbness in my limbs. My physician told me it might be Neuromyelitis optica. What tests do I need to confirm this?",47,1,44,1
141,"Doctor, I think I have some problems with my heart valve. I experience shortness of breath and heart palpitations quite often.",194,3,194,3
142,"Doctor, I have been experiencing chest pain and tenderness in my upper chest area. It's been quite concerning, I'm not sure what's wrong.",195,4,195,4
143,"Hello, doctor. I have been experiencing some weakness in my facial muscles and double vision. My eye movements have also been affected. Do you know what could be causing this?",181,2,181,2
144,"Hi doctor, I fell down the stairs yesterday and hurt my arm. It's been really painful since then and I can't move it properly.",175,5,175,5
145,"Hi doctor, I'm experiencing some strange symptoms like sudden blindness, paralysis and tremors. What do you think is causing these?",95,2,95,2
146,"Hi doc, I have been experiencing pain and swelling in my hands and feet lately. It's really bothering me and I'm not sure what's going on.",41,2,41,2
147,"Doctor, I have been experiencing hearing loss and occasional dizziness. I went to an ENT specialist who diagnosed me with Otosclerosis. What medical tests do I need to undergo?",119,2,119,2
148,"Doctor, I fell off my bike and injured my trunk. I am experiencing severe pain.",175,5,175,5
149,"Hi doctor, I've been feeling very tired and sluggish lately, and I've gained some weight even though I haven't changed my diet. I'm not sure what's wrong with me. ",19,1,18,1
150,"Hi doctor, I have been having trouble sleeping for the past month. I find it difficult to fall asleep and even when I do, I wake up frequently during the night. I think I might have primary insomnia.",122,2,122,2
151,"Doctor, I have been experiencing extreme itching on my scalp and noticed some small insects moving around. I think I have lice. What medical tests do I need to undergo?",157,2,157,2
152,"Doctor, I have been feeling very weak and tired lately, and my hands and feet are often numb. I think I may have a Vitamin B12 deficiency.",69,2,69,2
153,"Hi doctor, I am worried that I might be suffering from diabetes as I have been experiencing excessive thirst, frequent urination, fatigue, and blurry vision.",33,1,30,1
154,"Doctor, I have been experiencing severe pain in my vulva for quite some time now.",62,3,62,3
155,"Hi doctor, I have been experiencing severe abdominal pain and heavy periods for a while now. I did some research online, and I think I might have endometriosis.",183,2,183,2
156,"Doctor, I've been experiencing joint pain, unrelated fever, fatigue and weight loss. After running some tests, the doctor has told me I have Vasculitis. What medical tests do I need to take? ",52,1,52,1
157,"Doctor, I was playing football and got hit on the head, and now I'm experiencing dizziness, headaches, and blurred vision.",175,5,175,5
158,Hi doctor. I have noticed white patches on the inside of my mouth that have been there for a while. I am concerned that it might be oral leukoplakia. ,110,2,110,2
159,"Doctor, I have been experiencing some symptoms that I think might be related to my kidneys. I feel tired all the time, my appetite has decreased, and I have noticed swelling in my feet and ankles.",115,2,115,2
160,"Doctor, I have been experiencing some discomfort and pain while passing urine. I also feel like I need to urinate more frequently than usual. Could you tell me what's wrong with me and what medical tests I need to take?",105,2,105,2
161,"Doctor, I have been experiencing vision problems and I recently got diagnosed with chorioretinitis. What medical tests do I need to undergo?",54,5,54,5
162,"Doctor, I believe I have priapism. My erection hasn't gone away for a few hours now, and it's quite painful.",195,3,195,3
163,"Doctor, I have been experiencing muscle pain and weakness for a while now. My doctor said I might have myositis. What medical tests do I need?",70,1,70,1
164,"Doctor, I have been feeling extremely fatigued and have had a persistent sore throat for the past week. ",168,5,168,5
165,"Doctor, I have been experiencing a lot of pain in my nerves lately. Sometimes it's like electric shocks and sometimes it's a burning sensation. It's really affecting my daily life.",191,3,191,3
166,"Doctor, I have been experiencing a lot of pain in my lower back and sides. I also noticed that my urine is becoming darker. I am worried that I might have polycystic kidney disease. ",51,2,51,2
167,"I have been experiencing periods of mania and depression, and my mood swings have been affecting my daily life.",130,5,130,5
169,"Doctor, I have been experiencing weakness and numbness in my arms and legs for quite some time now. Sometimes it gets really difficult for me to even stand up or walk properly. I also have difficulty gripping things.",21,1,21,1
170,"Doctor, I've been experiencing heartburn and acid reflux for the past few months. It's becoming more frequent and often happens after I eat. ",169,3,169,3
171,"Doctor, I have been experiencing some vision problems and I think I might have a vitreous hemorrhage.",156,2,156,2
172,"Doctor, I think I have been poisoned with antimicrobial drugs, and I am feeling very weak and nauseous. What medical tests do I need to take?",126,2,126,2
173,"Doctor, I have an open wound in my mouth that isn't healing on its own. Can you please help me diagnose and treat it?",60,2,60,2
174,"Doctor, I have been experiencing skin tightening and thickening of my fingers for the past few months, along with difficulty in swallowing and breathing. ",45,2,45,2
175,"Doctor, I've been feeling very weak and fatigued lately. My muscles have been losing strength and it's been difficult to control them as well. I also experience double vision at times. What could be the problem?",28,1,25,1
176,"Doctor, I have been feeling dizzy, sweating excessively, and I often lose consciousness on certain days. What could be wrong with me? ",113,2,113,2
177,"Doctor, I haven't had my period for 3 months now. I am concerned, could there be a problem?",121,3,121,3
178,"Doctor, I think I dislocated my ankle. I am experiencing swelling and extreme pain. ",19,1,16,1
179,"Doctor, I have been feeling dizzy and lightheaded lately. I also experience headaches and nausea. I suspect that I might have been exposed to carbon monoxide.",60,1,60,1
180,"Doctor, I think I have been experiencing panic attacks lately. I feel my heart racing and my hands sweating.",91,2,91,2
181,"Doctor, I've been experiencing a lot of pain in my heels lately. It's especially bad in the mornings when I first get up. I've read about plantar fasciitis and I think that might be what's going on. What kind of tests do I need?",195,5,195,5
182,"Doctor, I have difficulty seeing objects near me clearly. It seems like I have to keep them far away to see them properly.",58,5,58,5
183,"Doctor, I think I might have been poisoned by sedatives.",90,2,90,2
184,"Doctor, I have been experiencing severe blisters and sores on my skin. It's painful and uncomfortable. What could be wrong with me?",135,2,135,2
185,"Doctor, I'm experiencing pain and a curvature in my penis while erect. I think I might have Peyronie disease. What medical tests do I need to take?",65,1,65,1
186,"Doctor, I have been experiencing heartburn and chest pain. My friend who is a nurse thinks I might have a hiatal hernia. What tests do I need to confirm this?",37,1,37,1
187,"Doctor, I think I am experiencing some extrapyramidal effects from my medication.",159,3,159,3
188,"Doctor, I have been having episodes of vertigo, tinnitus and hearing loss - I think I might have Meniere disease.",166,2,166,2
189,"Doctor, I am experiencing a lot of pain and discomfort in my anal area. I think I may have an anal fissure.",188,3,188,3
190,"Doctor, I've been experiencing constant sneezing, itching in my eyes and runny nose. I'm worried I might have an allergy.",117,2,117,2
191,"Hi doctor, I've been experiencing a lot of ear pain, discharge and hearing loss for a long time now. I think I might have chronic otitis media. ",96,2,96,2
192,"Hi doctor, my finger really hurts and I can't move it properly. ",120,3,120,3
193,"Doctor, I have been experiencing constipation and severe abdominal cramps for the past few weeks. I am also unable to pass stool completely. ",12,1,12,1
194,"Doctor, I've been experiencing stiffness and pain in my shoulders, neck, and hip for a few weeks now. I also have a low-grade fever and feel tired all the time. Do you know what might be causing this?",48,1,47,1
195,"I've been experiencing swelling in my arms and legs lately. My arms feel heavy and my skin appears to be stretching. It's causing a lot of discomfort, and it's hard to perform simple tasks. ",39,2,39,2
196,"Doctor, I have been experiencing pain while urinating and have noticed blood in my urine. I am worried that I might have bladder cancer.",56,2,56,2
197,"Doctor, I've been having difficulty breathing and wheezing. I think I might have acute bronchospasm, what tests do I need to take?",167,2,167,2
198,"Doctor, my eyes feel really painful and my vision seems to be blurry. I also see rainbow-colored rings around lights sometimes.",78,2,78,2
199,"Doctor, I have an open wound on my chest that has been causing me a lot of discomfort. What tests do I need to get done to treat it?",79,2,79,2
200,"Doctor, I have been experiencing a lot of pain in my knee, and I am unable to move it properly. I think I might have dislocated my patella. What should I do?",25,1,25,1
201,"Hi Doctor, I have been having a lot of pain in my lower back and legs, and I think it might be sciatica.",170,3,170,3
202,"Doctor, I have been experiencing frequent urination, constipation, and fatigue lately. Yesterday, I also felt a tingling sensation in my hands and feet. Do you know what could be causing this?",53,2,53,2
203,"Doctor, I've been experiencing occasional urine leaks when I cough or sneeze. It's embarrassing and I feel like I can't control it.",175,2,175,2
204,"Doctor, I have been having painful and swollen veins in my legs, I think I might have varicose veins.",34,2,34,2
205,"Hi doctor, I am experiencing some pain in my lower abdomen and after a few tests, I have been diagnosed with a benign kidney cyst. What medical tests do I need to undergo now? ",28,1,28,1
206,"Hi doctor, I have a swelling in my testicle and it's been bothering me for a while now.",122,3,122,3
207,"Doctor, I have been experiencing consistent back pain for a while and lately, the pain has been increasing. My last x-ray showed that I have degenerative disc disease. What tests do I need to undergo further evaluation and treatment?",184,5,184,5
208,"Doctor, I'm experiencing excessive hair growth on my face, chest, and back. I also have some darkening of the skin in those areas. What could be the cause of this issue?",36,1,36,1
209,"Doctor, I think I have dislocated my foot. It's really painful and I can't put any weight on it.",86,2,86,2
210,"Doctor, I've been experiencing severe pain in my lower back and side, and I often feel nauseated. I think I might have hydronephrosis.",136,2,136,2
211,"Hi doctor, I have been having abdominal pain and bloating for the past few weeks. I also experience constipation and diarrhea alternatively. My friend told me it could be Diverticulosis. ",155,2,155,2
212,"Doctor, I am experiencing intense pain in the area where I had my operation a week ago. What tests do I need to undergo?",171,2,171,2
213,"Hello doctor, I have been experiencing some involuntary movements and have difficulty in controlling them. My father also had similar problems, and I am worried that I might have Huntington Disease. What medical tests do I need to confirm this?",104,2,104,2
214,"Doctor, I think I might have contracted West Nile virus.",96,5,96,5
215,"Doctor, I am concerned that I may have lymphoma. I have been experiencing swollen lymph nodes, fatigue, and unexplained weight loss.",105,2,105,2
216,"Doctor, I've been suffering from rashes and itchiness on my skin for a while now. After consulting with my friends, I think it might be dermatitis due to sun exposure. What medical tests do I need to undergo?",24,1,24,1
217,"Doctor, I have been feeling really tired and weak lately, and my skin looks pale. I heard that it could be related to my chronic kidney disease. What do you think?",136,2,136,2
218,I had an accident last night and I think I might have injured one of my internal organs. ,175,5,175,5
219,"Doctor, I have been experiencing severe eye pain and discomfort for the past few days. I also have redness in my eye and blurred vision.",82,5,82,5
220,"Doctor, I have been experiencing some redness, irritation and growth on my eye. My vision is also getting blurry day by day, it seems like there is some growth on my cornea as well.",44,1,44,1
221,"Doctor, I think I have a fungal infection on my skin. I have red, itchy patches on my arm and leg. What should I do?",160,2,160,2
222,"Hi doctor, I think I may have accidentally overdosed on insulin. I feel very weak and my heart is racing.",157,3,157,3
223,"Doctor, I have been feeling very fatigued and nauseous lately. I've also noticed that I've been drinking a lot of water but not urinating as much as usual.",69,2,69,2
224,"Doctor, I think I got something stuck in my ear.",120,3,120,3
225,"Hi doctor, I've been having some uncomfortable symptoms every month before my period, and I think I might have premenstrual tension syndrome. ",134,3,134,3
226,"Hello doctor, I have been experiencing pain and swelling in my eye. It's been causing a lot of discomfort and I'm having trouble seeing properly.",162,2,162,2
227,"Hi doctor, I injured my leg and it's been really painful. I can't put any weight on it and there's a large bruise.",193,5,193,5
228,"Doctor, I have been experiencing confusion, forgetfulness, and disorientation. I have also been having difficulty speaking and writing. I am scared that something is wrong with me.",148,2,148,2
229,"Doctor, I have been having severe pain in my leg for the past few weeks, and I also noticed that my leg has been swelling. I am worried that it could be something serious.",194,5,194,5
230,"Doctor, I think I might have Leishmaniasis.",89,5,89,5
231,"Doctor, I think I have Chagas disease.",11,5,11,5
232,"Doctor, I've been experiencing pain and weakness in my arms and legs, and sometimes it feels like my temperature sensing has been affected as well. I'm worried that it could be Syringomyelia.",45,1,45,1
233,"Doctor, I have been experiencing shortness of breath and a persistent cough. I am concerned that I might be suffering from pulmonary fibrosis.",116,5,116,5
234,"Doctor, I've been experiencing shortness of breath and fatigue lately. I also have a history of heart palpitations. Could it be related to my mitral valve disease?",54,2,54,2
235,"Doctor, I have been experiencing tremors, stiffness in my muscles and difficulty in movement. I have also noticed a change in my handwriting. I am concerned that I might have Parkinson disease.",40,1,40,1
236,"Doctor, I think I might have gout. I'm experiencing severe pain and swelling in my big toe.",164,2,164,2
237,"Doctor, I've been experiencing severe ear pain and hearing loss for the past few days. I also have high fever and a feeling of pressure in my ear. What could be wrong with me?",49,2,49,2
