Question_ID,Question,KG_nodes_count,Path_nodes_count
4465,"Doctor, I have been experiencing some symptoms lately. I have been abusing alcohol, feeling depressed, and having temper problems. I also have some fears and phobia. ",9,9
3437,"Doctor, I've been experiencing sweating along with back pain, foot or toe weakness, and dizziness. What do you think could be the problem?",9,9
1806,"Doctor, I have been experiencing vomiting, burning abdominal pain and sharp abdominal pain, what could be the problem?",7,7
3680,"Doctor, I've been having pelvic pain and it's been bothering me a lot lately. What could be causing this?",7,7
4828,"Doctor, I have been experiencing cough, elbow cramps, excessive growth, low back weakness, and decreased appetite. What could this be?",8,8
2279,"Doctor, I have a plugged feeling in my ear and my hearing has diminished recently. Additionally, I've been biting my nails a lot and experiencing some emotional symptoms. I've also noticed some muscle swelling. What could be causing all these symptoms?",9,9
54,"Doctor, I have been feeling very down and sad after giving birth to my baby. It's been a few weeks now and I just can't seem to shake it off. ",5,5
1308,"Doctor, I broke my tooth and it's really hurting. What medication should I take?",6,6
3463,"Hi doctor, I've been experiencing leg cramps or spasms a lot lately. Any idea what could be causing it?",5,5
2788,"Doctor, I have been experiencing some strange symptoms lately, including focal weakness, depressive thoughts, and itching of my skin. Can you tell me what might be causing these symptoms? ",9,9
2277,"Doctor, I have been experiencing some dizziness, weakness in my elbow and low back area, and my muscles have been swelling. Additionally, I am also having a plugged feeling in my ear. Can you please tell me what's wrong with me?",9,9
1274,"Hi Doc, I've been experiencing knee pain for a while now and it hurts even more when I climb stairs or do any kind of physical activity.",5,5
1764,"Doctor, I've been experiencing Hemoptysis, Sharp abdominal pain, Side pain, Diarrhea, and Burning abdominal pain. What could be the reason for all these symptoms?",9,9
2758,"Doctor, I have a mouth ulcer and my gums are hurting a lot. What could be the reason for this?",5,5
838,"Doctor, I have been feeling really down and hopeless since I had my baby. I think I might have postpartum depression.",4,4
760,"Hi Doctor, I've been having some behavioral issues lately. I get into a lot of fights and feel angry all the time. ",4,4
3113,"Doctor, I have been experiencing neck swelling, toothache, mouth pain, peripheral edema, and gum pain. What could be the issue?",9,9
793,I have been experiencing vaginal dryness and itching lately. It's making sex very uncomfortable.,4,4
2941,"Hi doctor, I have been experiencing cramps and spasms in my lower abdomen for the past week. I also noticed a mass on my vulva, my menstruation has become very infrequent and I've been having unusual vaginal discharge. Additionally, I experienced some vaginal bleeding after menopause. What could be causing these symptoms?",10,10
2818,"Doctor, I've been experiencing nausea, a headache, and a plugged feeling in my ear. What's wrong with me?",5,5
4946,"Doctor, I have been experiencing symptoms like vaginal itching, painful urination, groin pain, vaginal discharge, and also I have some skin lesions. What could be the reason for these symptoms?",8,8
2167,"Doctor, I have redness in my ear and my skin has an abnormal appearance. What could be wrong?",5,5
356,"Doctor, I fell off my bike and got an open wound on my cheek. What do I need to do?",5,5
3764,"Doctor, I have been experiencing some trouble with urination lately. I have to go very frequently and sometimes I even urinate involuntarily.",7,7
4393,"Hey doctor, I am experiencing some symptoms of eye, like blurred vision and dry eyes. Can you please tell me what could be the issue?",5,5
1023," Hi doctor, I have been experiencing some discomfort and pain in my kidneys. I am concerned that I may have acute kidney injury. ",7,7
3101,"Doctor, I have been experiencing impotence, heartburn, blood in stool, and leg swelling. What could be the reason for these symptoms?",9,9
646,"Doctor, I have been having trouble retracting my foreskin. It's painful and causing inflammation. What should I do?",8,8
4523,"Doctor, I have been experiencing a sharp pain in my lower abdomen. It's mostly around the suprapubic region. What could be the reason for this pain?",4,4
2402,"Doctor, I have been feeling very depressed and sometimes I feel like I am losing my mind. I have also noticed that my breathing is shorter than usual and my movements feel restricted. Additionally, my feet and legs are swollen. What could be happening to me?",7,7
5150,"Doctor, I have been experiencing shoulder pain. Could you tell me what might be causing it?",7,7
5067,"Doctor, I have noticed problems with the shape and size of my breast and there is also some swelling in my back. Can you tell me what is wrong with me?",5,5
2963,"Doctor, I have been having some redness in my ear, facial pain, toothache, sore throat, and ear pain. What could be the issue?",8,8
4730,"Doctor, I have been having some issues with my ear lately. There's always this constant ringing in my ear and I feel like there's fluid in my ear.",4,4
1576,"Doctor, I've been experiencing suprapubic pain, groin mass, lack of growth, leg pain, and some emotional symptoms. What could be the problem?",6,6
570,"Doctor, I have been experiencing fatigue, weakness, and jaundice. My family has a history of anemia and I think I might have it too.",7,7
376,"Doctor, I have been experiencing dizziness and a feeling of everything spinning around me. It's been happening for a few days now and I'm a bit worried.",3,3
5418,"Doctor, I have a big swollen lip and I have an open wound in my jaw. What could be causing this?",5,5
1867,"Doctor, I have been experiencing sharp abdominal pain recently.",3,3
2371,"Hi doctor, I'm experiencing some pain in my neck, shoulder, and arm. Do you have any idea what it could be?",5,5
654,"Doctor, I have been experiencing shortness of breath and chest pain. My doctor believes that I have pleural effusion. What tests do I need to take to confirm this diagnosis?",4,4
1908,"Doctor, I have been experiencing vomiting blood, incontinence of stool, and temper problems lately. What could be the problem?",4,4
828,"Doctor, I think I may have a foreign object stuck in my vagina, and I'm experiencing discomfort.",4,4
3114,"Doctor, I have been experiencing gum pain and pain in my gums. What could be the problem?",5,5
2278,"Doctor, I have been experiencing elbow cramps and weakness lately, along with some emotional symptoms. Can you tell me what's wrong with me? ",5,5
3715,"I have this sore on my leg that just won't seem to heal, and the skin around it looks infected. What do you think it could be?",5,5
5208,"Doctor, I have this lump in my throat and drainage in my throat. My tonsils are also swollen and my throat feels tight. I am also experiencing some apnea. What could be causing these symptoms?",10,10
2989,"Doctor, I've been experiencing side pain, back pain, and it hurts to breathe. Additionally, my bones are painful. Can you tell me what's going on?",9,9
1333,"Doctor, I have been experiencing a tingling sensation and weakness in my arms and legs. I was just diagnosed with mononeuritis. What medication should I take?",16,16
3033,"Doctor, I have been experiencing vomiting blood, depressive symptoms, and sometimes even hostile behavior. What could be causing all this?",5,5
2911,"Hi Doctor, I've been experiencing some symptoms lately like pain in my eye, facial pain and a lump on my knee. Do you know what might be causing this? ",4,4
1717,"Doctor, I've been coughing up sputum and experiencing sharp chest and abdominal pain. I've also noticed flushing and jaundice. What could be wrong with me?",6,6
2188,"Doctor, I have been feeling extremely tired and dizzy lately. I am also suffering from constipation and smoking problems. Additionally, I have been feeling very low and ache all over my body. What could be the reason for all of this?",14,14
5309,"Doctor, I have been experiencing sharp chest pain, leg pain, sweating, back pain, and cough. What could be wrong with me?",9,9
585,"Doctor, I have been experiencing a lot of pain and discomfort in my breasts lately. I noticed a small lump that seems to be causing me immense pain. Do you know what could be the reason?",7,7
4991,"Doctor, I've been experiencing groin pain along with redness of the penis and swelling of scrotum. Additionally, the skin around the area looks abnormal. What could be the issue?",9,9
5202,"I have a skin rash, sore throat, lip sore, ache all over my body, and a terrible headache. What could be the problem, doctor?",9,9
1402,"Doctor, I have been experiencing very painful and unusual menstrual cramps every month. I don't know what to do, it's really affecting my daily routine.",5,5
4376,"Doctor, I've been experiencing an irregular heartbeat, chest tightness, and palpitations. My heart rate has also decreased and I've been gaining weight. What could be causing these symptoms?",8,8
2006,"Doctor, I have been experiencing vomiting, cough, sharp chest pain, and back pain. What could be the problem?",7,7
1339,"Doctor, I have recently been diagnosed with Endocarditis. What medications do I need to take?",3,3
3787,"Doctor, I have been experiencing heartburn and back pain for the past few days. Could you please tell me what might be causing this?",5,5
3109,"Doctor, I've been feeling really down lately, and my body feels like it's in pain. Also, I'm having these weird involuntary movements. What could be wrong with me?",6,6
2212,"Doctor, I have an open wound on my back and I've been feeling like my heartbeat is irregular. What could be the problem? ",6,6
5243,"Doctor, I have this skin rash on my feet and my skin is also dry, peeling and rough. What could be the reason?",6,6
4563,"Doctor, I have been experiencing a lot of pain lately. My hand, fingers, shoulder, neck, and even elbow have been hurting. I also have some low back pain. What do you think is the problem?",11,11
1800,"Doctor, my infant has been having diarrhea, redness in their ear, decreased appetite, and has been very irritable lately. What could be wrong?",6,6
2657,"Doctor, I have been experiencing shoulder pain, headache, and weakness lately. What could be the problem?",5,5
459,"Hey Doc, I've been experiencing some chest pains recently and I'm afraid it might be related to my central atherosclerosis. Is there any way to know for sure?",2,2
1877,"Doctor, I am having severe back pain and headache. What could be the reason?",3,3
263,"Doctor, I am experiencing sudden weakness on one side of my face and an inability to close one of my eyes. Also, I am finding it difficult to eat and drink properly.",9,9
2585,"Doctor, I've been experiencing acne breakouts, heavy menstrual flow, and abnormal skin with too little hair in some areas and unwanted hair in others. What could be the cause of this?",8,8
3287,"Doctor, I've been having difficulty breathing lately. What could be causing it? ",8,8
2194,"Doctor, I have been experiencing arm cramps and spasms lately and have noticed a disturbance in my memory as well. What could be the reason for this?",8,8
543,"Doctor, I have been having these recurring headaches for a while now, and they are extremely painful. I think I might have migraines.",3,3
1729,"Doctor, I have been experiencing excessive urination at night, and I'm also getting angrier than usual lately. What could be causing this?",3,3
4647,"Doctor, I have been experiencing knee pain, headache, low back pain, and shoulder pain all at once. What could be the problem?",5,5
2578,"Doctor, I have a lot of pain in my hip, joints, legs, and arms recently. ",8,8
1742,"Doctor, I am experiencing chills, lower abdominal pain, vomiting, retention of urine, and sharp abdominal pain. What could be the problem?",7,7
5370,"Doctor, I have been experiencing ankle pain and itching of the skin. I also noticed some skin lesions on my leg and foot. Additionally, I've been having recurrent acne or pimples and my skin looks infected.",10,10
4090,"Doctor, I have a really sore throat. What could be the cause?",4,4
3242,"Doctor, I have been experiencing involuntary urination and symptoms of bladder problems lately. In addition, I am also experiencing vaginal itching.",4,4
5267,"Doctor, I have been experiencing bedwetting lately. What could be causing this?",5,5
3759,"Doctor, I've been experiencing anxiety and nervousness lately, along with some emotional symptoms. I've also been having back pain, wrist weakness, and elbow weakness. What could be causing all of these symptoms?",10,10
1171,"Hi doctor, I have been experiencing severe coughing fits and shortness of breath. I think I may have whooping cough. ",5,5
2170,"Doctor, I have been experiencing neck pain, elbow pain, arm stiffness or tightness, and shoulder swelling. Can you tell me what might be wrong?",9,9
2021,"Doctor, I have a skin growth in my ear and my hearing has diminished. Also, my ear looks red and there is fluid inside. I have a plugged feeling in my ear as well. What could be the cause?",10,10
4599,"Doctor, I'm feeling very blue these days. I'm also experiencing stiffness all over my body and have difficulty speaking clearly. ",9,9
4416,"Doctor, I have missed my period and I am experiencing heartburn along with some pelvic pressure. Also, I am having some spotting and problems during my pregnancy.",11,11
2153,"Doctor, I have a sore throat, sharp chest pain, fever, coughing, and wheezing. What could be the problem?",7,7
4789,"Doctor, I have a skin rash on my foot along with swelling, pain, and skin irritation. What could be the reason for this?",7,7
3510,"Doctor, I have been experiencing intermenstrual bleeding along with uterine contractions. I also faced problems during my last pregnancy and have been struggling with infertility. What could be causing all these symptoms?",7,7
4781,"Doctor, I've been experiences some emotional symptoms, diminished hearing, low back weakness, back pain, and feeling hot and cold. What could be the problem?",9,9
3272,"Doctor, I have been feeling very weak and I am vomiting frequently. ",3,3
2966,"Doctor, I have been experiencing some redness in my ear. Could it be an infection?",3,3
1797,"Doctor, I have been experiencing sharp abdominal pain and had some problems during my pregnancy.",3,3
1134,"Doctor, I have been experiencing weakness or paralysis on one side of my body. I think I have Hemiplegia, can you please provide me with the list of required medications for this condition?",5,5
4175,"Doctor, I have peripheral edema, bleeding gums, pain in my eye, and my bones are painful. What could be happening to me?",11,11
4043,"Doctor, I've been experiencing a lot of side pain and I also feel the constant need to pee, even though I just went. Sometimes I even involuntarily pee a little. What could be causing these symptoms?",6,6
745,"Hi, doctor. I have this hard, thickened patch of skin on my foot that won't go away. It's been bothering me a lot lately. What should I do?",3,3
386,"Doctor, I have been experiencing floaters and flashes of light in my vision. What could be wrong?",7,7
899,I have been having ear pain and discharge. I think I might have acute otitis media. ,6,6
1253,I have been experiencing memory problems and confusion lately. I think I might have Wernicke Korsakoff syndrome. ,4,4
5141,"Doctor, I've been having sharp chest pain, itching of the skin and back pain. What could be the cause of this?",7,7
1311,"Doctor, I recently suffered an injury to my face and it's been quite painful. What medications should I take? ",4,4
3459,"Doctor, I have been experiencing a persistent cough and tingling sensations in my hands and feet. What could be the cause of these symptoms?",10,10
4886,"Doctor, I've been having trouble with smoking lately, and I've been feeling really down. Do you have any idea what's going on?",5,5
521,"Doctor, I have been having frequent abdominal pain, bloating, and constipation. I think I might have irritable bowel syndrome.",5,5
3153,"Doctor, I have been experiencing ear pain for the past few days. ",5,5
3127,"Hi doctor, I have been feeling very tired lately. I don't think I have been overdoing it, but the fatigue seems to be persistent.",3,3
4882,"Doctor, I have been experiencing neck pain, diminished vision, vomiting, and anxiety and nervousness. What could be happening to me?",9,9
3835,"Doctor, I have been experiencing muscle swelling, heavy menstrual flow, and vaginal bleeding after menopause. Additionally, I have been having vaginal discharge and recently noticed pus in my sputum. What could be wrong with me?",11,11
4335,"Doctor, I have been feeling very weak lately. What could be the reason for this?",11,11
2060,"Doctor, I have been experiencing some discomfort lately. It hurts to breathe, and I have a sharp pain in my chest. My voice also sounds hoarse, and I've been having trouble swallowing. What could be the problem?",7,7
4533,"Hi Doctor, I have been experiencing rectal bleeding and blood in my stool. What could be the cause of this?",3,3
95,"Doctor, I have been experiencing abdominal pains and distention, and sometimes, I feel nauseous and vomit. I also have constipation and difficulty passing gas.",9,9
939,"Doctor, I have been experiencing pain and discomfort in my vulva, and it's been bothering me for quite some time.",3,3
4399,"Doctor, I've been experiencing back pain, poor circulation, ache all over, paresthesia, and some symptoms in my eyes. What could be wrong with me?",10,10
2186,"Hi doctor, I have been experiencing some leg pain and ankle swelling for a few days. What could be the reason for this?",5,5
5251,"Doctor, I have been experiencing back pain, low back stiffness, back cramps, muscle pain and even hip pain. What could be the problem? ",8,8
2787,"Doctor, I have been experiencing itching of my skin and I have developed an allergic reaction. In addition, I have been feeling focal weakness, have a skin rash and overall weakness. What could be causing this?",12,12
914,"Doctor, I've been experiencing sudden jerks and twitches in my muscles. It's becoming very difficult to manage them on a daily basis.",7,7
2405,"Doctor, I've been feeling a bit off lately. I've been having shortness of breath and I think I may be having an allergic reaction. ",3,3
3562,"Doctor, I've been experiencing heavy menstrual flow, sharp abdominal pain, and vaginal pain. What could be the problem?",5,5
1296,"Doctor, I have been experiencing a lot of discomfort and redness in my eyes. I think I might have Iridocyclitis, could you please recommend some medication for this?",10,10
3717,"Doctor, I have been experiencing skin pain for a long time now. What could be the problem?",10,10
27,"Doctor, I have been having trouble breathing for the past few days. I feel like I am not able to take deep breaths and it feels like something is compressed in my chest.",7,7
2158,"Doctor, I feel a sharp pain in my arm, and I also notice a depression on my elbow. What could be the problem? ",3,3
4101,"Doctor, I have been experiencing some strange symptoms in my face lately. It feels like my face is flushing and my eyes are bulging out. What could be the cause of this?",7,7
1464,"Doctor, I have been experiencing difficulty swallowing and a feeling of something stuck in my throat. I have also been experiencing bad breath and regurgitation of undigested food. ",7,7
4159,"Doctor, I have been experiencing cramps and spasms in my lower abdomen, along with sharp abdominal pain. I have also been vomiting, and my menstruation has been quite painful. Additionally, I have noticed burning abdominal pain. What could be wrong with me?",12,12
872,I have been diagnosed with Intracranial hemorrhage. What medication do I need to take?,4,4
5123,"Doctor, I have noticed a change in the size and color of my skin mole, and it's been very itchy. Also, I have a skin growth and a mass in my groin area.",13,13
2445,"Doctor, I have been having a hard time lately. In the past few weeks, I've been experiencing several symptoms like breathing fast, loss of sensation, irregular heartbeat, headaches and sharp chest pains. What could be wrong with me?",8,8
5235,"Doctor, I've been experiencing some symptoms and I'm not sure what's happening. I've been having very depressive thoughts and sometimes feel like I'm losing touch with reality. Also, my sense of smell and taste has been off lately, and I've been slurring my words. What could this be?",7,7
4989,"Doctor, my infant son has been extremely irritable lately and seems to be in pain.",7,7
1630,"Doctor, I have knee swelling and it is really painful, can you tell me what's causing it?",5,5
3064,"Doctor, I have been experiencing double vision lately. Can you tell me what might be causing it?",5,5
1324,"Doctor, I have been experiencing fatigue, cough, fever, chest pain, and headache. I was recently diagnosed with Valley fever. Could you please suggest what medications I should take?",12,12
4419,"Doctor, I have been experiencing some pelvic pressure and spotting during my pregnancy, can you tell me what might be the cause of it?",5,5
4345,"Hi doctor, I'm experiencing stiffness all over my body and my knee has joint swelling, a mass or lump, and feels really stiff and tight. What could be causing this?",8,8
5,"Doctor, I think I've been poisoned. I drank some ethylene glycol by mistake. ",5,5
4907,"I don't know what's wrong with me, doctor. Lately, I've been experiencing some really intense mood changes. I've been feeling pretty down and depressed, and sometimes I feel like I'm losing touch with reality. ",5,5
2656,"Doctor, I've been experiencing nailbiting and diarrhea lately. What could be causing this?",5,5
4003,"Doctor, I've been experiencing pus draining from my ear, diminished hearing, ringing in my ear, ear pain, and redness in my ear. What could be wrong with me?",8,8
160,"Doctor, I have been experiencing some discomfort and pain while passing urine. I also feel like I need to urinate more frequently than usual. Could you tell me what's wrong with me and what medical tests I need to take?",5,5
917,"Doctor, I have this open wound on my back and it's really painful. What medications do I need to take?",6,6
2974,"Doctor, I have been experiencing involuntary urination and I also have a fever. What could be the problem?",5,5
2520,"Doctor, I have noticed that my skin looks abnormal lately. It's kind of thick and hard, and has a shiny appearance. Do you know what it could be? ",5,5
1962,"Hi Doctor, I've been having some issues lately. My eyes feel strained all the time, I get cramps and spasms, my feet and toes feel stiff, and I've gained some weight recently. What could be wrong with me?",8,8
475,"Doctor, I have been experiencing memory loss, confusion and trouble speaking. I also have been consuming a lot of alcohol lately. ",6,6
1974,"Doctor, I'm having problems with movement and my knee feels stiff and tight. What could be causing this? ",4,4
4648,"Doctor, I have been experiencing ankle pain, leg pain, low back pain, neck pain and back pain.",9,9
702,"Doctor, I have been experiencing some symptoms lately and I'm worried it might be something serious. I have been having persistent abdominal pain, changes in my bowel movements, and blood in my stool.",5,5
3982,"Doctor, I have a hoarse voice and sore throat, and I keep pulling at my ears. What could be wrong with me?",6,6
567,"Doctor, I have been experiencing shortness of breath and chest pain lately. I also feel very tired all the time. I'm worried I might have cardiomyopathy.",6,6
4364,"Doctor, I have been experiencing sharp and burning abdominal pain with bloating for the past few days. I also have some side pain and symptoms of the kidneys. What could be the reason for this?",6,6
1031,"Doctor, I think I may have been poisoned by antihypertensive medication. What medication do I need to take?",8,8
1052,"Doctor, I have been experiencing recurring episodes of fever and joint pain for the past few months. My doctor suggested I might have chronic rheumatic fever. Can you please tell me what medications I would need to take for this?",7,7
5405,"Doctor, I've been experiencing excessive anger, lack of growth, antisocial behavior, obsessions and compulsions, and even delusions or hallucinations. What could be causing these symptoms?",7,7
3894,"Doctor, I have been experiencing shoulder pain, headache, arm pain, and neck pain. Do you know what could be causing it?",7,7
4504,"Doctor, I have this mass or swelling around my anus, and I'm experiencing sharp abdominal pain along with dark tarry stool. What is wrong with me?",7,7
1353,"Doctor, I have been having high blood pressure during my pregnancy. What do you think is the required medication for me?",6,6
2172,I have been experiencing a lot of pain in my shoulder that seems to be spreading to my neck. What could be causing this?,3,3
4323,"I've been experiencing loss of sensation and pain in my arm, hand and fingers, as well as pain in my foot, toes and ankle. Do you know what could be causing this?",12,12
4970,"Doctor, I have been experiencing some hip pain, side pain, and difficulty speaking lately, and also some delusions and hallucinations. Could you please tell me what could be causing these symptoms?",11,11
3467,"Doctor, I have a swollen mass in my neck. It's been there for a few weeks now and it's getting bigger. Can you tell me what's going on? ",5,5
1736,"Doctor, I have noticed bleeding from my eye, spots or clouds in my vision, and my eye has been red. What do you think is wrong with me?",8,8
4418,"Doctor, I have been experiencing some uterine contractions lately. Is there anything to worry about?",3,3
1648,"Hi doctor, I've been experiencing some symptoms that are troubling me. My eyes feel heavy, and I seem to have some difficulty focusing. Additionally, I feel like there's some fluid buildup in my ear. What could be causing this?",7,7
3269,"Doctor, I have been experiencing a lot of pain in my eye.",7,7
3060,"Doctor, I have been experiencing a lot of pain in my eye lately. ",7,7
3589,"I have been experiencing pain of the anus, joint pain, nausea and rectal bleeding lately. What could be the issue?",7,7
4240,"Doctor, I have been experiencing incontinence of stool, pain of the anus, low back cramps, and I noticed a mass or swelling around my anus. I also saw some blood in my stool, what could be wrong with me?",13,13
3699,"Doctor, I am experiencing joint pain, groin pain, lower body pain, and low back pain. What could be wrong with me?",9,9
992,"Doctor, I think I dislocated my foot during a game of soccer. It's really painful and I can't put any weight on it. What medication should I take?",10,10
2031,"Hi Doctor, I injured my finger and it's been hurting a lot. It's also swollen.",4,4
1841,"Doctor, I've been experiencing loss of sensation, coryza, and nausea for a while now. What could be the problem?",4,4
525,"Doctor, I've been feeling really sick and I think I may have a parasitic disease. ",4,4
2770,"Doctor, I have been experiencing vomiting for the past few days, what could be causing this?",4,4
173,"Doctor, I have an open wound in my mouth that isn't healing on its own. Can you please help me diagnose and treat it?",7,7
4820,"Doctor, I've been having some neck, back, and bone pain recently, and I've noticed some soreness in my breasts. Do you have any idea what might be causing it?",9,9
4538,"Doctor, I have been experiencing delusions or hallucinations and stiffness all over my body, what could be wrong?",6,6
1886,I have been having difficulty breathing lately and have noticed weakness in my elbows. I've also been feeling quite anxious and nervous.,5,5
4821,"Doctor, I have a lump in my breast and it's causing me pain. The shape and size of my breast also seem to be a bit odd. Additionally, I have been experiencing neck pain. Do you have any idea what could be wrong with me?",11,11
1805,"Doctor, I have been experiencing diarrhea and a decreased appetite. What could be the cause?",3,3
59,"Doctor, I have been experiencing bleeding in between my periods, and I'm not sure what's causing it.",3,3
582,"Doctor, I have been experiencing a persistent cough and difficulty breathing for the past few days. I think I might have tracheitis. ",5,5
5170,"Doctor, I have been experiencing some strange symptoms lately. I have been having spots or clouds in my vision and experiencing pain in my eyes. Also, I have difficulty swallowing and joint pain. On top of that, I feel like my vision has been diminished.",9,9
483,"Hello Doctor, I have been experiencing some issues related to tumors in my nervous system. I suspect that it could be neurofibromatosis. What kind of medical tests do I need to take?",6,6
1876,"Doctor, I have a headache that has been bothering me for a few days now. It seems to be getting worse and I have been feeling a bit dizzy too. ",3,3
258,"Doctor, I am having trouble controlling my impulses. I feel like I need help.",3,3
2707,"Doctor, I have been fainting a lot lately and my eyes feel really itchy. I also find it difficult to breathe properly.",8,8
581,"Doctor, I fell down yesterday and hurt my face. Now, I feel severe pain and I am unable to open my mouth properly.",7,7
4212,"Hi doctor, I've been experiencing vomiting lately. ",7,7
1950,"Doctor, I have noticed a lump on my hip and am experiencing headaches and some depressive symptoms. Do you know what could be causing these?",5,5
2282,"Doctor, I have been experiencing a lot of pain in my shoulder.",5,5
3977,"Doctor, I'm experiencing a loss of sensation in my feet. What could be causing this?",5,5
1756,"Doctor, I have been experiencing upper abdominal pain and sharp chest pain. I am also pregnant and I feel pain sometimes during my pregnancy. ",5,5
1084,"Hi doctor, I've been experiencing some issues with my pituitary gland. I think I might have a pituitary disorder.",3,3
4678,"Hi doctor, I have been experiencing unpredictable menstruation, along with pain and soreness in my breasts and painful menstruation. What could be the cause of this?",6,6
4721,"Doctor, I have been experiencing skin pain, acne, itching and there's a new skin growth. I also found a lump on my breast.",8,8
3873,"Doctor, I've been experiencing vaginal dryness, sweating, and weight gain. What could be causing this?",9,9
1991,"Doctor, I have been experiencing disturbance of memory, vomiting, and headache lately, what could be the reason for this? ",5,5
3875,"Doctor, I have a decreased appetite, frontal headache, upper abdominal pain, and cough. What could it be?",7,7
3335,"Doctor, I have been experiencing an irregular heartbeat. Sometimes it feels like it skips a beat or adds an extra beat. What could be the cause of this?",4,4
1560,"Hi doctor, I have recently been diagnosed with spondylolisthesis. Can you suggest any medications that could help alleviate the pain?",7,7
773,"Doctor, I think I may have accidentally ingested too many opioids. I'm feeling very nauseous and dizzy. ",6,6
795,"Doctor, I have a cellulitis or abscess in my mouth. What medications do I need?",2,2
5399,"Doctor, I have these weird symptoms on my skin like swelling, warts and a lesion. Can you tell me what could it be?",4,4
3532,"Doctor, my lips are very dry, and I have a mouth ulcer that is causing bleeding in my mouth, can you prescribe any medication for it?",9,9
2903,"Doctor, I have a sore on my lip and my skin around it feels itchy and swollen, what could it be?",5,5
3470,"Doctor, I have been experiencing some symptoms in my hand recently. The skin on my arm and hand looks infected, my hand and finger are swelling, and my bones are painful.",10,10
3368,"Doctor, I have been experiencing diminished hearing, weakness, and disturbance of memory lately, what is wrong with me?",6,6
3826,"Doctor, I have this weird sensation in my eye and it feels like there's something in there. My eyelid is also moving abnormally and my eye is really itchy. ",5,5
444,"Doctor, I think I might have hydatidiform mole. What tests should I take to be sure about it?",5,5
5354,"Doctor, I have this problem where I wet my bed at night, and I also have to go to the bathroom very often during the day. On top of that, my feet and ankles are swollen. What could be causing this?",6,6
5294,"Doctor, I've been feeling really sick lately. I've been vomiting, feeling weak, and ache all over. I also have a lot of leg pain. Do you have any idea what it could be?",9,9
807,"Doctor, I had a transient ischemic attack a few weeks ago and I'm afraid it might happen again. What can I do?",3,3
497,"Hi doctor, I think I have Onychomycosis, this is a fungal infection that affects the nails of my toes, making them thick, crumbly, and discolored. What should I do?",9,9
3299,"Doctor, I have been experiencing joint pain, leg pain, and insomnia for the past few days. What could be the reason?",7,7
2780,"Doctor, I have been experiencing shortness of breath, anxiety and nervousness, and palpitations. Do you know what could be causing this?",4,4
896,"Doctor, I have been experiencing shortness of breath and cough for the past few days. I feel like there is a lot of fluid buildup in my lungs, and it's getting hard for me to breathe.",6,6
2037,"Doctor, I have been having some health issues lately. I have problems during pregnancy, low self-esteem, throat irritation, I abuse alcohol and have been showing hostile behavior. What could be causing all of these symptoms?",6,6
