Question_ID,Question,Greedy,GreedyDist,GreedyGen
36,"Doctor, I have been experiencing severe muscle pain, fatigue, and sleep disturbances for a few months now. I have done some research and I think I might have fibromyalgia, can you help me confirm it?",1123,42,1123
37,"Doctor, I'm experiencing abdominal pain and I think it might be related to my bowel. Can you help me?",84,31,1123
38,"Doctor, I think my child may have fetal alcohol syndrome. What tests are required to confirm this?",1123,51,1123
39,"Doctor, I have been feeling some abdominal pain with fever for the last few days. I am worried it might be peritonitis.",114,66,1123
40,"Doctor, I have this sharp pain in my abdomen. I think I might have injured myself.",144,55,1123
41,"Doctor, I have been experiencing severe pain in my abdomen, along with nausea and vomiting. I am also having trouble digesting food. ",647,43,1123
42,"Doctor, I'm experiencing pain, swelling, and redness in my leg. My doctor suspected it might be thrombophlebitis. What medical tests do I need to undergo?",250,84,1123
43,"Doctor, I have been experiencing shortness of breath, wheezing and coughing lately. I think I may have Asthma.",647,55,1123
44,"Doctor, I think I have a foreign object stuck in my vagina.",206,36,1123
45,"Doctor, I have been experiencing a tingling and uncomfortable sensation in my legs that keeps me awake at night. I have trouble sleeping because of it.",1123,15,1123
46,"Doctor, I have been experiencing shortness of breath lately and coughing up phlegm. I am afraid it could be emphysema.",429,48,1123
47,"Hi doctor, I've been experiencing headaches, seizures and loss of appetite for the past few weeks. I did some research and I think I may have cysticercosis. ",206,60,1123
48,"Doctor, I recently had an induced abortion and I'm feeling quite weak and have some pain. ",250,56,1123
49,"Doctor, my baby has been very fussy and irritable lately. I'm pretty sure he's going through teething syndrome.",1123,33,1123
50,"Doctor, I have been experiencing severe stomach pain, nausea and vomiting, and diarrhea. I fear it might be an infectious gastroenteritis.",84,67,1123
51,"Doctor, I have been having severe headaches and nasal congestion for the past few days. I also have a fever and my face feels very tender. I think I might have acute sinusitis.",-1,-1,-1
52,"Doctor, I have been experiencing some symptoms associated with Von Hippel-Lindau disease.",250,38,1123
53,"Doctor, I am experiencing anxiety and depression due to my addiction to alcohol. What tests do I need to take to help diagnose my condition?",250,47,1123
54,"Doctor, I have been feeling very down and sad after giving birth to my baby. It's been a few weeks now and I just can't seem to shake it off. ",1123,39,1123
55,"Doctor, I've been experiencing chest pain and shortness of breath lately. I'm afraid it could be something serious. ",35,22,1112
56,"Hi doctor, I've had some severe pain in my back and lower spine lately. I think I might be suffering from spondylitis.",250,48,1123
57,"Doctor, I am experiencing persistent headaches and vision problems. My vision has become blurry and I have been struggling to focus on objects lately.",429,61,1123
58,"Doctor, I have been experiencing heavy and painful periods for the past few months, and I also have a constant urge to urinate. I suspect I might have uterine fibroids.",647,42,1123
59,"Doctor, I have been experiencing bleeding in between my periods, and I'm not sure what's causing it.",647,188,1123
60,"Hi Doctor, I have a bump in the upper eyelid of my right eye which is bothering me. I think it's called Chalazion. ",1123,130,1123
61,"Doctor, I think I might have ovarian torsion. I have been experiencing sudden and severe pelvic pain on one side, along with nausea and vomiting.",75,65,1123
62,"Doctor, I have been experiencing some vision problems lately, and I was diagnosed with high blood pressure a few months ago. I am worried that this might be affecting my eyesight.",131,47,1123
63,"Doctor, I've been experiencing a lot of itching and burning sensation in my vaginal area. I also have thick, white discharge. I think I might have a yeast infection.",647,191,1123
64,"Doctor, I've been experiencing severe pain and tenderness behind my ear. I also have a fever and I'm having trouble hearing. I think I have mastoiditis.",250,44,1123
65,"Doctor, I fell from a height and I have difficulty breathing and a sharp pain in my chest. ",647,22,1112
66,"Doctor, I have been experiencing shortness of breath and chest pain lately. My father died of a heart disease, and I am concerned that I might have inherited it. What do you think could be the problem, and what tests do I need to take?",206,93,1123
67,"Hi Doctor, I have been experiencing pain in my toe and I think it's because of an ingrown toenail. What should I do?",206,180,1123
68,"Doctor, I've been having trouble breathing and coughing a lot lately. I also feel very tired all the time. ",1123,19,1123
69,"Doctor, I have an open wound on my hip and it's not healing. It's been a few days now and the pain is worse.",206,184,1123
70,"Doctor, my eyesight has been getting blurry and I am having difficulty seeing things clearly, especially at night.",429,16,1123
71,"Doctor, I think I have swallowed a small object, and it's stuck somewhere in my digestive system. What should I do?",206,82,1123
72,"Doctor, my eye is red and painful, and my vision has been affected as well. I think I might have endophthalmitis. ",80,48,1123
73,"Hi doctor, I have been having problems with my digestion. I feel like I am not absorbing the nutrients from the food I eat properly.",184,143,1123
74,"Doctor, I suspect I have lead poisoning.",94,81,1123
75,"Doctor, I have these weird bumps on my skin that won't go away. They look like small clusters of rough skin. Could it be viral warts?",647,45,1123
76,"Doctor, I have been experiencing excessive sweating no matter what I do. It's becoming really uncomfortable and affecting my daily life.",647,27,1123
77,"Doctor, I think I might have had a stroke. My left side suddenly felt weak and numb.",1123,35,1123
78,"Doctor, I have a painful lump on my buttocks that seems to be getting bigger. I think it might be a pilonidal cyst.",250,44,1123
79,"Doctor, I had a crushing injury on my arm and I need to get some tests done. ",198,82,1123
80,"Doctor, I have been experiencing difficulty walking and balancing, bladder control problems, and incontinence. I am also experiencing memory loss and confusion at times. What could be wrong with me?",1123,39,1123
81,"Doctor, I have been losing a lot of hair from my scalp and other parts of my body. I think I might have alopecia. ",1123,111,1123
82,"Doctor, I think I might have Hashimoto thyroiditis. I am experiencing tiredness, hair loss, weight gain, and dry and pale skin.",1123,74,1123
83,"Hi doctor, I've been experiencing a lot of pain in my feet and they feel very flat. I'm not sure what's going on. ",206,38,1123
84,"Doctor, I have been having some discomfort in my abdomen and have been feeling fatigued lately. I did some research and I think I may have Nonalcoholic liver disease (NASH).",107,68,1123
85,"Doctor, I have been experiencing joint swelling and pain, especially in my knees. I have also noticed that my joint is tender to the touch and I have limited mobility. I think I might have Hemarthrosis.",429,53,1123
86,"Doctor, I think I have a fracture in my arm.",198,83,1123
87,"Doctor, I have been experiencing excessive bleeding lately, even from small cuts. I am concerned that I may have a coagulation disorder. What tests do I need to confirm this?",304,99,1123
88,"Doctor, I have been experiencing severe headache and nausea for the past couple of days. I also feel dizzy and have trouble focusing my eyes. What do you think could be causing this?",84,70,1123
89,"Doctor, I have been feeling weak and fatigued lately, and my muscles are cramping a lot. Additionally, I am experiencing some heart palpitations. Could this be related to my increased potassium levels?",1123,24,1123
90,"Doctor, my eyes have been feeling really irritated for the past few days, and they are constantly red. I think I might have an infection in my cornea, what should I do?",131,198,1123
91,"Doctor, I have been experiencing a lot of chest pain and difficulty breathing. I think I may have an abscess of the lung.",250,50,1123
92,"Doctor, I'm experiencing high fever, severe headache, and joint pain. I'm afraid that I might have Dengue fever. ",304,64,1123
93,"Hi doctor, I've been dealing with really bad sinus problems lately, and it's been going on for a while now. Can you help me figure out what's causing this?",647,140,1123
94,"Hi doctor, I have been experiencing some discomfort in my ear for a while now and sometimes it feels like there is something blocking it.",429,132,1080
95,"Doctor, I have been experiencing abdominal pains and distention, and sometimes, I feel nauseous and vomit. I also have constipation and difficulty passing gas.",1123,48,1123
96,"Doctor, I accidentally injured my finger while playing football. It's hurting a lot and I can't move it properly. What medical tests do I need to take? ",198,81,1123
97,"Doctor, I've been feeling sick after taking some painkillers for my headache. I think I might have taken too much and now I'm feeling weak and my stomach hurts.",647,56,1123
98,"Doctor, I've been experiencing irregular heartbeats, shortness of breath and fatigue for a few days now. What do you think might be wrong with me?",304,24,1123
99,"Doctor, I think I have pinworm infection. I am having itching and discomfort around my anal region.",1123,147,1123
100,"Doctor, I've been experiencing difficulty urinating and sometimes have a weak stream. I think I may have urethral valves.",1123,16,1123
101,"Doctor, I have an open wound on my neck. It's been there for a while and it's starting to get infected. What should I do?",206,129,1123
102,"Hello doctor, I have been having difficulty swallowing and I feel like my food is getting stuck in my throat. I also experience chest pain and heartburn. Do you think something is wrong with my esophagus?",1123,29,1123
103,"Hi doctor, I've been experiencing difficulty hearing lately, especially when there's a lot of background noise. I feel like I can't understand speech as clearly as I used to.",250,40,1123
104,"Doctor, I have been having some problems with my abdomen lately. I feel a bulge in the lower part of my abdomen that gets bigger when I lift something heavy. It also causes me discomfort and some pain at times. ",1123,38,1123
105,"I have cerebral palsy, and I am having trouble with my motor skills, especially with walking and coordinating movements.",429,42,1123
106,"Doctor, I think I might have a problem with marijuana abuse.",429,147,967
107,"Doctor, I've been experiencing headaches, blurred vision, and fatigue lately. I also have a history of HIV infection. I think I might have Cryptococcosis.",429,65,1123
108,"Doctor, I'm concerned about my weight. I have been gaining a lot of weight lately and I feel very uncomfortable with it.",185,22,1123
109,"Doctor, I have been experiencing constant stomach pains and difficulty digesting food. What medical tests do you recommend?",647,49,1123
110,"Doctor, I think I have Bursitis. My joints are swollen and it hurts when I move them.",304,45,1123
111,"Doctor, I have been experiencing difficulty swallowing and frequent chest pain. I looked it up and it seems like I might have esophageal cancer. ",1123,24,1123
112,"Doctor, I'm having trouble breathing and I've been coughing a lot. My chest feels tight and congested.",647,23,1123
113,"Doctor, I've been having joint pain, stiffness and swelling in my knees, wrists and ankles for some time now. I also feel tired and weak all the time. What could be wrong with me?",429,39,1123
114,I have been experiencing some scaly patches on my face and arms. It is usually itchy and painful. I am worried that it might be something serious. ,647,22,1123
115,"Doctor, I have been experiencing ear pain and fever for the past few days. I also feel dizzy at times. What's wrong with me?",188,31,1123
116,"Doctor, I have difficulty in seeing objects that are far away or up close. They seem blurry and distorted. I think I have Astigmatism. ",1123,46,1123
117,"Doctor, I have been having seizures and I have noticed some growths on my skin. I am concerned about my health.",429,21,1123
118,"Doctor, I am experiencing intense chest pain, shortness of breath and a persistent cough. I was diagnosed with pneumonia a few weeks ago and was treated with antibiotics, but my symptoms have not improved.",1123,61,1123
119,"I have been experiencing hearing loss and difficulty understanding people's speech lately. I think it might be presbyacusis, what medical tests do I need to undergo?",304,51,1123
120,"Hi doctor, I think my newborn baby has neonatal jaundice, his skin looks yellowish.",304,13,1123
121,"Doctor, I have been experiencing shortness of breath and wheezing for a while now. I also have a persistent cough and a lot of phlegm. I am worried that I might have COPD. ",647,58,1123
122,"Doctor, I fell down and my elbow is dislocated. What tests do I need to undergo for the treatment?",429,41,1123
123,"Doctor, I have been experiencing severe back pain for the past few weeks.",23,17,1123
124,"Doctor, I am experiencing a sore throat and a high fever. I also have small blisters in the back of my mouth. What could be the problem?",169,46,1123
125,"Doctor, I fell down while playing basketball and I think I have injured my shoulder. It hurts a lot when I move it and I am unable to lift my arm above my head.",1123,164,1116
126,"Doctor, I have been feeling extremely ill lately and I think it might be due to my antidepressants. I have been experiencing nausea, dizziness, and have been fainting frequently. ",1123,33,1123
127,"Doctor, I have this open wound on my leg and I think it's infected. ",206,129,1123
128,"Doctor, I've been experiencing swelling and pain in my leg for the past few days. I'm worried I might have deep vein thrombosis.",429,42,1123
129,I have been feeling extremely weak lately and have noticed that my muscles are not developing as they used to. I also feel fatigued most of the time.,1123,13,1123
130,"Doctor, I have been experiencing sudden muscle jerks and twitches in my arms and legs. I think I might have myoclonus. What medical tests should I undergo for this?",1123,45,1123
131,"Doctor, I have been experiencing severe heel pain and I was told that I may have a bone spur of the calcaneus. What medical tests do I need to undergo?",1123,136,1116
132,"Doctor, I've been experiencing excessive bleeding and bruising lately. My mother also had a bleeding disorder. I think I might have Von Willebrand disease.",195,114,1123
133,"Doctor, I have a painful open wound on my back that doesn't seem to be healing properly. Can you help me?",647,41,1123
134,"Doctor, I have been feeling very dizzy and weak lately. I'm also experiencing shortness of breath and chest pain, especially when I'm physically active. I think I might have a heart problem.",304,34,1112
135,"Doctor, I've been experiencing some discomfort and noticed blood in my stool. I did some research and think I might have a colonic polyp. What tests do I need?",647,48,1123
136,"Doc, I feel weak and tired all the time. And my muscles are getting really painful lately.",647,19,1123
137,"Hello doctor, I have been trying to conceive for a while now, but I am not getting pregnant. I went to a gynecologist and was diagnosed with female infertility of unknown cause. What tests do I need to take now?",1123,51,1123
138,"Doctor, I have been having chest pain and difficulty breathing lately. My primary care physician suspects that I may have pericarditis. What kind of tests do I need to confirm this diagnosis?",250,77,1123
139,"I think I may have ADHD, I have trouble focusing and staying organized.",429,43,1123
140,"Doctor, I've been experiencing blindness in one eye, muscle weakness, and numbness in my limbs. My physician told me it might be Neuromyelitis optica. What tests do I need to confirm this?",1123,49,1123
141,"Doctor, I think I have some problems with my heart valve. I experience shortness of breath and heart palpitations quite often.",304,20,1123
142,"Doctor, I have been experiencing chest pain and tenderness in my upper chest area. It's been quite concerning, I'm not sure what's wrong.",206,19,1112
143,"Hello, doctor. I have been experiencing some weakness in my facial muscles and double vision. My eye movements have also been affected. Do you know what could be causing this?",1123,15,1123
144,"Hi doctor, I fell down the stairs yesterday and hurt my arm. It's been really painful since then and I can't move it properly.",198,55,1123
145,"Hi doctor, I'm experiencing some strange symptoms like sudden blindness, paralysis and tremors. What do you think is causing these?",1123,13,1116
146,"Hi doc, I have been experiencing pain and swelling in my hands and feet lately. It's really bothering me and I'm not sure what's going on.",647,15,1116
147,"Doctor, I have been experiencing hearing loss and occasional dizziness. I went to an ENT specialist who diagnosed me with Otosclerosis. What medical tests do I need to undergo?",250,59,1123
148,"Doctor, I fell off my bike and injured my trunk. I am experiencing severe pain.",198,55,1123
149,"Hi doctor, I've been feeling very tired and sluggish lately, and I've gained some weight even though I haven't changed my diet. I'm not sure what's wrong with me. ",1123,20,1123
150,"Hi doctor, I have been having trouble sleeping for the past month. I find it difficult to fall asleep and even when I do, I wake up frequently during the night. I think I might have primary insomnia.",1123,179,1123
151,"Doctor, I have been experiencing extreme itching on my scalp and noticed some small insects moving around. I think I have lice. What medical tests do I need to undergo?",647,44,1123
152,"Doctor, I have been feeling very weak and tired lately, and my hands and feet are often numb. I think I may have a Vitamin B12 deficiency.",647,23,1123
153,"Hi doctor, I am worried that I might be suffering from diabetes as I have been experiencing excessive thirst, frequent urination, fatigue, and blurry vision.",1123,34,1123
154,"Doctor, I have been experiencing severe pain in my vulva for quite some time now.",647,89,735
155,"Hi doctor, I have been experiencing severe abdominal pain and heavy periods for a while now. I did some research online, and I think I might have endometriosis.",429,59,1123
156,"Doctor, I've been experiencing joint pain, unrelated fever, fatigue and weight loss. After running some tests, the doctor has told me I have Vasculitis. What medical tests do I need to take? ",647,90,1123
157,"Doctor, I was playing football and got hit on the head, and now I'm experiencing dizziness, headaches, and blurred vision.",198,66,1123
158,Hi doctor. I have noticed white patches on the inside of my mouth that have been there for a while. I am concerned that it might be oral leukoplakia. ,1123,122,1123
159,"Doctor, I have been experiencing some symptoms that I think might be related to my kidneys. I feel tired all the time, my appetite has decreased, and I have noticed swelling in my feet and ankles.",1123,14,1119
160,"Doctor, I have been experiencing some discomfort and pain while passing urine. I also feel like I need to urinate more frequently than usual. Could you tell me what's wrong with me and what medical tests I need to take?",304,48,1123
161,"Doctor, I have been experiencing vision problems and I recently got diagnosed with chorioretinitis. What medical tests do I need to undergo?",54,79,1123
162,"Doctor, I believe I have priapism. My erection hasn't gone away for a few hours now, and it's quite painful.",1123,196,1123
163,"Doctor, I have been experiencing muscle pain and weakness for a while now. My doctor said I might have myositis. What medical tests do I need?",1123,75,1123
164,"Doctor, I have been feeling extremely fatigued and have had a persistent sore throat for the past week. ",168,19,1123
165,"Doctor, I have been experiencing a lot of pain in my nerves lately. Sometimes it's like electric shocks and sometimes it's a burning sensation. It's really affecting my daily life.",250,27,1123
166,"Doctor, I have been experiencing a lot of pain in my lower back and sides. I also noticed that my urine is becoming darker. I am worried that I might have polycystic kidney disease. ",647,16,1123
167,"I have been experiencing periods of mania and depression, and my mood swings have been affecting my daily life.",131,32,1123
169,"Doctor, I have been experiencing weakness and numbness in my arms and legs for quite some time now. Sometimes it gets really difficult for me to even stand up or walk properly. I also have difficulty gripping things.",1123,37,1123
170,"Doctor, I've been experiencing heartburn and acid reflux for the past few months. It's becoming more frequent and often happens after I eat. ",429,161,1116
171,"Doctor, I have been experiencing some vision problems and I think I might have a vitreous hemorrhage.",1123,15,1123
172,"Doctor, I think I have been poisoned with antimicrobial drugs, and I am feeling very weak and nauseous. What medical tests do I need to take?",250,71,1123
173,"Doctor, I have an open wound in my mouth that isn't healing on its own. Can you please help me diagnose and treat it?",304,32,1123
174,"Doctor, I have been experiencing skin tightening and thickening of my fingers for the past few months, along with difficulty in swallowing and breathing. ",250,26,1123
175,"Doctor, I've been feeling very weak and fatigued lately. My muscles have been losing strength and it's been difficult to control them as well. I also experience double vision at times. What could be the problem?",1123,30,1123
176,"Doctor, I have been feeling dizzy, sweating excessively, and I often lose consciousness on certain days. What could be wrong with me? ",647,23,1123
177,"Doctor, I haven't had my period for 3 months now. I am concerned, could there be a problem?",1123,127,909
178,"Doctor, I think I dislocated my ankle. I am experiencing swelling and extreme pain. ",1123,23,1123
179,"Doctor, I have been feeling dizzy and lightheaded lately. I also experience headaches and nausea. I suspect that I might have been exposed to carbon monoxide.",1123,69,1123
180,"Doctor, I think I have been experiencing panic attacks lately. I feel my heart racing and my hands sweating.",647,171,1123
181,"Doctor, I've been experiencing a lot of pain in my heels lately. It's especially bad in the mornings when I first get up. I've read about plantar fasciitis and I think that might be what's going on. What kind of tests do I need?",206,77,1123
182,"Doctor, I have difficulty seeing objects near me clearly. It seems like I have to keep them far away to see them properly.",80,44,1123
183,"Doctor, I think I might have been poisoned by sedatives.",1123,109,1123
184,"Doctor, I have been experiencing severe blisters and sores on my skin. It's painful and uncomfortable. What could be wrong with me?",1123,15,1123
185,"Doctor, I'm experiencing pain and a curvature in my penis while erect. I think I might have Peyronie disease. What medical tests do I need to take?",647,75,1123
186,"Doctor, I have been experiencing heartburn and chest pain. My friend who is a nurse thinks I might have a hiatal hernia. What tests do I need to confirm this?",1123,48,1123
187,"Doctor, I think I am experiencing some extrapyramidal effects from my medication.",647,184,1085
188,"Doctor, I have been having episodes of vertigo, tinnitus and hearing loss - I think I might have Meniere disease.",647,34,1123
189,"Doctor, I am experiencing a lot of pain and discomfort in my anal area. I think I may have an anal fissure.",1123,106,1116
190,"Doctor, I've been experiencing constant sneezing, itching in my eyes and runny nose. I'm worried I might have an allergy.",647,22,1123
191,"Hi doctor, I've been experiencing a lot of ear pain, discharge and hearing loss for a long time now. I think I might have chronic otitis media. ",429,40,1123
192,"Hi doctor, my finger really hurts and I can't move it properly. ",1123,153,994
193,"Doctor, I have been experiencing constipation and severe abdominal cramps for the past few weeks. I am also unable to pass stool completely. ",1123,32,1123
194,"Doctor, I've been experiencing stiffness and pain in my shoulders, neck, and hip for a few weeks now. I also have a low-grade fever and feel tired all the time. Do you know what might be causing this?",1123,51,1123
195,"I've been experiencing swelling in my arms and legs lately. My arms feel heavy and my skin appears to be stretching. It's causing a lot of discomfort, and it's hard to perform simple tasks. ",429,20,1123
196,"Doctor, I have been experiencing pain while urinating and have noticed blood in my urine. I am worried that I might have bladder cancer.",647,18,1123
197,"Doctor, I've been having difficulty breathing and wheezing. I think I might have acute bronchospasm, what tests do I need to take?",647,39,1123
198,"Doctor, my eyes feel really painful and my vision seems to be blurry. I also see rainbow-colored rings around lights sometimes.",647,20,1123
199,"Doctor, I have an open wound on my chest that has been causing me a lot of discomfort. What tests do I need to get done to treat it?",206,43,1123
200,"Doctor, I have been experiencing a lot of pain in my knee, and I am unable to move it properly. I think I might have dislocated my patella. What should I do?",647,37,1123
201,"Hi Doctor, I have been having a lot of pain in my lower back and legs, and I think it might be sciatica.",250,25,1123
202,"Doctor, I have been experiencing frequent urination, constipation, and fatigue lately. Yesterday, I also felt a tingling sensation in my hands and feet. Do you know what could be causing this?",304,27,1123
203,"Doctor, I've been experiencing occasional urine leaks when I cough or sneeze. It's embarrassing and I feel like I can't control it.",1123,24,1123
204,"Doctor, I have been having painful and swollen veins in my legs, I think I might have varicose veins.",304,18,1123
205,"Hi doctor, I am experiencing some pain in my lower abdomen and after a few tests, I have been diagnosed with a benign kidney cyst. What medical tests do I need to undergo now? ",647,46,1123
206,"Hi doctor, I have a swelling in my testicle and it's been bothering me for a while now.",1123,123,1009
207,"Doctor, I have been experiencing consistent back pain for a while and lately, the pain has been increasing. My last x-ray showed that I have degenerative disc disease. What tests do I need to undergo further evaluation and treatment?",184,66,1123
208,"Doctor, I'm experiencing excessive hair growth on my face, chest, and back. I also have some darkening of the skin in those areas. What could be the cause of this issue?",1123,70,1123
209,"Doctor, I think I have dislocated my foot. It's really painful and I can't put any weight on it.",1123,199,1116
210,"Doctor, I've been experiencing severe pain in my lower back and side, and I often feel nauseated. I think I might have hydronephrosis.",250,50,1123
211,"Hi doctor, I have been having abdominal pain and bloating for the past few weeks. I also experience constipation and diarrhea alternatively. My friend told me it could be Diverticulosis. ",647,37,1123
212,"Doctor, I am experiencing intense pain in the area where I had my operation a week ago. What tests do I need to undergo?",304,51,1123
213,"Hello doctor, I have been experiencing some involuntary movements and have difficulty in controlling them. My father also had similar problems, and I am worried that I might have Huntington Disease. What medical tests do I need to confirm this?",206,54,1123
214,"Doctor, I think I might have contracted West Nile virus.",131,99,1123
215,"Doctor, I am concerned that I may have lymphoma. I have been experiencing swollen lymph nodes, fatigue, and unexplained weight loss.",647,21,1123
216,"Doctor, I've been suffering from rashes and itchiness on my skin for a while now. After consulting with my friends, I think it might be dermatitis due to sun exposure. What medical tests do I need to undergo?",1123,36,1123
217,"Doctor, I have been feeling really tired and weak lately, and my skin looks pale. I heard that it could be related to my chronic kidney disease. What do you think?",250,54,1123
218,I had an accident last night and I think I might have injured one of my internal organs. ,198,141,1123
219,"Doctor, I have been experiencing severe eye pain and discomfort for the past few days. I also have redness in my eye and blurred vision.",131,24,1123
220,"Doctor, I have been experiencing some redness, irritation and growth on my eye. My vision is also getting blurry day by day, it seems like there is some growth on my cornea as well.",1123,47,1123
221,"Doctor, I think I have a fungal infection on my skin. I have red, itchy patches on my arm and leg. What should I do?",429,61,1123
222,"Hi doctor, I think I may have accidentally overdosed on insulin. I feel very weak and my heart is racing.",304,200,1102
223,"Doctor, I have been feeling very fatigued and nauseous lately. I've also noticed that I've been drinking a lot of water but not urinating as much as usual.",250,35,1123
224,"Doctor, I think I got something stuck in my ear.",1123,129,966
225,"Hi doctor, I've been having some uncomfortable symptoms every month before my period, and I think I might have premenstrual tension syndrome. ",1123,153,1048
226,"Hello doctor, I have been experiencing pain and swelling in my eye. It's been causing a lot of discomfort and I'm having trouble seeing properly.",1123,19,1123
227,"Hi doctor, I injured my leg and it's been really painful. I can't put any weight on it and there's a large bruise.",197,89,1123
228,"Doctor, I have been experiencing confusion, forgetfulness, and disorientation. I have also been having difficulty speaking and writing. I am scared that something is wrong with me.",647,36,1123
229,"Doctor, I have been having severe pain in my leg for the past few weeks, and I also noticed that my leg has been swelling. I am worried that it could be something serious.",206,17,1123
230,"Doctor, I think I might have Leishmaniasis.",89,94,1123
231,"Doctor, I think I have Chagas disease.",14,103,1123
232,"Doctor, I've been experiencing pain and weakness in my arms and legs, and sometimes it feels like my temperature sensing has been affected as well. I'm worried that it could be Syringomyelia.",1123,53,1123
233,"Doctor, I have been experiencing shortness of breath and a persistent cough. I am concerned that I might be suffering from pulmonary fibrosis.",116,56,1123
234,"Doctor, I've been experiencing shortness of breath and fatigue lately. I also have a history of heart palpitations. Could it be related to my mitral valve disease?",304,28,1123
235,"Doctor, I have been experiencing tremors, stiffness in my muscles and difficulty in movement. I have also noticed a change in my handwriting. I am concerned that I might have Parkinson disease.",1123,48,1123
236,"Doctor, I think I might have gout. I'm experiencing severe pain and swelling in my big toe.",1123,22,1123
237,"Doctor, I've been experiencing severe ear pain and hearing loss for the past few days. I also have high fever and a feeling of pressure in my ear. What could be wrong with me?",429,21,1123
238,"Doctor, I think I have a problem with drug abuse, specifically opioids, and I want to get help. ",647,124,1077
239,"Doctor, I've been feeling fatigued and weak for a while now. Recently, I was diagnosed with myelodysplastic syndrome. What tests should I undergo to determine the severity of the disease?",647,48,1123
