Q_ID,Reference_Answer,Most_Likely_Disease,Recommended_Medication,Suggested_Medical_Test
4838,"1. **Most Likely Disease:**
Spondylitis. This is because Spondylitis includes both ""Lower body pain"" and Stiffness as a symptom, and although Flat feet also includes foot or toe stiffness or tightness, Spondylitis appears to be a better fit because the symptom list is more comprehensive.

2. **Recommended Medication(s):**
Cyclobenzaprine
Diazepam (Valium)
Carisoprodol (Soma)
Orphenadrine (Flexon)
Methocarbamol
Tizanidine
Bupivacaine
Metaxalone (Skelaxin)
Methadone
Nabumetone
Chlorzoxazone

3. **Suggested Medical Test(s):**
Plain x-ray (X ray)
Physical therapy exercises (Exercises)
Other therapeutic procedures
Insertion of catheter or spinal stimulator and injection into spinal canal
Magnetic resonance imaging (Mri)
Other non-OR or closed therapeutic nervous system procedures
Physical therapy exercises; manipulation; and other procedures","Spondylitis. This is because Spondylitis includes both ""Lower body pain"" and Stiffness as a symptom, and although Flat feet also includes foot or toe stiffness or tightness, Spondylitis appears to be a better fit because the symptom list is more comprehensive.","Cyclobenzaprine
Diazepam (Valium)
Carisoprodol (Soma)
Orphenadrine (Flexon)
Methocarbamol
Tizanidine
Bupivacaine
Metaxalone (Skelaxin)
Methadone
Nabumetone
Chlorzoxazone","Plain x-ray (X ray)
Physical therapy exercises (Exercises)
Other therapeutic procedures
Insertion of catheter or spinal stimulator and injection into spinal canal
Magnetic resonance imaging (Mri)
Other non-OR or closed therapeutic nervous system procedures
Physical therapy exercises; manipulation; and other procedures"
3457,"Here's an analysis of the symptoms and a possible answer based on the provided data and general medical knowledge:

1. **Most Likely Disease:**
**Chalazion complicated by secondary issues/other condition**. Based on the provided information, the ""Eyelid lesion or rash"" is a symptom of Chalazion. Also the associated symptom of diminished vision is associated with Chalazion. ""Leg weakness"" is not directly linked to Chalazion in the provided data. This suggests the leg weakness may be related to a separate neurological or musculoskeletal issue, or a complication arising from the initial eyelid condition (if it is severe and untreated). Because there are two separate conditions, it is difficult to pick one single ""most likely"" disease.

2. **Recommended Medication(s):**
*   Erythromycin Ophthalmic
*   Tobramycin Ophthalmic
*   Dexamethasone-Tobramycin Ophthalmic
*   Insulin (if Diabetic Retinopathy becomes primary concern)

3. **Suggested Medical Test(s):**
*   Ophthalmic examination and evaluation (Eye exam)
*   Biopsy
*   Neurological exam (due to leg weakness)
*   Other therapeutic procedures on eyelids; conjunctiva; cornea","**Chalazion complicated by secondary issues/other condition**. Based on the provided information, the ""Eyelid lesion or rash"" is a symptom of Chalazion. Also the associated symptom of diminished vision is associated with Chalazion. ""Leg weakness"" is not directly linked to Chalazion in the provided data. This suggests the leg weakness may be related to a separate neurological or musculoskeletal issue, or a complication arising from the initial eyelid condition (if it is severe and untreated). Because there are two separate conditions, it is difficult to pick one single ""most likely"" disease.","*   Erythromycin Ophthalmic
*   Tobramycin Ophthalmic
*   Dexamethasone-Tobramycin Ophthalmic
*   Insulin (if Diabetic Retinopathy becomes primary concern)","*   Ophthalmic examination and evaluation (Eye exam)
*   Biopsy
*   Neurological exam (due to leg weakness)
*   Other therapeutic procedures on eyelids; conjunctiva; cornea"
261,"1. **Most Likely Disease:** Neither Peritonitis nor Ischemia of the Bowel completely fits the provided symptoms. The redness and discharge point more towards a localized infection or inflammation around the umbilicus (bellybutton), which is not directly covered by the table. Therefore, a more accurate assessment would require further information and a physical examination. If forced to choose based solely on the table, given the abdominal pain, Peritonitis is a slightly closer match than Ischemia of the Bowel, although it doesn't explain the redness and discharge as well.

2. **Recommended Medication(s):**

*   Metronidazole
*   Given the high probability of an infection, a broad-spectrum antibiotic would be necessary.

3. **Suggested Medical Test(s):**

*   Hematologic tests (Blood test)
*   Radiographic imaging procedure
*   Complete blood count (Cbc)
*   Culture of the discharge","Neither Peritonitis nor Ischemia of the Bowel completely fits the provided symptoms. The redness and discharge point more towards a localized infection or inflammation around the umbilicus (bellybutton), which is not directly covered by the table. Therefore, a more accurate assessment would require further information and a physical examination. If forced to choose based solely on the table, given the abdominal pain, Peritonitis is a slightly closer match than Ischemia of the Bowel, although it doesn't explain the redness and discharge as well.","*   Metronidazole
*   Given the high probability of an infection, a broad-spectrum antibiotic would be necessary.","*   Hematologic tests (Blood test)
*   Radiographic imaging procedure
*   Complete blood count (Cbc)
*   Culture of the discharge"
245,"1. **Most Likely Disease:** Surgical Site Infection. An open surgical incision is inherently at risk of infection.

2. **Recommended Medication(s):**
    *   Cephalexin
    *   Clindamycin
    *   Mupirocin (topical)

3. **Suggested Medical Test(s):**
    *   Wound culture
    *   Complete blood count (CBC)
    *   Radiographic imaging procedure
    *   Wound care management",Surgical Site Infection. An open surgical incision is inherently at risk of infection.,"*   Cephalexin
    *   Clindamycin
    *   Mupirocin (topical)","*   Wound culture
    *   Complete blood count (CBC)
    *   Radiographic imaging procedure
    *   Wound care management"
768,"Based on the provided table:

1.  **Most Likely Disease:** Pelvic organ prolapse. The symptom ""difficulty in passing urine"" aligns with ""retention of urine,"" which is listed as a symptom of Pelvic organ prolapse. While Vocal cord polyp also lists ""retention of urine,"" it is less likely given the presenting symptom.

2.  **Recommended Medication(s):**
    *   Estradiol
    *   Estrogens, Conjugated (Usp) (Premarin)
    *   Tolterodine (Detrol)
    *   Solifenacin (Vesicare)
    *   Darifenacin (Enablex)
    *   Selegiline
    *   Bethanechol
    *   Imipramine
    *   Eprosartan (Teveten)

3.  **Suggested Medical Test(s):**
    *   Pelvis exam
    *   Urinalysis
    *   Examination of breast
    *   Rectal examination
    *   Mammography (Mammogram)
    *   Ultrasonography (Ultrasound)","Pelvic organ prolapse. The symptom ""difficulty in passing urine"" aligns with ""retention of urine,"" which is listed as a symptom of Pelvic organ prolapse. While Vocal cord polyp also lists ""retention of urine,"" it is less likely given the presenting symptom.","*   Estradiol
    *   Estrogens, Conjugated (Usp) (Premarin)
    *   Tolterodine (Detrol)
    *   Solifenacin (Vesicare)
    *   Darifenacin (Enablex)
    *   Selegiline
    *   Bethanechol
    *   Imipramine
    *   Eprosartan (Teveten)","*   Pelvis exam
    *   Urinalysis
    *   Examination of breast
    *   Rectal examination
    *   Mammography (Mammogram)
    *   Ultrasonography (Ultrasound)"
1792,"1. **Most Likely Disease:**

Cysticercosis. This is because the provided table lists cysticercosis as having all the mentioned symptoms: seizures, vomiting, elbow cramps or spasms, and feeling hot and cold.

2. **Recommended Medication(s):**

Based on the table, for Cysticercosis and Poisoning due to ethylene glycol the recommended medications are:

*   Lorazepam

3. **Suggested Medical Test(s):**

Based on the table, for Poisoning due to ethylene glycol the recommended medical test is:

*   Toxicology screen","Cysticercosis. This is because the provided table lists cysticercosis as having all the mentioned symptoms: seizures, vomiting, elbow cramps or spasms, and feeling hot and cold.","Based on the table, for Cysticercosis and Poisoning due to ethylene glycol the recommended medications are:

*   Lorazepam","Based on the table, for Poisoning due to ethylene glycol the recommended medical test is:

*   Toxicology screen"
1906,"Based on the provided table and the patient's symptoms:

1.  **Most Likely Disease:** Foreign body in the gastrointestinal tract. The table directly links vomiting and throat tightness to this condition, which aligns with the patient's report. While fecal incontinence isn't explicitly listed, a foreign body could potentially cause bowel obstruction or irritation leading to this symptom.

2.  **Recommended Medication(s):** Glucagon

3.  **Suggested Medical Test(s):** Radiographic imaging procedure, Plain x-ray (X ray)","Foreign body in the gastrointestinal tract. The table directly links vomiting and throat tightness to this condition, which aligns with the patient's report. While fecal incontinence isn't explicitly listed, a foreign body could potentially cause bowel obstruction or irritation leading to this symptom.",Glucagon,"Radiographic imaging procedure, Plain x-ray (X ray)"
4140,"1. **Most Likely Disease:**
Corneal disorder. This is because the patient experiences eye redness, a swollen eye, a headache, spots or clouds in vision, and pain in the eye. Corneal disorder presents with diminished vision, pain in the eye, eye redness, and spots or clouds in vision. Other diseases present similar symptoms.

2. **Recommended Medication(s):**
Prednisolone Ophthalmic, Tropicamide Ophthalmic, Phenylephrine (Duramax)

3. **Suggested Medical Test(s):**
Ophthalmic examination and evaluation (Eye exam)","Corneal disorder. This is because the patient experiences eye redness, a swollen eye, a headache, spots or clouds in vision, and pain in the eye. Corneal disorder presents with diminished vision, pain in the eye, eye redness, and spots or clouds in vision. Other diseases present similar symptoms.","Prednisolone Ophthalmic, Tropicamide Ophthalmic, Phenylephrine (Duramax)",Ophthalmic examination and evaluation (Eye exam)
4932,"1. **Most Likely Disease:**
Alopecia. This is because it is the only disease that lists both ""skin rash"" and ""skin growth"" as symptoms, which are the patient's presented symptoms. While other diseases list one or the other, Alopecia is the only condition in the provided table that includes both symptoms.

2. **Recommended Medication(s):**
Triamcinolone Topical Product
Clobetasol Topical
Fluocinonide Topical
Betamethasone Topical Product
Salicylic Acid Topical
Ketoconazole
Hydroxychloroquine (Plaquenil)
Anthralin Topical

3. **Suggested Medical Test(s):**
Complete physical skin exam performed (ML)
Other therapeutic procedures
Biopsy
Excision (Removal)
Other diagnostic procedures on skin and subcutaneous tissue
Excision of skin lesion","Alopecia. This is because it is the only disease that lists both ""skin rash"" and ""skin growth"" as symptoms, which are the patient's presented symptoms. While other diseases list one or the other, Alopecia is the only condition in the provided table that includes both symptoms.","Triamcinolone Topical Product
Clobetasol Topical
Fluocinonide Topical
Betamethasone Topical Product
Salicylic Acid Topical
Ketoconazole
Hydroxychloroquine (Plaquenil)
Anthralin Topical","Complete physical skin exam performed (ML)
Other therapeutic procedures
Biopsy
Excision (Removal)
Other diagnostic procedures on skin and subcutaneous tissue
Excision of skin lesion"
218,"Okay, here's an analysis based on the provided table and the user's statement ""I had an accident last night and I think I might have injured one of my internal organs."":

1. **Most Likely Disease:** Injury to the abdomen

   Explanation: Given the accident, injury to the abdomen directly aligns with the scenario. The symptom ""Sharp abdominal pain"" also supports this. Other conditions might be exacerbated by trauma, but injury is the most direct consequence.

2. **Recommended Medication(s):**

*   Vecuronium
*   Bisacodyl (The Magic Bullet)
*   Memantine (Namenda)
*   Sennosides, Usp (Perdiem)
*   Zosyn
*   Mecamylamine
*   Grepafloxacin (Raxar)
*   Malathion Topical
*   Gemtuzumab (Mylotarg)

3. **Suggested Medical Test(s):**

*   Radiographic imaging procedure
*   Hematologic tests (Blood test)
*   Complete blood count (Cbc)
*   X-ray computed tomography (Scan ct)
*   Urinalysis
*   Kidney function tests (Kidney function test)
*   Intravenous fluid replacement","Injury to the abdomen

   Explanation: Given the accident, injury to the abdomen directly aligns with the scenario. The symptom ""Sharp abdominal pain"" also supports this. Other conditions might be exacerbated by trauma, but injury is the most direct consequence.","*   Vecuronium
*   Bisacodyl (The Magic Bullet)
*   Memantine (Namenda)
*   Sennosides, Usp (Perdiem)
*   Zosyn
*   Mecamylamine
*   Grepafloxacin (Raxar)
*   Malathion Topical
*   Gemtuzumab (Mylotarg)","*   Radiographic imaging procedure
*   Hematologic tests (Blood test)
*   Complete blood count (Cbc)
*   X-ray computed tomography (Scan ct)
*   Urinalysis
*   Kidney function tests (Kidney function test)
*   Intravenous fluid replacement"
4598,"1. **Most Likely Disease:**
Substance-related mental disorder. The patient reports abusing alcohol more than usual, experiencing delusions or hallucinations, and slurring words. These symptoms, along with a history of alcohol abuse, strongly suggest a substance-related mental disorder.

2. **Recommended Medication(s):**
*   Lorazepam
*   Quetiapine (Seroquel)
*   Risperidone
*   Haloperidol
*   Benztropine
*   Ziprasidone (Geodon)
*   Naltrexone

3. **Suggested Medical Test(s):**
*   Hematologic tests (Blood test)
*   Complete blood count (Cbc)
*   Urinalysis
*   Glucose measurement (Glucose level)
*   Kidney function tests (Kidney function test)
*   Electrocardiogram","Substance-related mental disorder. The patient reports abusing alcohol more than usual, experiencing delusions or hallucinations, and slurring words. These symptoms, along with a history of alcohol abuse, strongly suggest a substance-related mental disorder.","*   Lorazepam
*   Quetiapine (Seroquel)
*   Risperidone
*   Haloperidol
*   Benztropine
*   Ziprasidone (Geodon)
*   Naltrexone","*   Hematologic tests (Blood test)
*   Complete blood count (Cbc)
*   Urinalysis
*   Glucose measurement (Glucose level)
*   Kidney function tests (Kidney function test)
*   Electrocardiogram"
1629,"1. **Most Likely Disease:** Injury to the knee. This is the only disease in the table that lists both knee pain and heartburn as symptoms.

2. **Recommended Medication(s):**
    * Chondroitin-Glucosamine
    * Cortisone
    * Piroxicam
    * Nabumetone
    * Pentazocine (Talwin)
    * Alendronate-Cholecalciferol

3. **Suggested Medical Test(s):**
    * Radiographic imaging procedure
    * Plain x-ray (X ray)
    * Magnetic resonance imaging (Mri)
    * Application of splint (Splinting)
    * Physical therapy exercises (Exercises)",Injury to the knee. This is the only disease in the table that lists both knee pain and heartburn as symptoms.,"* Chondroitin-Glucosamine
    * Cortisone
    * Piroxicam
    * Nabumetone
    * Pentazocine (Talwin)
    * Alendronate-Cholecalciferol","* Radiographic imaging procedure
    * Plain x-ray (X ray)
    * Magnetic resonance imaging (Mri)
    * Application of splint (Splinting)
    * Physical therapy exercises (Exercises)"
5324,"1. **Most Likely Disease:** Coronary atherosclerosis. The combination of burning chest pain and the mention of a breast examination, along with smoking-related problems, strongly suggests this condition.

2. **Recommended Medication(s):**
*   Nicotine

3. **Suggested Medical Test(s):**
*   Examination of breast","Coronary atherosclerosis. The combination of burning chest pain and the mention of a breast examination, along with smoking-related problems, strongly suggests this condition.",*   Nicotine,*   Examination of breast
4465,"Here's an analysis of the patient's symptoms based on the provided information:

1.  **Most Likely Disease:** Substance-related mental disorder.
    *   **Why:** The patient presents with a combination of symptoms including alcohol abuse, depression, temper problems (excessive anger), and fears/phobias. These align strongly with the listed symptoms for Substance-related mental disorder.

2.  **Recommended Medication(s):**
    *   Lorazepam
    *   Quetiapine (Seroquel)
    *   Risperidone
    *   Haloperidol
    *   Benztropine
    *   Ziprasidone (Geodon)
    *   Efavirenz
    *   Naloxone (Suboxone)
    *   Nicotine
    *   Didanosine (Videx)
    *   Nelfinavir (Viracept)
    *   Naltrexone

3.  **Suggested Medical Test(s):**
    *   Hematologic tests (Blood test)
    *   Complete blood count (Cbc)
    *   Urinalysis
    *   Glucose measurement (Glucose level)
    *   Kidney function tests (Kidney function test)
    *   Electrocardiogram
    *   Intravenous fluid replacement","Substance-related mental disorder.
    *   **Why:** The patient presents with a combination of symptoms including alcohol abuse, depression, temper problems (excessive anger), and fears/phobias. These align strongly with the listed symptoms for Substance-related mental disorder.","*   Lorazepam
    *   Quetiapine (Seroquel)
    *   Risperidone
    *   Haloperidol
    *   Benztropine
    *   Ziprasidone (Geodon)
    *   Efavirenz
    *   Naloxone (Suboxone)
    *   Nicotine
    *   Didanosine (Videx)
    *   Nelfinavir (Viracept)
    *   Naltrexone","*   Hematologic tests (Blood test)
    *   Complete blood count (Cbc)
    *   Urinalysis
    *   Glucose measurement (Glucose level)
    *   Kidney function tests (Kidney function test)
    *   Electrocardiogram
    *   Intravenous fluid replacement"
3437,"Based on the provided table and limited information, here's a possible analysis:

1.  **Most Likely Disease:** Thoracic aortic aneurysm. This is because it is the only disease listed that presents with both back pain and dizziness, two of the patient's reported symptoms. While other conditions have overlapping symptoms, this one aligns most closely with the information provided.

2.  **Recommended Medication(s):**

    *   Beta-blockers
    *   ACE inhibitors
    *   Pain relievers

3.  **Suggested Medical Test(s):**

    *   CT scan
    *   MRI
    *   Echocardiogram
    *   Angiogram","Thoracic aortic aneurysm. This is because it is the only disease listed that presents with both back pain and dizziness, two of the patient's reported symptoms. While other conditions have overlapping symptoms, this one aligns most closely with the information provided.","*   Beta-blockers
    *   ACE inhibitors
    *   Pain relievers","*   CT scan
    *   MRI
    *   Echocardiogram
    *   Angiogram"
1806,"1. **Most Likely Disease:**
Pyloric stenosis. This disease includes all three of the patient's symptoms: vomiting, sharp abdominal pain, and burning abdominal pain.

2. **Recommended Medication(s):**
Nizatidine (Axid)
Simethicone (Degas)
Lactulose
Silver Sulfadiazine Topical
Niacin
Nystatin Topical Product
Mecamylamine
Grepafloxacin (Raxar)
Malathion Topical
Gemtuzumab (Mylotarg)

3. **Suggested Medical Test(s):**
Radiographic imaging procedure
Hematologic tests (Blood test)
Complete blood count (Cbc)
Intravenous fluid replacement
Electrolytes panel
Glucose measurement (Glucose level)
Kidney function tests (Kidney function test)","Pyloric stenosis. This disease includes all three of the patient's symptoms: vomiting, sharp abdominal pain, and burning abdominal pain.","Nizatidine (Axid)
Simethicone (Degas)
Lactulose
Silver Sulfadiazine Topical
Niacin
Nystatin Topical Product
Mecamylamine
Grepafloxacin (Raxar)
Malathion Topical
Gemtuzumab (Mylotarg)","Radiographic imaging procedure
Hematologic tests (Blood test)
Complete blood count (Cbc)
Intravenous fluid replacement
Electrolytes panel
Glucose measurement (Glucose level)
Kidney function tests (Kidney function test)"
3680,"1. **Most Likely Disease:** Ovarian torsion. Pelvic pain is a primary symptom associated with ovarian torsion according to the table. While other conditions also list pelvic pain, ovarian torsion can be a serious condition requiring prompt attention.

2. **Recommended Medication(s):**
    * Progesterone
    * Fluconazole (Diflucan)
    * Methylergonovine (Methergine)
    * Medroxyprogesterone
    * Levonorgestrel
    * Metronidazole
    * Oxycodone
    * Multivitamin, Prenatal

3. **Suggested Medical Test(s):**
    * Pelvis exam
    * Magnetic resonance imaging (Mri)","Ovarian torsion. Pelvic pain is a primary symptom associated with ovarian torsion according to the table. While other conditions also list pelvic pain, ovarian torsion can be a serious condition requiring prompt attention.","* Progesterone
    * Fluconazole (Diflucan)
    * Methylergonovine (Methergine)
    * Medroxyprogesterone
    * Levonorgestrel
    * Metronidazole
    * Oxycodone
    * Multivitamin, Prenatal","* Pelvis exam
    * Magnetic resonance imaging (Mri)"
