Q_ID,Question,Reference_Answer
3680,"Doctor, I've been having pelvic pain and it's been bothering me a lot lately. What could be causing this?","1. **Most Likely Disease:** Ovarian torsion. Pelvic pain is a primary symptom associated with ovarian torsion according to the table. While other conditions also list pelvic pain, ovarian torsion can be a serious condition requiring prompt attention.

2. **Recommended Medication(s):**
    * Progesterone
    * Fluconazole (Diflucan)
    * Methylergonovine (Methergine)
    * Medroxyprogesterone
    * Levonorgestrel
    * Metronidazole
    * Oxycodone
    * Multivitamin, Prenatal

3. **Suggested Medical Test(s):**
    * Pelvis exam
    * Magnetic resonance imaging (Mri)"
4828,"Doctor, I have been experiencing cough, elbow cramps, excessive growth, low back weakness, and decreased appetite. What could this be?","1. **Most Likely Disease:**

Based on the limited information and the provided table, it's difficult to pinpoint one most likely disease. The listed symptoms are quite diverse and could point to multiple underlying conditions. While cough is suggestive of Asthma, the other symptoms like elbow cramps, excessive growth (age is unknown, so this could be normal growth), low back weakness, and decreased appetite don't fit neatly with Asthma or Foreign body in the vagina. Further information and a more comprehensive medical evaluation are needed for an accurate diagnosis. Because the provided data is insufficient, I cannot choose a most likely disease.

2. **Recommended Medication(s):**

Since a definitive diagnosis cannot be made, I cannot provide medication recommendations.

3. **Suggested Medical Test(s):**

Since a definitive diagnosis cannot be made, I cannot provide medical tests recommendations."
2279,"Doctor, I have a plugged feeling in my ear and my hearing has diminished recently. Additionally, I've been biting my nails a lot and experiencing some emotional symptoms. I've also noticed some muscle swelling. What could be causing all these symptoms?","Based on the provided information:

1.  **Most Likely Disease:** Cholesteatoma. This is the only condition listed that includes both ""diminished hearing"" and ""plugged feeling in ear"" as symptoms, as well as ""muscle swelling"".

2.  **Recommended Medication(s):**
    *   Ofloxacin
    *   Triamcinolone Nasal Product
    *   Boric Acid Topical
    *   Neomycin (Septa)
    *   Theophylline
    *   Dexamethasone-Tobramycin Ophthalmic
    *   Desloratadine (Clarinex)
    *   Olopatadine Ophthalmic

3.  **Suggested Medical Test(s):**
    *   Ophthalmologic and otologic diagnosis and treatment
    *   Excision (Removal)
    *   Other diagnostic procedures (interview; evaluation; consultation)
    *   Wound care management
    *   Lipid panel
    *   Prostate specific antigen measurement (Prostate specific antigen test)
    *   Other therapeutic ear procedures"
54,"Doctor, I have been feeling very down and sad after giving birth to my baby. It's been a few weeks now and I just can't seem to shake it off. ","1. **Most Likely Disease:**
Postpartum depression. The patient reports feeling ""down and sad"" after giving birth, which aligns with the symptom of depression and the recent pregnancy listed for postpartum depression in the table.

2. **Recommended Medication(s):**
* Sertraline (Zoloft)
* Desipramine

3. **Suggested Medical Test(s):**
* Depression screen (Depression screening)
* Mental health counseling"
1308,"Doctor, I broke my tooth and it's really hurting. What medication should I take?","Since there is no table provided, I will answer based on my own medical knowledge.

1. **Most Likely Disease:** Dental Fracture/Pulpitis. The broken tooth is the primary symptom, indicating a dental fracture. The pain suggests that the fracture may have exposed the pulp (nerve and blood vessels) of the tooth, leading to inflammation and pain (pulpitis).

2. **Recommended Medication(s):**
    *   Ibuprofen
    *   Acetaminophen
    *   Benzocaine (topical)
    *   (Possibly) Amoxicillin (if infection is suspected, requires prescription)

3. **Suggested Medical Test(s):**
    *   Dental Examination
    *   Dental X-ray
    *   Pulp Vitality Test"
3463,"Hi doctor, I've been experiencing leg cramps or spasms a lot lately. Any idea what could be causing it?","Since you have not provided a reference table, I will answer based on my medical knowledge.

1. **Most Likely Cause:** Dehydration or Electrolyte Imbalance. Leg cramps and spasms are frequently caused by dehydration or imbalances in electrolytes like potassium, calcium, and magnesium. These are common causes and should be considered first.

2. **Recommended Medication(s):**
    *   Magnesium supplements
    *   Potassium supplements (if potassium deficiency is confirmed)
    *   Calcium supplements (if calcium deficiency is confirmed)
    *   Muscle relaxants (e.g., cyclobenzaprine, only if cramps are severe and persistent)

3. **Suggested Medical Test(s):**
    *   Electrolyte panel
    *   Complete blood count (CBC)
    *   Kidney function tests
    *   Magnesium level
    *   Calcium level
    *   Vitamin D level"
2788,"Doctor, I have been experiencing some strange symptoms lately, including focal weakness, depressive thoughts, and itching of my skin. Can you tell me what might be causing these symptoms? ","1. **Most Likely Disease:**

Given the limited information and the specific table provided, it's difficult to pinpoint a single ""most likely"" disease with certainty. The symptoms point towards both neurological and dermatological possibilities. Considering the provided table entries, Stroke and Subdural hemorrhage account for focal weakness and depressive thoughts. Alopecia accounts for itching of skin. Given the symptoms, **Stroke** is a primary consideration as it is the only condition that covers at least two of the symptoms. Subdural hemorrhage does not account for itching of skin.

2. **Recommended Medication(s):**

*   Clopidogrel (Plavix)
*   Labetalol
*   Alteplase
*   Fosphenytoin
*   Deferasirox (Exjade)
*   Bethanechol
*   Nicardipine
*   Dalteparin (Fragmin)
*   Rimabotulinumtoxinb (Myobloc)
*   Minoxidil Topical
*   Finasteride (Propecia)
*   Triamcinolone Topical Product
*   Clobetasol Topical
*   Fluocinonide Topical
*   Minoxidil (Rogaine)
*   Betamethasone Topical Product
*   Salicylic Acid Topical
*   Ketoconazole
*   Hydroxychloroquine (Plaquenil)
*   Anthralin Topical
*   Biotin
*   Phenytoin (Dilantin)
*   Doxepin

3.  **Suggested Medical Test(s):**

*   Radiographic imaging procedure
*   Hematologic tests (Blood test)
*   Complete blood count (Cbc)
*   X-ray computed tomography (Scan ct)
*   Electrocardiogram
*   Glucose measurement (Glucose level)
*   Electrolytes panel
*   Complete physical skin exam performed (ML)
*   Lipid panel
*   Other therapeutic procedures
*   Biopsy
*   Excision (Removal)
*   Other diagnostic procedures on skin and subcutaneous tissue
*   Excision of skin lesion
*   Depression screen (Depression screening)"
2277,"Doctor, I have been experiencing some dizziness, weakness in my elbow and low back area, and my muscles have been swelling. Additionally, I am also having a plugged feeling in my ear. Can you please tell me what's wrong with me?","1. **Most Likely Disease:** Cholesteatoma. This is because it includes both ""Plugged feeling in ear"" and ""Muscle swelling"" as symptoms, which are two of the patient's key complaints. While other diseases listed have some overlapping symptoms, Cholesteatoma is the most comprehensive match based on the limited data.

2. **Recommended Medication(s):**
    *   Ofloxacin
    *   Triamcinolone Nasal Product
    *   Boric Acid Topical
    *   Neomycin (Septa)
    *   Theophylline
    *   Dexamethasone-Tobramycin Ophthalmic
    *   Desloratadine (Clarinex)
    *   Olopatadine Ophthalmic

3. **Suggested Medical Test(s):**
    *   Ophthalmologic and otologic diagnosis and treatment
    *   Excision (Removal)
    *   Other diagnostic procedures (interview; evaluation; consultation)
    *   Wound care management
    *   Lipid panel
    *   Other therapeutic ear procedures
    *   Prostate specific antigen measurement (Prostate specific antigen test)"
1274,"Hi Doc, I've been experiencing knee pain for a while now and it hurts even more when I climb stairs or do any kind of physical activity.","1. **Most Likely Disease:** Injury to the knee. The symptom of knee pain that worsens with physical activity, especially climbing stairs, is highly suggestive of a knee injury.

2. **Recommended Medication(s):**
*   Chondroitin-Glucosamine
*   Oxycodone
*   Acebutolol

3. **Suggested Medical Test(s):**
*   Plain x-ray (X ray)
*   Radiographic imaging procedure
*   Magnetic resonance imaging (MRI)
*   Examination of foot"
1764,"Doctor, I've been experiencing Hemoptysis, Sharp abdominal pain, Side pain, Diarrhea, and Burning abdominal pain. What could be the reason for all these symptoms?","1. **Most Likely Disease:** Acute pancreatitis. The combination of sharp abdominal pain, diarrhea, burning abdominal pain, and side pain strongly suggests acute pancreatitis, as these symptoms are listed in the provided information. Hemoptysis can also be a symptom.

2. **Recommended Medication(s):**
*   Ondansetron (Zofran)
*   Hydromorphone (Dilaudid)
*   Zosyn
*   Diatrizoate
*   Chlordiazepoxide
*   Pancrelipase (Pancrease)
*   Pancreatin
*   Iohexol (Omnipaque)
*   Cefotetan
*   Benzylpenicilloyl Polylysine (Pre-Pen)
*   Glucagon

3. **Suggested Medical Test(s):**
*   Hematologic tests (Blood test)
*   Complete blood count (Cbc)
*   Radiographic imaging procedure
*   Intravenous fluid replacement
*   Kidney function tests (Kidney function test)
*   Glucose measurement (Glucose level)
*   Urinalysis"
2758,"Doctor, I have a mouth ulcer and my gums are hurting a lot. What could be the reason for this?","1. **Most Likely Disease:** Cellulitis or abscess of mouth. The table directly links mouth ulcers and gum pain to this condition.

2. **Recommended Medication(s):**
*   Clindamycin

3. **Suggested Medical Test(s):**
*   Complete physical skin exam"
838,"Doctor, I have been feeling really down and hopeless since I had my baby. I think I might have postpartum depression.","1. **Most Likely Disease:**

Postpartum depression. The patient explicitly states they think they might have postpartum depression, and mentions feeling ""down and hopeless"" after having a baby, which are key symptoms of the condition.

2. **Recommended Medication(s):**

*   Sertraline (Zoloft)
*   Desipramine

3. **Suggested Medical Test(s):**

*   Depression screen (Depression screening)
*   Mental health counseling"
760,"Hi Doctor, I've been having some behavioral issues lately. I get into a lot of fights and feel angry all the time. ","1. **Most Likely Disease:**

Fetal alcohol syndrome. While several conditions list ""Excessive anger,"" Fetal Alcohol Syndrome includes both ""Excessive anger"" and ""Hostile behavior,"" plus other mental symptoms, making it a strong possibility given the combination of behavioral problems.

2. **Recommended Medication(s):**

Adderall, Methylphenidate, Clonidine, Trazodone, Cyproheptadine, Guanfacine (Intuniv), Nicotine, Atomoxetine (Strattera), Olanzapine (Zyprexa), Lamotrigine (Lamictal), Risperidone

3. **Suggested Medical Test(s):**

Mental health counseling, Ophthalmologic and otologic diagnosis and treatment"
3113,"Doctor, I have been experiencing neck swelling, toothache, mouth pain, peripheral edema, and gum pain. What could be the issue?","1. **Most Likely Disease:** Teething syndrome. The symptom 'gum pain' is directly associated with teething syndrome in the provided table.

2. **Recommended Medication(s):** (Based on the table, there are no recommended medications for teething syndrome)

3. **Suggested Medical Test(s):** (Based on the table, there are no suggested medical tests for teething syndrome)"
793,I have been experiencing vaginal dryness and itching lately. It's making sex very uncomfortable.,"1. **Most Likely Disease:** Atrophic vaginitis. The symptoms of vaginal dryness, vaginal itching, and painful intercourse align closely with the listed symptoms for atrophic vaginitis.

2. **Recommended Medication(s):**
*   Estrogens, Conjugated (Usp) (Premarin)
*   Estradiol
*   Betamethasone-Clotrimazole Topical

3. **Suggested Medical Test(s):**
*   Pelvis exam
*   Examination of breast
*   Urinalysis
*   Mammography (Mammogram)
*   Rectal examination
*   Complete physical skin exam performed (ML)
*   Pap smear"
