Question_ID,first_output,second_output,compare_result
1867,output3,output7,0
1867,output4,output5,1
1867,output4,output6,2
1867,output4,output7,0
1867,output5,output6,0
1867,output5,output7,0
1867,output6,output7,2
1877,output1,output2,0
1877,output1,output3,0
1877,output1,output4,1
1877,output1,output5,0
1877,output1,output6,0
1877,output1,output7,0
1877,output2,output3,0
1877,output2,output4,0
1877,output2,output5,0
1877,output2,output6,0
1877,output2,output7,0
1877,output3,output4,0
1877,output3,output5,2
1877,output3,output6,2
1877,output3,output7,2
1877,output4,output5,0
1877,output4,output6,0
1877,output4,output7,0
1877,output5,output6,2
1877,output5,output7,0
1877,output6,output7,0
1906,output1,output2,0
1906,output1,output3,0
1906,output1,output4,2
1906,output1,output5,0
1906,output1,output6,0
1906,output1,output7,1
1906,output2,output3,2
1906,output2,output4,0
1906,output2,output5,1
1906,output2,output6,1
1906,output2,output7,0
1906,output3,output4,0
1906,output3,output5,0
1906,output3,output6,0
1906,output3,output7,1
1906,output4,output5,0
1906,output4,output6,0
1906,output4,output7,1
1906,output5,output6,0
1906,output5,output7,0
1906,output6,output7,1
1908,output1,output2,0
1908,output1,output3,0
1908,output1,output4,0
1908,output1,output5,0
1908,output1,output6,0
1908,output1,output7,1
1908,output2,output3,1
1908,output2,output4,0
1908,output2,output5,0
1908,output2,output6,0
1908,output2,output7,1
1908,output3,output4,0
1908,output3,output5,0
1908,output3,output6,0
1908,output3,output7,1
1908,output4,output5,0
1908,output4,output6,1
1908,output4,output7,1
1908,output5,output6,0
1908,output5,output7,1
1908,output6,output7,1
2006,output1,output2,0
2006,output1,output3,1
2006,output1,output4,0
2006,output1,output5,0
2006,output1,output6,0
2006,output1,output7,0
2006,output2,output3,0
2006,output2,output4,0
2006,output2,output5,0
2006,output2,output6,0
2006,output2,output7,2
2006,output3,output4,0
2006,output3,output5,0
2006,output3,output6,0
2006,output3,output7,2
2006,output4,output5,1
2006,output4,output6,0
2006,output4,output7,2
2006,output5,output6,0
2006,output5,output7,2
2006,output6,output7,2
2007,output1,output2,1
2007,output1,output3,1
2007,output1,output4,1
2007,output1,output5,2
2007,output1,output6,1
2007,output1,output7,1
2007,output2,output3,2
2007,output2,output4,0
2007,output2,output5,2
2007,output2,output6,1
2007,output2,output7,1
2007,output3,output4,1
2007,output3,output5,2
2007,output3,output6,1
2007,output3,output7,1
2007,output4,output5,2
2007,output4,output6,0
2007,output4,output7,2
2007,output5,output6,1
2007,output5,output7,1
2007,output6,output7,2
2167,output1,output2,1
2167,output1,output3,1
2167,output1,output4,2
2167,output1,output5,0
2167,output1,output6,2
2167,output1,output7,0
2167,output2,output3,2
2167,output2,output4,2
2167,output2,output5,0
2167,output2,output6,0
2167,output2,output7,1
2167,output3,output4,0
2167,output3,output5,1
2167,output3,output6,1
2167,output3,output7,1
2167,output4,output5,1
2167,output4,output6,0
2167,output4,output7,1
2167,output5,output6,1
2167,output5,output7,2
2167,output6,output7,0
2188,output1,output2,0
2188,output1,output3,2
2188,output1,output4,0
2188,output1,output5,0
2188,output1,output6,0
2188,output1,output7,0
2188,output2,output3,0
2188,output2,output4,0
2188,output2,output5,2
2188,output2,output6,0
2188,output2,output7,2
2188,output3,output4,0
2188,output3,output5,0
2188,output3,output6,0
2188,output3,output7,0
2188,output4,output5,2
2188,output4,output6,0
2188,output4,output7,0
2188,output5,output6,0
2188,output5,output7,0
2188,output6,output7,0
2194,output1,output2,1
2194,output1,output3,0
2194,output1,output4,0
2194,output1,output5,0
2194,output1,output6,0
2194,output1,output7,0
2194,output2,output3,0
2194,output2,output4,0
2194,output2,output5,0
2194,output2,output6,0
2194,output2,output7,0
2194,output3,output4,0
2194,output3,output5,0
2194,output3,output6,0
2194,output3,output7,0
2194,output4,output5,1
2194,output4,output6,2
2194,output4,output7,0
2194,output5,output6,0
2194,output5,output7,2
2194,output6,output7,0
2212,output1,output2,2
2212,output1,output3,0
2212,output1,output4,2
2212,output1,output5,0
2212,output1,output6,0
2212,output1,output7,2
2212,output2,output3,1
2212,output2,output4,0
2212,output2,output5,0
2212,output2,output6,1
2212,output2,output7,2
2212,output3,output4,0
2212,output3,output5,0
2212,output3,output6,0
2212,output3,output7,2
2212,output4,output5,0
2212,output4,output6,0
2212,output4,output7,1
2212,output5,output6,0
2212,output5,output7,0
2212,output6,output7,0
2254,output1,output2,1
2254,output1,output3,0
2254,output1,output4,0
2254,output1,output5,2
2254,output1,output6,0
2254,output1,output7,0
2254,output2,output3,0
2254,output2,output4,0
2254,output2,output5,0
2254,output2,output6,0
2254,output2,output7,1
2254,output3,output4,0
2254,output3,output5,0
2254,output3,output6,0
2254,output3,output7,1
2254,output4,output5,0
2254,output4,output6,0
2254,output4,output7,0
2254,output5,output6,0
2254,output5,output7,0
2254,output6,output7,0
2277,output1,output2,1
2277,output1,output3,1
2277,output1,output4,1
2277,output1,output5,0
2277,output1,output6,0
2277,output1,output7,1
2277,output2,output3,2
2277,output2,output4,0
2277,output2,output5,0
2277,output2,output6,0
2277,output2,output7,0
2277,output3,output4,0
2277,output3,output5,1
2277,output3,output6,0
2277,output3,output7,0
2277,output4,output5,1
2277,output4,output6,0
2277,output4,output7,0
2277,output5,output6,0
2277,output5,output7,0
2277,output6,output7,0
2278,output1,output2,0
2278,output1,output3,0
2278,output1,output4,0
2278,output1,output5,0
2278,output1,output6,2
2278,output1,output7,0
2278,output2,output3,0
2278,output2,output4,0
2278,output2,output5,0
2278,output2,output6,0
2278,output2,output7,0
2278,output3,output4,0
2278,output3,output5,0
2278,output3,output6,0
2278,output3,output7,0
2278,output4,output5,0
2278,output4,output6,2
2278,output4,output7,0
2278,output5,output6,0
2278,output5,output7,0
2278,output6,output7,0
2279,output1,output2,0
2279,output1,output3,2
2279,output1,output4,2
2279,output1,output5,0
2279,output1,output6,0
2279,output1,output7,2
2279,output2,output3,0
2279,output2,output4,0
2279,output2,output5,1
2279,output2,output6,2
2279,output2,output7,0
2279,output3,output4,1
2279,output3,output5,1
2279,output3,output6,0
2279,output3,output7,2
2279,output4,output5,1
2279,output4,output6,1
2279,output4,output7,1
2279,output5,output6,0
2279,output5,output7,0
2279,output6,output7,2
2371,output1,output2,0
2371,output1,output3,1
2371,output1,output4,0
2371,output1,output5,0
2371,output1,output6,0
2371,output1,output7,2
2371,output2,output3,1
2371,output2,output4,0
2371,output2,output5,2
2371,output2,output6,1
2371,output2,output7,0
2371,output3,output4,0
2371,output3,output5,0
2371,output3,output6,0
2371,output3,output7,0
2371,output4,output5,0
2371,output4,output6,2
2371,output4,output7,0
2371,output5,output6,0
2371,output5,output7,0
2371,output6,output7,0
2402,output1,output2,1
2402,output1,output3,1
2402,output1,output4,1
2402,output1,output5,1
2402,output1,output6,1
2402,output1,output7,1
2402,output2,output3,0
2402,output2,output4,1
2402,output2,output5,0
2402,output2,output6,1
2402,output2,output7,1
2402,output3,output4,0
2402,output3,output5,1
2402,output3,output6,1
2402,output3,output7,1
2402,output4,output5,1
2402,output4,output6,1
2402,output4,output7,1
2402,output5,output6,1
2402,output5,output7,1
2402,output6,output7,1
2585,output1,output2,2
2585,output1,output3,0
2585,output1,output4,0
2585,output1,output5,2
2585,output1,output6,2
2585,output1,output7,2
2585,output2,output3,2
2585,output2,output4,1
2585,output2,output5,0
2585,output2,output6,1
2585,output2,output7,2
2585,output3,output4,0
2585,output3,output5,2
2585,output3,output6,2
2585,output3,output7,2
2585,output4,output5,2
2585,output4,output6,2
2585,output4,output7,2
2585,output5,output6,2
2585,output5,output7,2
2585,output6,output7,2
2657,output1,output2,0
2657,output1,output3,0
2657,output1,output4,0
2657,output1,output5,0
2657,output1,output6,0
2657,output1,output7,0
2657,output2,output3,0
2657,output2,output4,0
2657,output2,output5,0
2657,output2,output6,0
2657,output2,output7,0
2657,output3,output4,0
2657,output3,output5,0
2657,output3,output6,0
2657,output3,output7,0
2657,output4,output5,0
2657,output4,output6,0
2657,output4,output7,0
2657,output5,output6,0
2657,output5,output7,0
2657,output6,output7,0
2758,output1,output2,0
2758,output1,output3,1
2758,output1,output4,2
2758,output1,output5,1
2758,output1,output6,1
2758,output1,output7,1
2758,output2,output3,1
2758,output2,output4,2
2758,output2,output5,1
2758,output2,output6,1
2758,output2,output7,1
2758,output3,output4,2
2758,output3,output5,0
2758,output3,output6,0
2758,output3,output7,0
2758,output4,output5,1
2758,output4,output6,1
2758,output4,output7,1
2758,output5,output6,0
2758,output5,output7,0
2758,output6,output7,0
2788,output1,output2,2
2788,output1,output3,1
2788,output1,output4,1
2788,output1,output5,1
2788,output1,output6,2
2788,output1,output7,1
2788,output2,output3,0
2788,output2,output4,1
2788,output2,output5,1
2788,output2,output6,0
2788,output2,output7,1
2788,output3,output4,0
2788,output3,output5,1
2788,output3,output6,2
2788,output3,output7,1
2788,output4,output5,1
2788,output4,output6,1
2788,output4,output7,0
2788,output5,output6,1
2788,output5,output7,0
2788,output6,output7,1
2818,output1,output2,0
2818,output1,output3,1
2818,output1,output4,1
2818,output1,output5,1
2818,output1,output6,0
2818,output1,output7,1
2818,output2,output3,0
2818,output2,output4,2
2818,output2,output5,0
2818,output2,output6,2
2818,output2,output7,0
2818,output3,output4,2
2818,output3,output5,1
2818,output3,output6,0
2818,output3,output7,1
2818,output4,output5,1
2818,output4,output6,1
2818,output4,output7,0
2818,output5,output6,0
2818,output5,output7,1
2818,output6,output7,1
2911,output1,output2,0
2911,output1,output3,0
2911,output1,output4,2
2911,output1,output5,0
2911,output1,output6,0
2911,output1,output7,0
2911,output2,output3,0
2911,output2,output4,0
2911,output2,output5,0
2911,output2,output6,0
2911,output2,output7,0
2911,output3,output4,0
2911,output3,output5,0
2911,output3,output6,0
2911,output3,output7,0
2911,output4,output5,2
2911,output4,output6,0
2911,output4,output7,0
2911,output5,output6,0
2911,output5,output7,0
2911,output6,output7,0
2941,output1,output2,2
2941,output1,output3,2
2941,output1,output4,1
2941,output1,output5,2
2941,output1,output6,2
2941,output1,output7,2
2941,output2,output3,1
2941,output2,output4,1
2941,output2,output5,2
2941,output2,output6,1
2941,output2,output7,0
2941,output3,output4,1
2941,output3,output5,2
2941,output3,output6,0
2941,output3,output7,2
2941,output4,output5,2
2941,output4,output6,2
2941,output4,output7,2
2941,output5,output6,1
2941,output5,output7,0
2941,output6,output7,1
2963,output1,output2,0
2963,output1,output3,2
2963,output1,output4,0
2963,output1,output5,0
2963,output1,output6,0
2963,output1,output7,2
2963,output2,output3,0
2963,output2,output4,0
2963,output2,output5,0
2963,output2,output6,2
2963,output2,output7,0
2963,output3,output4,0
2963,output3,output5,0
2963,output3,output6,0
2963,output3,output7,0
2963,output4,output5,0
2963,output4,output6,0
2963,output4,output7,1
2963,output5,output6,0
2963,output5,output7,0
2963,output6,output7,0
2989,output1,output2,0
2989,output1,output3,1
2989,output1,output4,0
2989,output1,output5,0
2989,output1,output6,1
2989,output1,output7,0
2989,output2,output3,0
2989,output2,output4,0
2989,output2,output5,1
