Index,Question,Q_KeyEntities,Q_KGEntities,Answer,A_KeyEntities,A_KGEntities
41,"Doctor, I have been experiencing severe pain in my abdomen, along with nausea and vomiting. I am also having trouble digesting food. ","['Abdominal pain', 'Nausea', 'Vomiting', 'Digestion problems']","['Sharp_abdominal_pain', 'Nausea', 'Vomiting', 'Difficulty_eating']","Based on your symptoms, it sounds like you may have acute pancreatitis. To confirm this, we will need to run a series of medical tests. We will start with a blood test and a complete blood count (CBC), as well as a radiographic imaging procedure to determine the extent of the pancreatitis. We may also need to provide intravenous fluid replacement and perform kidney function tests and glucose level measurements. Additionally, a urinalysis will be necessary to check for any kidney damage.","['acute pancreatitis', 'Blood test', 'Complete blood count (CBC)', 'Radiographic imaging procedure', 'Intravenous fluid replacement', 'Kidney function tests', 'Glucose level measurements', 'Urinalysis', 'Kidney damage']","['Acute_pancreatitis', 'Hematologic_tests_(Blood_test)', 'Complete_blood_count_(Cbc)', 'Radiographic_imaging_procedure', 'Intravenous_fluid_replacement', 'Kidney_function_tests_(Kidney_function_test)', 'Glucose_measurement_(Glucose_level)', 'Urinalysis', 'Symptoms_of_the_kidneys']"
42,"Doctor, I'm experiencing pain, swelling, and redness in my leg. My doctor suspected it might be thrombophlebitis. What medical tests do I need to undergo?","['Pain in leg', 'Swelling in leg', 'Redness in leg', 'Thrombophlebitis', 'Medical tests']","['Leg_pain', 'Leg_swelling', 'Redness_in_ear', 'Thrombophlebitis', 'Hematologic_tests_(Blood_test)']","For thrombophlebitis, we need to conduct ultrasonography and a radiographic imaging procedure to confirm the clot. We also need to check your prothrombin time using a prothrombin time assay. Additionally, you'll need wound care management and physical therapy exercises to help you regain mobility in your leg. In some cases, we may need to perform other procedures on your vessels.","['Thrombophlebitis', 'Ultrasonography', 'Radiographic imaging procedure', 'Prothrombin time assay', 'Wound care management', 'Physical therapy exercises', 'Other procedures on vessels']","['Thrombophlebitis', 'Ultrasonography_(Ultrasound)', 'Radiographic_imaging_procedure', 'Prothrombin_time_assay_(Prothrombin_time)', 'Wound_care_management', 'Physical_therapy_exercises_(Exercises)', 'Other_OR_procedures_on_vessels_other_than_head_and_neck']"
43,"Doctor, I have been experiencing shortness of breath, wheezing and coughing lately. I think I may have Asthma.","['Shortness of breath', 'Wheezing', 'Coughing', 'Asthma']","['Shortness_of_breath', 'Wheezing', 'Cough', 'Asthma']","In order to diagnose Asthma, we need to perform some medical tests like Plain x-ray (X ray), Arterial blood gases (ABGs), Nebulizer therapy, Other diagnostic procedures (interview; evaluation; consultation), Influenzavirus antibody assay, Other respiratory therapy and Other diagnostic procedures on skin and subcutaneous tissue.","['Plain x-ray (X ray)', 'Arterial blood gases (ABGs)', 'Nebulizer therapy', 'Influenzavirus antibody assay', 'Other respiratory therapy', 'Other diagnostic procedures on skin and subcutaneous tissue']","['Plain_x-ray_(X_ray)', 'Arterial_blood_gases_(ABGs)', 'Nebulizer_therapy', 'Influenzavirus_antibody_assay', 'Other_respiratory_therapy', 'Other_diagnostic_procedures_on_skin_and_subcutaneous_tissue']"
44,"Doctor, I think I have a foreign object stuck in my vagina.","['Foreign object', 'Vagina']","['Foreign_body_in_the_gastrointestinal_tract', 'Vaginal_discharge']","Okay, in order to remove the object we will need to perform a nonoperative removal of the foreign body. Before we can proceed with the removal, we will need to conduct a pelvis exam to determine the exact location of the object. It's also important that we perform a standard pregnancy test to rule out any pregnancy complications. None of the other medical tests you mentioned are relevant in this case.","['Nonoperative removal of foreign body', 'Pelvis exam', 'Pregnancy test']","['Nonoperative_removal_of_foreign_body', 'Pelvis_exam', 'Standard_pregnancy_test']"
45,"Doctor, I have been experiencing a tingling and uncomfortable sensation in my legs that keeps me awake at night. I have trouble sleeping because of it.","['Tingling sensation in legs', 'Discomfort in legs', 'Sleep disturbances']","['Leg_stiffness_or_tightness', 'Leg_pain', 'Sleepiness']","I see. It sounds like you may have restless leg syndrome. We will need to schedule some tests to confirm the diagnosis. We will start with an interview and evaluation, followed by a lipid panel test and a hemoglobin A1c test. We may also need to examine your foot and perform a depression screening. Additionally, we may need to do a magnetic resonance imaging (MRI) or other therapeutic procedures on your eyelids, conjunctiva, or cornea.","['Restless leg syndrome', 'Lipid panel test', 'Hemoglobin A1c test', 'Foot examination', 'Depression screening', 'Magnetic resonance imaging (MRI)', 'Therapeutic procedures on eyelids', 'conjunctiva', 'or cornea']","['Restless_leg_syndrome', 'Lipid_panel', 'Hemoglobin_A1c_measurement_(Hemoglobin_a1c_test)', 'Examination_of_foot', 'Depression_screen_(Depression_screening)', 'Magnetic_resonance_imaging_(Mri)', 'Other_therapeutic_procedures_on_eyelids;_conjunctiva;_cornea', 'Glaucoma', 'Corneal_disorder']"
46,"Doctor, I have been experiencing shortness of breath lately and coughing up phlegm. I am afraid it could be emphysema.","['Shortness of breath', 'Coughing up phlegm', 'Emphysema']","['Shortness_of_breath', 'Coughing_up_sputum', 'Emphysema']","I see. To confirm that, I will first recommend a radiographic imaging procedure. This includes a plain x-ray or X-ray computed tomography (Scan ct) to evaluate your lungs. We will also need to run some blood tests such as a complete blood count and hematologic tests to check for any infection. Lastly, we may need to check your kidneys with a kidney function test and may consider intravenous fluid replacement if necessary.","['Radiographic imaging procedure', 'X-ray computed tomography (Scan ct)', 'Lung evaluation', 'Blood tests (Complete blood count', 'Hematologic tests)', 'Kidney function test', 'Intravenous fluid replacement']","['Radiographic_imaging_procedure', 'X-ray_computed_tomography_(Scan_ct)', 'Other_respiratory_therapy', 'Hematologic_tests_(Blood_test)', 'Liver_function_tests_(Liver_test)', 'Kidney_function_tests_(Kidney_function_test)', 'Intravenous_fluid_replacement']"
47,"Hi doctor, I've been experiencing headaches, seizures and loss of appetite for the past few weeks. I did some research and I think I may have cysticercosis. ","['Headaches', 'Seizures', 'Loss of appetite', 'Cysticercosis']","['Headache', 'Seizures', 'Decreased_appetite', 'Cysticercosis']","I see, in order to confirm a diagnosis we will need to perform several tests. A radiographic imaging procedure, hematologic tests including a complete blood count, measuring glucose levels, as well as a CT scan of the head or an MRI may be necessary to confirm the diagnosis.","['Radiographic imaging procedure', 'Hematologic tests', 'Complete blood count', 'Glucose levels', 'CT scan of head', 'MRI']","['Radiographic_imaging_procedure', 'Hematologic_tests_(Blood_test)', 'Complete_blood_count_(Cbc)', 'Glucose_measurement_(Glucose_level)', 'CAT_scan_of_head_(Head_ct)', 'Magnetic_resonance_imaging_(Mri)']"
48,"Doctor, I recently had an induced abortion and I'm feeling quite weak and have some pain. ","['Induced abortion', 'Weakness', 'Pain ']","['Induced_abortion', 'Weakness', 'Headache']","I'm sorry to hear that, we need to run some tests to make sure your body is recovering well. We'll need you to take a blood test, a complete blood count, a urinalysis, and a standard pregnancy test.Patient Alright, what are these tests for? ","['Blood test', 'Complete blood count', 'Urinalysis', 'Standard pregnancy test']","['Hematologic_tests_(Blood_test)', 'Complete_blood_count_(Cbc)', 'Urinalysis', 'Standard_pregnancy_test']"
49,"Doctor, my baby has been very fussy and irritable lately. I'm pretty sure he's going through teething syndrome.","['Baby', 'Fussy', 'Irritable', 'Teething syndrome']","['Recent_pregnancy', 'Too_little_hair', 'Restlessness', 'Teething_syndrome']","Okay, we'll need to perform a complete physical skin exam and other diagnostic procedures to confirm the diagnosis.Patient Is there anything else we should do?","['Complete physical skin exam', 'Other diagnostic procedures']","['Complete_physical_skin_exam_performed_(ML)', 'Other_diagnostic_procedures_(interview;_evaluation;_consultation)']"
50,"Doctor, I have been experiencing severe stomach pain, nausea and vomiting, and diarrhea. I fear it might be an infectious gastroenteritis.","['Severe stomach pain', 'Nausea', 'Vomiting', 'Diarrhea', 'Infectious gastroenteritis']","['Sharp_abdominal_pain', 'Nausea', 'Vomiting', 'Diarrhea', 'Infectious_gastroenteritis']","I see. In that case, we need to run some medical tests to confirm the diagnosis and identify the underlying cause. We will perform a complete blood count (CBC), kidney function test, glucose measurement, electrolytes panel, and urinalysis. Additionally, you will require intravenous fluid replacement to prevent dehydration.","['Complete blood count (CBC)', 'Kidney function test', 'Glucose measurement', 'Electrolytes panel', 'Urinalysis', 'Intravenous fluid replacement', 'Dehydration']","['Complete_blood_count_(Cbc)', 'Kidney_function_tests_(Kidney_function_test)', 'Glucose_measurement_(Glucose_level)', 'Electrolytes_panel', 'Urinalysis', 'Intravenous_fluid_replacement', 'Fluid_retention']"
52,"Doctor, I have been experiencing some symptoms associated with Von Hippel-Lindau disease.","['Von Hippel-Lindau disease', 'Symptoms']","['Von_Hippel-Lindau_disease', 'Emotional_symptoms']","I see. In that case, we need to run some medical tests to make sure. Specifically, we should begin with a magnetic resonance imaging (MRI) scan, a complete physical skin exam (ML), and a sigmoidoscopy or colonoscopy. Additionally, we may need to perform some more invasive tests such as incision and excision of CNS, diagnostic spinal tap (Spinal tap), and excision of skin lesion. Lastly, we would also want to perform an occupational therapy assessment (Speech therapy).","['Magnetic resonance imaging (MRI) scan', 'Complete physical skin exam', 'Sigmoidoscopy or colonoscopy', 'Incision and excision of CNS', 'Diagnostic spinal tap (Spinal tap)', 'Excision of skin lesion', 'Occupational therapy assessment (Speech therapy)']","['Magnetic_resonance_imaging_(Mri)', 'Complete_physical_skin_exam_performed_(ML)', 'Sigmoidoscopy_or_colonoscopy', 'Incision_and_excision_of_CNS', 'Diagnostic_spinal_tap_(Spinal_tap)', 'Excision_of_skin_lesion', 'Occupational_therapy_assessment_(Speech_therapy)']"
53,"Doctor, I am experiencing anxiety and depression due to my addiction to alcohol. What tests do I need to take to help diagnose my condition?","['Anxiety', 'Depression', 'Addiction to alcohol', 'Diagnostic tests']","['Anxiety_and_nervousness', 'Depression', 'Abusing_alcohol', 'Hematologic_tests_(Blood_test)']","Well, for starters, we would need to perform a complete blood count (CBC), as well as some hematology tests to check for any abnormalities in your blood. We would also need to do a urinalysis and measure your glucose levels to check the function of your kidneys. Additionally, we would perform electrocardiograms (EKGs) to check how your heart is functioning. Finally, we may need to perform an intravenous fluid replacement to rehydrate your body and replenish vital nutrients that may have been lost due to your addiction.","['Complete blood count (CBC)', 'Hematology tests', 'Urinalysis', 'Glucose levels', 'Kidney function', 'Electrocardiograms (EKGs)', 'Heart function', 'Intravenous fluid replacement', 'Rehydration', 'Nutrient replenishment', 'Addiction']","['Complete_blood_count_(Cbc)', 'Hematologic_tests_(Blood_test)', 'Urinalysis', 'Glucose_measurement_(Glucose_level)', 'Kidney_function_tests_(Kidney_function_test)', 'Electrocardiogram', 'Cardiac_monitoring_(Cardiac_monitor)', 'Intravenous_fluid_replacement', 'Fluid_retention', 'Multivitamin', 'Drug_abuse']"
54,"Doctor, I have been feeling very down and sad after giving birth to my baby. It's been a few weeks now and I just can't seem to shake it off. ","['Postpartum depression', 'Sadness', 'Negative feelings', 'Difficulty coping']","['Postpartum_depression', 'Depression', 'Sleepiness', 'Mental_health_counseling']","I'm sorry to hear that. Based on the symptoms you've described, I would recommend a depression screen to see if you have postpartum depression. Additionally, we may need to do a pelvis exam and a urinalysis to make sure your physical health is in good shape. It's also important to examine your breast for any lactation problems. Mental health counseling can also help you cope with the emotional challenges of postpartum depression. Furthermore, it would be best to conduct an ultrasonography to check on your physical health, and a chlamydia test to rule out the possibility of a sexually transmitted disease.","['Postpartum depression', 'Pelvis exam', 'Urinalysis', 'Lactation problems', 'Mental health counseling', 'Ultrasonography', 'Chlamydia test']","['Postpartum_depression', 'Pelvis_exam', 'Urinalysis', 'Infant_feeding_problem', 'Mental_health_counseling', 'Ultrasonography_(Ultrasound)', 'Chlamydia_test']"
55,"Doctor, I've been experiencing chest pain and shortness of breath lately. I'm afraid it could be something serious. ","['Chest pain', 'Shortness of breath']","['Sharp_chest_pain', 'Shortness_of_breath']","Well, based on your symptoms, we will need to conduct several medical tests to identify the root cause of your condition. We'll start off with Hematologic tests, a Lipid panel, and a Glucose level to check for any abnormalities in your blood. We will also need to conduct an Electrocardiogram, an Ultrasonography, and an Echocardiography to check on the functioning of your heart. Lastly, we'll need to check your Hemoglobin A1c levels with a Hemoglobin A1c test.Patient Oh, that sounds like a lot of tests. But whatever it takes to find out what's wrong with me, I'm prepared to do it. Thanks, doctor.","['Hematologic tests', 'Lipid panel', 'Glucose level', 'Electrocardiogram', 'Ultrasonography', 'Echocardiography', 'Hemoglobin A1c levels']","['Hematologic_tests_(Blood_test)', 'Lipid_panel', 'Glucose_measurement_(Glucose_level)', 'Electrocardiogram', 'Ultrasonography_(Ultrasound)', 'Echocardiography', 'Hemoglobin_A1c_measurement_(Hemoglobin_a1c_test)']"
56,"Hi doctor, I've had some severe pain in my back and lower spine lately. I think I might be suffering from spondylitis.","['Back pain', 'Lower spine pain', 'Spondylitis']","['Back_pain', 'Low_back_pain', 'Spondylitis']","I see. In order to diagnose spondylitis, we will need to run a few medical tests. The first one is a plain x-ray or MRI to get a clearer picture of your spine's condition. We may also need to perform some physical therapy exercises, manipulation, or other non-OR or closed therapeutic nervous system procedures. Additionally, we may need to consider inserting a catheter or spinal stimulator and injection into your spinal canal or other therapeutic procedures to manage your pain.","['Spondylitis', 'X-ray or MRI', 'Physical therapy exercises', 'Manipulation', 'Non-OR or closed therapeutic nervous system procedures', 'Catheter', 'Spinal stimulator and injection', 'Pain management']","['Spondylitis', 'Magnetic_resonance_imaging_(Mri)', 'Physical_therapy_exercises_(Exercises)', 'Psychotherapy', 'Other_non-OR_or_closed_therapeutic_nervous_system_procedures', 'Other_vascular_catheterization;_not_heart', 'Insertion_of_catheter_or_spinal_stimulator_and_injection_into_spinal_canal', 'Chronic_pain_disorder']"
57,"Doctor, I am experiencing persistent headaches and vision problems. My vision has become blurry and I have been struggling to focus on objects lately.","['Headaches', 'Vision problems', 'Blurred vision', 'Difficulty focusing']","['Headache', 'Diminished_vision', 'Double_vision', 'Eye_alignment_disorder']","Based on your symptoms, it is likely that you have a pituitary adenoma. To confirm the diagnosis, we will need to conduct a few medical tests. The first one will be a magnetic resonance imaging (MRI) to obtain detailed images of your brain. We will also need to conduct ophthalmic examination and evaluation (eye exam) to check for any visual abnormalities. Additionally, we may need to evaluate your breast, pelvic area, nose, mouth, and pharynx, and conduct sigmoidoscopy or colonoscopy for any other symptoms you may be experiencing.","['Pituitary adenoma', 'Magnetic resonance imaging (MRI)', 'Ophthalmic examination and evaluation', 'Breast evaluation', 'Pelvic evaluation', 'Nose evaluation', 'Mouth evaluation', 'Pharynx evaluation', 'Sigmoidoscopy', 'Colonoscopy']","['Pituitary_adenoma', 'Magnetic_resonance_imaging_(Mri)', 'Ophthalmic_examination_and_evaluation_(Eye_exam)', 'Examination_of_breast', 'Pelvis_exam', 'Diagnostic_procedures_on_nose;_mouth_and_pharynx', 'Mouth_ulcer', 'Other_OR_therapeutic_procedures_on_nose;_mouth_and_pharynx', 'Sigmoidoscopy_or_colonoscopy', 'Rectal_examination']"
58,"Doctor, I have been experiencing heavy and painful periods for the past few months, and I also have a constant urge to urinate. I suspect I might have uterine fibroids.","['Heavy periods', 'Painful periods', 'Urinary urgency', 'Uterine fibroids']","['Long_menstrual_periods', 'Painful_menstruation', 'Painful_urination', 'Uterine_fibroids']","In order to confirm the diagnosis of uterine fibroids, we will need to perform a series of medical tests. These tests include a pelvis exam, radiographic imaging procedure, complete blood count (CBC), urinalysis, ultrasonography (ultrasound), examination of breast, as well as a standard pregnancy test.","['Uterine fibroids', 'Pelvis exam', 'Radiographic imaging procedure', 'Complete blood count (CBC)', 'Urinalysis', 'Ultrasonography', 'Breast examination', 'Pregnancy test']","['Uterine_fibroids', 'Pelvis_exam', 'Radiographic_imaging_procedure', 'Complete_blood_count_(Cbc)', 'Urinalysis', 'Ultrasonography_(Ultrasound)', 'Examination_of_breast', 'Standard_pregnancy_test']"
59,"Doctor, I have been experiencing bleeding in between my periods, and I'm not sure what's causing it.","['Bleeding between periods', 'Menstrual irregularities', 'Abnormal uterine bleeding']","['Intermenstrual_bleeding', 'Unpredictable_menstruation', 'Idiopathic_nonmenstrual_bleeding']","Based on your symptoms, we will need to conduct several medical tests to identify the cause. We will begin with a complete blood count, a standard pregnancy test, a urinalysis, and an examination of your pelvis and breast. Additionally, we will need to conduct an ultrasonography to look for any abnormalities in the reproductive organs.","['Complete blood count', 'Pregnancy test', 'Urinalysis', 'Pelvic examination', 'Breast examination', 'Ultrasonography', 'Reproductive organ abnormalities']","['Complete_blood_count_(Cbc)', 'Standard_pregnancy_test', 'Urinalysis', 'Pelvis_exam', 'Examination_of_breast', 'Ultrasonography_(Ultrasound)', 'Infertility']"
60,"Hi Doctor, I have a bump in the upper eyelid of my right eye which is bothering me. I think it's called Chalazion. ","['Upper eyelid bump', 'Right eye', 'Chalazion']","['Eyelid_swelling', 'Cross-eyed', 'Chalazion']","Hello! Yes, it seems like you have a chalazion. The best course of action would be to perform an ophthalmic examination and evaluation, and then we can decide whether you need excision or other therapeutic procedures on the eyelids, conjunctiva, or cornea. Depending on how the examination goes, we may also recommend physical therapy exercises or manipulation, or may suggest a biopsy.","['chalazion', 'ophthalmic examination', 'evaluation', 'excision', 'therapeutic procedures', 'eyelids', 'conjunctiva', 'cornea', 'physical therapy exercises', 'manipulation', 'biopsy']","['Chalazion', 'Ophthalmic_examination_and_evaluation_(Eye_exam)', 'Occupational_therapy_assessment_(Speech_therapy)', 'Excision_(Removal)', 'Other_therapeutic_procedures', 'Mass_on_eyelid', 'Other_therapeutic_procedures_on_eyelids;_conjunctiva;_cornea', 'Corneal_disorder', 'Physical_therapy_exercises_(Exercises)', 'Psychotherapy', 'Biopsy']"
61,"Doctor, I think I might have ovarian torsion. I have been experiencing sudden and severe pelvic pain on one side, along with nausea and vomiting.","['Ovarian torsion', 'Pelvic pain', 'Nausea', 'Vomiting']","['Ovarian_torsion', 'Pelvic_pain', 'Nausea', 'Vomiting']","Based on your symptoms, we need to perform several medical tests to confirm the diagnosis. We will need to do a pelvic exam, and some radiographic imaging procedures, such as an ultrasound, to look for signs of torsion. We will also need to do some hematologic tests, such as a complete blood count, and urinalysis to rule out any other possible causes. Lastly, a standard pregnancy test will be required to eliminate any pregnancy-related issues.","['Pelvic exam', 'Radiographic imaging procedures (Ultrasound)', 'Torsion', 'Hematologic tests (Complete blood count', 'Urinalysis)', 'Pregnancy test']","['Pelvis_exam', 'Radiographic_imaging_procedure', 'Ovarian_torsion', 'Hematologic_tests_(Blood_test)', 'Urinalysis', 'Standard_pregnancy_test']"
